ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
24060,33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,39,1,151,3,failure,no
24062,42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other,yes
24064,33,services,married,secondary,no,3444,yes,no,telephone,21,oct,144,1,91,4,failure,yes
24072,36,management,married,tertiary,no,2415,yes,no,telephone,22,oct,73,1,86,4,other,no
24077,36,management,married,tertiary,no,0,yes,no,telephone,23,oct,140,1,143,3,failure,yes
24086,44,blue-collar,married,secondary,no,1324,yes,no,telephone,25,oct,119,1,89,2,other,no
24122,26,technician,single,tertiary,no,172,no,yes,telephone,4,nov,21,1,140,4,other,no
24127,51,admin.,single,secondary,no,3132,no,no,telephone,5,nov,449,1,176,1,failure,no
24151,33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,175,1,174,2,failure,no
24165,30,admin.,married,secondary,no,873,yes,no,telephone,12,nov,119,1,167,3,success,no
24170,30,management,single,tertiary,no,1243,yes,no,telephone,13,nov,86,1,174,1,failure,no
24184,44,entrepreneur,married,tertiary,no,1631,yes,no,cellular,17,nov,81,1,195,2,failure,no
24186,51,management,divorced,tertiary,no,119,no,no,cellular,17,nov,200,1,165,2,failure,no
24187,51,technician,married,secondary,no,58,yes,no,cellular,17,nov,79,1,129,2,failure,no
24189,44,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,58,1,188,1,failure,no
24198,34,technician,single,secondary,no,105,yes,no,cellular,17,nov,303,1,196,2,failure,no
24203,49,management,married,tertiary,no,1533,no,no,cellular,17,nov,324,1,172,1,failure,no
24207,47,housemaid,married,tertiary,no,228,yes,no,cellular,17,nov,80,1,118,1,failure,no
24208,40,management,single,secondary,no,1623,yes,no,cellular,17,nov,161,1,167,2,failure,no
24230,47,blue-collar,married,secondary,no,1484,no,no,cellular,17,nov,297,1,119,3,failure,no
24234,38,management,married,tertiary,no,494,no,no,cellular,17,nov,146,1,104,2,other,no
24236,54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,120,1,171,2,failure,no
24238,52,management,married,tertiary,no,1701,yes,yes,cellular,17,nov,381,1,117,2,other,no
24239,48,admin.,divorced,secondary,no,295,yes,no,cellular,17,nov,123,1,164,2,success,no
24250,45,technician,married,secondary,no,1477,yes,no,cellular,17,nov,75,1,132,1,failure,no
24253,39,admin.,married,secondary,no,401,yes,no,cellular,17,nov,396,1,129,2,failure,no
24254,39,blue-collar,married,primary,no,3324,no,no,cellular,17,nov,96,1,131,1,failure,no
24257,37,management,married,tertiary,yes,0,no,no,cellular,17,nov,44,1,123,2,failure,no
24264,49,management,married,tertiary,no,64,no,no,cellular,17,nov,208,1,159,1,success,no
24266,43,technician,married,secondary,no,1865,yes,no,cellular,17,nov,155,1,186,1,failure,no
24295,35,technician,divorced,tertiary,no,1718,yes,yes,cellular,17,nov,74,1,167,16,other,no
24299,50,management,married,secondary,no,633,no,yes,telephone,17,nov,302,1,111,6,failure,no
24300,42,technician,single,tertiary,no,35,yes,yes,cellular,17,nov,38,1,115,5,other,no
24311,56,retired,married,secondary,no,2749,yes,yes,cellular,17,nov,38,1,172,2,failure,no
24312,51,entrepreneur,married,tertiary,no,209,no,no,cellular,17,nov,130,1,111,2,failure,no
24315,50,technician,single,secondary,no,246,yes,no,cellular,17,nov,270,1,123,2,failure,no
24323,45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,failure,no
24326,40,services,divorced,secondary,no,5766,yes,yes,cellular,17,nov,68,2,173,1,failure,no
24327,30,management,married,tertiary,no,101,yes,no,cellular,17,nov,348,1,123,1,failure,no
24330,39,management,married,tertiary,no,500,yes,no,cellular,17,nov,257,1,178,2,other,no
24331,36,management,married,tertiary,no,5057,yes,no,cellular,17,nov,70,1,166,10,failure,no
24343,34,housemaid,married,tertiary,no,1265,yes,no,cellular,17,nov,118,1,164,3,failure,no
24350,59,management,married,tertiary,no,0,no,no,cellular,17,nov,90,2,110,2,failure,no
24353,53,services,married,secondary,no,1364,no,no,cellular,17,nov,508,1,115,1,failure,no
24358,46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,failure,no
24359,52,retired,married,secondary,no,5423,no,yes,cellular,17,nov,93,1,115,1,failure,no
24366,56,technician,divorced,secondary,no,689,yes,no,cellular,17,nov,110,1,103,4,failure,no
24395,34,admin.,single,secondary,no,0,yes,no,cellular,17,nov,214,1,174,2,failure,no
24402,32,admin.,single,secondary,no,4344,yes,no,cellular,17,nov,79,2,118,3,failure,no
24407,59,retired,divorced,secondary,no,514,yes,no,cellular,17,nov,573,1,188,1,other,no
24411,59,management,married,primary,no,252,yes,yes,cellular,17,nov,138,1,175,2,failure,no
24412,40,technician,married,secondary,no,0,yes,no,cellular,17,nov,74,2,196,1,failure,no
24416,43,technician,divorced,secondary,no,-36,yes,no,cellular,17,nov,190,1,104,1,failure,no
24421,43,technician,married,secondary,no,0,no,yes,cellular,17,nov,103,2,193,3,failure,no
24422,55,entrepreneur,divorced,tertiary,no,1730,no,no,cellular,17,nov,89,2,118,3,failure,no
24425,49,services,married,secondary,no,202,yes,no,cellular,17,nov,651,2,104,1,failure,yes
24426,49,entrepreneur,married,tertiary,no,313,yes,no,cellular,17,nov,42,2,188,2,failure,no
24429,39,blue-collar,single,primary,no,419,yes,no,cellular,17,nov,186,1,181,1,failure,no
24435,42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,77,1,103,4,success,no
24439,56,admin.,married,secondary,no,1270,yes,no,cellular,17,nov,80,2,165,2,other,no
24449,44,admin.,married,secondary,no,4826,yes,no,cellular,17,nov,102,1,185,4,other,no
24450,42,services,married,secondary,no,1048,yes,no,cellular,17,nov,71,1,186,1,failure,no
24461,41,technician,married,secondary,no,112,yes,no,cellular,17,nov,1081,1,131,1,failure,no
24469,51,technician,married,secondary,no,563,yes,no,cellular,17,nov,504,1,123,3,failure,no
24473,36,blue-collar,married,secondary,no,1797,yes,yes,cellular,17,nov,166,1,181,2,failure,no
24475,52,technician,married,tertiary,no,3440,yes,no,cellular,17,nov,124,1,131,1,failure,no
24486,42,entrepreneur,married,tertiary,no,373,no,no,cellular,17,nov,174,1,154,3,failure,no
24489,45,technician,married,secondary,no,2020,yes,no,cellular,17,nov,62,1,131,1,failure,no
24490,35,entrepreneur,married,secondary,no,24,yes,no,cellular,17,nov,128,1,181,1,failure,no
24492,38,management,married,tertiary,no,425,yes,no,cellular,17,nov,240,1,181,1,failure,no
24494,47,technician,married,secondary,no,80,no,yes,cellular,17,nov,74,1,145,1,failure,no
24502,43,self-employed,married,secondary,no,634,yes,no,cellular,17,nov,65,1,131,1,failure,no
24503,33,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,809,3,181,1,other,no
24505,40,blue-collar,single,secondary,no,677,yes,no,cellular,17,nov,619,1,171,5,other,no
24508,54,technician,married,secondary,no,899,no,yes,cellular,17,nov,61,1,145,1,other,no
24510,50,management,married,tertiary,no,830,no,no,cellular,17,nov,71,1,138,2,failure,no
24517,54,services,married,secondary,no,2719,yes,no,cellular,17,nov,166,2,171,2,failure,no
24520,44,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,58,1,195,2,failure,no
24528,43,blue-collar,divorced,secondary,no,-259,no,no,cellular,17,nov,732,1,171,2,other,no
24531,51,management,married,tertiary,no,248,yes,yes,cellular,17,nov,139,2,126,3,failure,no
24535,51,technician,married,secondary,no,12061,yes,no,cellular,17,nov,150,1,188,1,failure,no
24536,42,technician,single,secondary,no,-15,no,no,cellular,17,nov,89,1,145,1,failure,no
24545,46,services,divorced,secondary,no,0,no,no,cellular,17,nov,407,1,150,3,success,no
24553,50,management,married,tertiary,no,4,no,no,cellular,17,nov,223,1,96,2,failure,no
24556,44,management,married,tertiary,no,1451,yes,no,cellular,17,nov,157,3,150,12,failure,no
24560,41,unemployed,married,primary,no,557,yes,no,cellular,17,nov,158,1,173,1,failure,no
24566,37,management,single,tertiary,no,600,yes,no,cellular,17,nov,116,2,196,1,failure,no
24567,53,admin.,married,secondary,no,350,no,yes,cellular,17,nov,113,3,132,2,failure,no
24570,53,self-employed,married,secondary,no,248,no,yes,cellular,17,nov,99,1,126,3,failure,no
24573,52,technician,married,secondary,no,1818,no,yes,cellular,17,nov,189,2,111,4,failure,no
24574,36,management,divorced,tertiary,no,3837,yes,no,cellular,17,nov,184,1,193,1,success,no
24578,37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
24580,44,management,married,tertiary,no,58,yes,no,cellular,17,nov,48,1,126,3,failure,no
24581,59,management,divorced,tertiary,no,3552,yes,no,cellular,17,nov,690,1,123,7,other,no
24583,32,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,159,2,195,2,failure,no
24588,41,management,married,tertiary,no,20,yes,no,cellular,17,nov,99,1,151,2,failure,no
24589,37,services,married,secondary,yes,-954,yes,no,cellular,17,nov,69,1,180,3,failure,no
24590,43,housemaid,married,primary,no,0,no,yes,cellular,17,nov,836,1,129,2,failure,no
24591,51,blue-collar,married,primary,no,230,yes,no,cellular,17,nov,174,1,195,1,failure,no
24592,56,management,married,tertiary,no,505,yes,yes,cellular,17,nov,171,1,172,2,failure,no
24595,44,services,married,secondary,no,3843,yes,no,cellular,17,nov,70,1,150,2,other,no
24596,56,management,single,primary,no,109,no,yes,telephone,17,nov,124,1,129,18,other,no
24605,39,self-employed,married,tertiary,no,5,yes,no,cellular,17,nov,118,2,131,1,other,no
24606,38,technician,married,secondary,no,821,yes,yes,cellular,17,nov,224,2,180,1,failure,no
24609,42,technician,married,primary,no,275,no,no,cellular,17,nov,295,2,109,9,failure,no
24610,34,management,single,tertiary,no,1049,yes,no,cellular,17,nov,101,2,129,1,failure,no
24616,38,blue-collar,married,primary,no,0,yes,no,cellular,17,nov,78,2,193,2,failure,no
24622,53,retired,married,tertiary,no,2269,no,no,cellular,17,nov,1091,2,150,1,success,yes
24623,41,blue-collar,married,secondary,no,271,yes,no,cellular,17,nov,148,2,172,2,failure,no
24626,48,management,divorced,tertiary,no,-478,yes,no,cellular,17,nov,87,5,167,6,failure,no
24627,54,management,married,tertiary,no,3795,yes,yes,cellular,17,nov,227,2,119,1,failure,no
24629,55,entrepreneur,married,secondary,no,653,yes,no,cellular,17,nov,193,2,186,1,failure,no
24632,38,technician,single,secondary,no,1255,yes,no,cellular,17,nov,151,2,171,2,failure,no
24633,50,technician,divorced,secondary,no,-403,no,yes,cellular,17,nov,130,2,119,2,failure,no
24637,42,unemployed,married,primary,no,2636,no,no,cellular,17,nov,178,2,151,1,failure,no
