Method,n_features,AUC,Precision,Recall,Features
Quantum,1,0.714723687865777,0.6347517730496454,0.21296847114812612,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,2,0.857450324621541,0.7044334975369458,0.42534205829863175,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,3,0.8649950228155442,0.6684491978609626,0.5264723378941106,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,4,0.8767736210506166,0.6559215136650315,0.5568114217727543,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,5,0.8799532136500873,0.6635379061371841,0.5568114217727543,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,6,0.8871639817615538,0.6673699015471167,0.5645449137418204,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,7,0.8943372708988415,0.703757225433526,0.570493753718025,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,8,0.9146339714784424,0.7616926503340757,0.6103509815585961,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,9,0.9149525136151262,0.7619397501836884,0.6168947055324212,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
Quantum,10,0.9147107363446844,0.7639198218262806,0.6157049375371803,"['education-num', 'marital-status', 'age', 'occupation', 'relationship', 'hours-per-week', 'capital-loss', 'capital-gain', 'native-country', 'sex', 'race', 'fnlwgt', 'workclass']"
