Method,n_features,AUC,Precision,Recall,Features
Quantum,1,0.6618331609280331,0.0,0.0,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,2,0.7826769617260234,0.6906474820143885,0.3582089552238806,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,3,0.8351579560941169,0.7,0.44402985074626866,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,4,0.9120876639902796,0.706140350877193,0.6007462686567164,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,5,0.9262433706057172,0.7322175732217573,0.6567164179104478,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,6,0.926263895046221,0.7375,0.6529850746268657,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,7,0.9227172717271728,0.7330508474576272,0.6455223880597015,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,8,0.9229964041180237,0.7364016736401674,0.6455223880597015,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,9,0.9238214866262745,0.7372881355932204,0.6455223880597015,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,10,0.923025138334729,0.7254098360655737,0.6455223880597015,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,11,0.9231975436349605,0.7333333333333333,0.6417910447761194,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,12,0.9223437269100043,0.7257383966244726,0.6417910447761194,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,13,0.9270191944567592,0.7238493723849372,0.6343283582089553,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,14,0.9267893207231171,0.7136929460580913,0.6417910447761194,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,15,0.9258000426908362,0.7049180327868853,0.6231343283582089,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Quantum,16,0.9261120141864934,0.711864406779661,0.6417910447761194,"['housing', 'poutcome', 'month', 'duration', 'pdays', 'marital', 'balance', 'loan', 'age', 'campaign', 'default', 'previous', 'day', 'contact', 'education']"
Ranking,1,0.7274087483375203,0.6732673267326733,0.5074626865671642,['poutcome']
Ranking,2,0.7826769617260234,0.6906474820143885,0.3582089552238806,"['poutcome', 'housing']"
Ranking,3,0.8879632366221695,0.7558139534883721,0.5111940298507462,"['poutcome', 'housing', 'duration']"
Ranking,4,0.8920352856181141,0.7525773195876289,0.5261194029850746,"['poutcome', 'housing', 'duration', 'loan']"
Ranking,5,0.9133027108681017,0.6982758620689655,0.6044776119402985,"['poutcome', 'housing', 'duration', 'loan', 'month']"
Ranking,6,0.9261386959591482,0.7291666666666666,0.6529850746268657,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays']"
Ranking,7,0.9266784887443967,0.7383966244725738,0.6529850746268657,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact']"
Ranking,8,0.925919084445758,0.7288135593220338,0.6455223880597015,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education']"
Ranking,9,0.930875736827414,0.7191489361702128,0.6305970149253731,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education', 'day']"
Ranking,10,0.930668439978326,0.71900826446281,0.6380597014925373,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education', 'day', 'campaign']"
Ranking,11,0.9280207871533422,0.7100840336134454,0.6231343283582089,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education', 'day', 'campaign', 'age']"
Ranking,12,0.9268960478137367,0.7125,0.6305970149253731,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education', 'day', 'campaign', 'age', 'balance']"
Ranking,13,0.9261694826199038,0.7154811715481172,0.6305970149253731,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education', 'day', 'campaign', 'age', 'balance', 'marital']"
Ranking,14,0.9265512372132737,0.7142857142857143,0.6343283582089553,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education', 'day', 'campaign', 'age', 'balance', 'marital', 'job']"
Ranking,15,0.9255783787333958,0.7073170731707317,0.6343283582089553,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education', 'day', 'campaign', 'age', 'balance', 'marital', 'job', 'previous']"
Ranking,16,0.9264814541155608,0.7125,0.6268656716417911,"['poutcome', 'housing', 'duration', 'loan', 'month', 'pdays', 'contact', 'education', 'day', 'campaign', 'age', 'balance', 'marital', 'job', 'previous', 'default']"
Boruta,10,0.9272449633023004,0.7154811715481172,0.6455223880597015,"['education', 'balance', 'housing', 'loan', 'contact', 'day', 'month', 'duration', 'pdays', 'poutcome']"
