Method,n_features,AUC,Precision,Recall,Features
Quantum,1,0.7274087483375203,0.6732673267326733,0.5074626865671642,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,2,0.7826769617260234,0.6732673267326733,0.5074626865671642,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,3,0.8297969722345369,0.6761363636363636,0.44402985074626866,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,4,0.8923985682150304,0.6561264822134387,0.6268656716417911,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,5,0.9208598098615831,0.7113821138211383,0.664179104477612,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,6,0.9218552452260153,0.7188755020080321,0.6604477611940298,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,7,0.9194292563584717,0.7119341563786008,0.6455223880597015,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,8,0.9188709915767697,0.7071129707112971,0.6455223880597015,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,9,0.9205827299147825,0.7130801687763713,0.6492537313432836,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,10,0.9199793113639722,0.7272727272727273,0.6305970149253731,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,11,0.9206484081243944,0.7288888888888889,0.6305970149253731,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
Quantum,12,0.919589346994401,0.7212389380530974,0.6268656716417911,"['poutcome', 'housing', 'month', 'duration', 'pdays', 'loan', 'contact', 'default', 'marital', 'campaign', 'age', 'previous', 'day', 'balance', 'education']"
