Method,n_features,AUC,Precision,Recall,Features
Quantum,1,0.7589791321934178,0.6739130434782609,0.22142857142857142,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,2,0.7996598639455781,0.6833333333333333,0.29285714285714287,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,3,0.8419056811913954,0.6634615384615384,0.4928571428571429,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,4,0.8448290126861555,0.6331877729257642,0.5071428571428571,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,5,0.8444819819819821,0.6322869955156951,0.5035714285714286,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,6,0.8442751424894283,0.6293103448275862,0.5107142857142857,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,7,0.8459873138444567,0.6387665198237885,0.5214285714285715,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,8,0.8413839860268433,0.6380090497737556,0.5071428571428571,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,9,0.8423515352086782,0.6347826086956522,0.5142857142857142,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,10,0.8443280014708586,0.6391304347826087,0.5107142857142857,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,11,0.844151038793896,0.64,0.5142857142857142,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,12,0.8440407243978671,0.6391304347826087,0.5142857142857142,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,13,0.8468537414965986,0.6621621621621622,0.5285714285714286,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,14,0.8499816142673285,0.6607929515418502,0.525,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,15,0.8507836918551204,0.6650943396226415,0.5,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,16,0.8512341423055709,0.6651162790697674,0.5,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,17,0.8513122816694245,0.6829268292682927,0.5142857142857142,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,18,0.8517673285530428,0.677570093457944,0.5142857142857142,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Quantum,19,0.8516018569589997,0.6774193548387096,0.5107142857142857,"['tenure', 'Contract', 'InternetService', 'PaymentMethod', 'OnlineBackup', 'TechSupport', 'OnlineSecurity', 'Dependents', 'SeniorCitizen', 'TotalCharges', 'PaperlessBilling', 'PhoneService', 'Partner', 'StreamingMovies', 'MonthlyCharges', 'DeviceProtection', 'MultipleLines', 'StreamingTV']"
Ranking,1,0.7383687258687259,0.0,0.0,['Contract']
Ranking,2,0.7956264938407795,0.5287009063444109,0.625,"['Contract', 'InternetService']"
Ranking,3,0.8094824416252987,0.5735294117647058,0.5571428571428572,"['Contract', 'InternetService', 'OnlineSecurity']"
Ranking,4,0.8147292700864128,0.6125,0.525,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport']"
Ranking,5,0.8167149292149292,0.6125,0.525,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies']"
Ranking,6,0.8502436109578968,0.6513761467889908,0.5178571428571429,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies', 'tenure']"
Ranking,7,0.84820509284795,0.6473214285714286,0.5178571428571429,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies', 'tenure', 'PaperlessBilling']"
Ranking,8,0.8516248391248391,0.6517857142857143,0.5214285714285715,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies', 'tenure', 'PaperlessBilling', 'PhoneService']"
Ranking,9,0.8518868358154073,0.6681818181818182,0.5392857142857143,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies', 'tenure', 'PaperlessBilling', 'PhoneService', 'PaymentMethod']"
Ranking,10,0.8528107188821474,0.6801801801801802,0.5464285714285714,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies', 'tenure', 'PaperlessBilling', 'PhoneService', 'PaymentMethod', 'MultipleLines']"
Ranking,11,0.8532404853833426,0.6866359447004609,0.5214285714285715,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies', 'tenure', 'PaperlessBilling', 'PhoneService', 'PaymentMethod', 'MultipleLines', 'MonthlyCharges']"
Ranking,12,0.8532473800330943,0.6898148148148148,0.5214285714285715,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies', 'tenure', 'PaperlessBilling', 'PhoneService', 'PaymentMethod', 'MultipleLines', 'MonthlyCharges', 'OnlineBackup']"
Ranking,13,0.8524338113623827,0.6883720930232559,0.5071428571428571,"['Contract', 'InternetService', 'OnlineSecurity', 'TechSupport', 'StreamingMovies', 'tenure', 'PaperlessBilling', 'PhoneService', 'PaymentMethod', 'MultipleLines', 'MonthlyCharges', 'OnlineBackup', 'TotalCharges']"
