feature,rank
concave_points_worst,1
perimeter_worst,2
radius_worst,3
concave_points_mean,4
perimeter_mean,5
area_worst,6
radius_mean,7
concavity_mean,8
area_mean,9
concavity_worst,10
compactness_mean,11
compactness_worst,12
radius_se,13
perimeter_se,14
area_se,15
texture_worst,16
texture_mean,17
smoothness_worst,18
concave_points_se,19
symmetry_worst,20
smoothness_mean,21
symmetry_mean,22
compactness_se,23
fractal_dimension_worst,24
concavity_se,25
fractal_dimension_se,26
smoothness_se,27
texture_se,28
fractal_dimension_mean,29
symmetry_se,30
