feature,rank
concave_points_worst,1
smoothness_se,2
texture_worst,3
concave_points_mean,4
radius_worst,5
symmetry_worst,6
radius_mean,7
fractal_dimension_se,8
perimeter_worst,9
texture_se,10
concavity_mean,11
perimeter_mean,12
symmetry_se,13
smoothness_worst,14
area_worst,15
texture_mean,16
concavity_worst,17
area_mean,18
fractal_dimension_worst,19
symmetry_mean,20
smoothness_mean,21
radius_se,22
fractal_dimension_mean,23
concave_points_se,24
compactness_worst,25
compactness_mean,26
perimeter_se,27
compactness_se,28
area_se,29
concavity_se,30
