feature,rank
concave_points_worst,1
radius_worst,2
concave_points_mean,3
perimeter_worst,4
area_worst,5
concavity_mean,6
perimeter_mean,7
radius_mean,8
concavity_worst,9
area_mean,10
compactness_mean,11
compactness_worst,12
texture_worst,13
radius_se,14
concave_points_se,15
smoothness_worst,16
symmetry_worst,17
perimeter_se,18
texture_mean,19
smoothness_mean,20
area_se,21
compactness_se,22
symmetry_mean,23
fractal_dimension_worst,24
smoothness_se,25
symmetry_se,26
concavity_se,27
texture_se,28
fractal_dimension_mean,29
fractal_dimension_se,30
