feature,rank
area_mean,1
area_se,2
concave_points_worst,3
texture_mean,4
concave_points_mean,5
concavity_mean,6
symmetry_mean,7
radius_mean,8
smoothness_se,9
perimeter_se,10
texture_se,11
radius_se,12
compactness_se,13
fractal_dimension_se,14
concave_points_se,15
perimeter_mean,16
symmetry_worst,17
fractal_dimension_worst,18
compactness_worst,19
symmetry_se,20
area_worst,21
perimeter_worst,22
smoothness_worst,23
radius_worst,24
concavity_worst,25
compactness_mean,26
smoothness_mean,27
fractal_dimension_mean,28
texture_worst,29
concavity_se,30
