feature,rank
feat_475,1
feat_48,2
feat_296,3
feat_323,4
feat_264,5
feat_10,6
feat_481,7
feat_424,8
feat_44,9
feat_468,10
feat_168,11
feat_448,12
feat_414,13
feat_309,14
feat_137,15
feat_42,16
feat_26,17
feat_438,18
feat_343,19
feat_377,20
feat_60,21
feat_282,22
feat_441,23
feat_220,24
feat_140,25
feat_425,26
feat_442,27
feat_162,28
feat_53,29
feat_410,30
feat_454,31
feat_497,32
feat_333,33
feat_403,34
feat_38,35
feat_165,36
feat_34,37
feat_65,38
feat_330,39
feat_308,40
feat_163,41
feat_348,42
feat_139,43
feat_245,44
feat_310,45
feat_358,46
feat_61,47
feat_50,48
feat_253,49
feat_301,50
