feature,rank
feat_442,1
feat_48,2
feat_378,3
feat_453,4
feat_153,5
feat_28,6
feat_336,7
feat_264,8
feat_220,9
feat_296,10
feat_414,11
feat_448,12
feat_10,13
feat_451,14
feat_137,15
feat_60,16
feat_105,17
feat_481,18
feat_377,19
feat_42,20
feat_44,21
feat_343,22
feat_323,23
feat_309,24
feat_168,25
feat_433,26
feat_162,27
feat_468,28
feat_425,29
feat_26,30
feat_165,31
feat_34,32
feat_50,33
feat_128,34
feat_441,35
feat_358,36
feat_424,37
feat_245,38
feat_480,39
feat_282,40
feat_310,41
feat_65,42
feat_475,43
feat_163,44
feat_497,45
feat_38,46
feat_139,47
feat_308,48
feat_241,49
feat_421,50
