feature,rank
feat_105,1
feat_338,2
feat_128,3
feat_472,4
feat_442,5
feat_493,6
feat_64,7
feat_453,8
feat_336,9
feat_318,10
feat_281,11
feat_28,12
feat_378,13
feat_258,14
feat_498,15
feat_153,16
feat_406,17
feat_264,18
feat_188,19
feat_384,20
feat_7,21
feat_160,22
feat_241,23
feat_252,24
feat_222,25
feat_421,26
feat_334,27
feat_347,28
feat_452,29
feat_480,30
feat_324,31
feat_17,32
feat_424,33
feat_35,34
feat_192,35
feat_171,36
feat_133,37
feat_497,38
feat_169,39
feat_71,40
feat_37,41
feat_394,42
feat_329,43
feat_0,44
feat_78,45
feat_203,46
feat_180,47
feat_177,48
feat_299,49
feat_422,50
