feature,rank
feat_241,1
feat_475,2
feat_338,3
feat_64,4
feat_336,5
feat_128,6
feat_105,7
feat_442,8
feat_472,9
feat_48,10
feat_493,11
feat_378,12
feat_323,13
feat_264,14
feat_374,15
feat_280,16
feat_205,17
feat_302,18
feat_126,19
feat_309,20
feat_305,21
feat_408,22
feat_74,23
feat_55,24
feat_295,25
feat_424,26
feat_314,27
feat_154,28
feat_204,29
feat_443,30
feat_85,31
feat_453,32
feat_243,33
feat_25,34
feat_147,35
feat_386,36
feat_43,37
feat_409,38
feat_458,39
feat_334,40
feat_59,41
feat_251,42
feat_196,43
feat_322,44
feat_36,45
feat_321,46
feat_283,47
feat_382,48
feat_32,49
feat_331,50
