feature,rank
feat_475,1
feat_338,2
feat_241,3
feat_105,4
feat_336,5
feat_48,6
feat_128,7
feat_442,8
feat_64,9
feat_472,10
feat_318,11
feat_153,12
feat_493,13
feat_378,14
feat_453,15
feat_281,16
feat_433,17
feat_451,18
feat_28,19
feat_282,20
feat_334,21
feat_244,22
feat_204,23
feat_418,24
feat_424,25
feat_455,26
feat_32,27
feat_188,28
feat_264,29
feat_347,30
feat_458,31
feat_137,32
feat_98,33
feat_431,34
feat_223,35
feat_441,36
feat_314,37
feat_319,38
feat_361,39
feat_457,40
feat_410,41
feat_463,42
feat_468,43
feat_4,44
feat_35,45
feat_481,46
feat_201,47
feat_33,48
feat_10,49
feat_438,50
