feature,rank
feat_241,1
feat_338,2
feat_475,3
feat_64,4
feat_128,5
feat_336,6
feat_105,7
feat_442,8
feat_48,9
feat_472,10
feat_323,11
feat_264,12
feat_493,13
feat_374,14
feat_280,15
feat_126,16
feat_302,17
feat_205,18
feat_424,19
feat_408,20
feat_295,21
feat_55,22
feat_74,23
feat_305,24
feat_309,25
feat_314,26
feat_154,27
feat_204,28
feat_85,29
feat_443,30
feat_243,31
feat_25,32
feat_386,33
feat_147,34
feat_43,35
feat_458,36
feat_409,37
feat_334,38
feat_59,39
feat_378,40
feat_251,41
feat_322,42
feat_382,43
feat_283,44
feat_196,45
feat_321,46
feat_36,47
feat_331,48
feat_32,49
feat_454,50
