original_index,target
445,0
519,0
409,0
78,1
294,0
182,1
188,0
169,0
365,1
375,0
272,1
353,1
306,0
158,0
277,1
347,0
105,1
257,1
364,0
421,0
92,0
401,0
476,0
562,1
324,0
261,1
242,0
222,0
466,0
561,0
83,1
84,0
430,1
43,1
559,0
328,1
143,0
495,0
48,0
337,1
103,0
391,0
534,0
102,0
457,0
521,1
132,1
151,0
136,0
1,1
373,1
408,1
493,0
86,1
241,0
266,0
191,0
558,0
131,1
173,0
140,0
359,0
378,0
311,0
278,0
372,1
60,0
79,0
335,1
566,1
329,1
501,1
366,1
393,1
237,1
553,0
354,0
374,0
402,0
389,1
137,0
161,1
134,1
332,0
413,0
93,0
68,0
45,1
39,1
443,0
398,0
555,0
181,1
301,0
459,0
216,0
442,0
255,1
361,0
218,1
234,0
567,1
180,1
432,1
475,0
433,1
0,1
28,1
156,1
505,0
230,1
503,1
467,0
224,0
469,0
547,0
485,0
568,0
198,1
513,0
138,1
119,1
213,1
155,0
129,1
452,0
273,0
528,0
380,0
303,0
405,0
100,1
197,1
170,0
416,0
341,0
556,0
36,1
287,0
121,1
425,0
395,0
126,1
548,0
388,0
280,1
174,0
236,1
217,0
424,0
250,1
215,1
162,1
478,0
323,1
536,1
525,0
141,1
336,0
415,0
54,1
160,0
407,0
10,1
345,0
474,0
55,0
500,0
392,1
533,1
232,0
368,1
245,0
530,0
109,0
499,1
406,0
49,0
87,1
183,0
187,0
420,0
190,1
483,0
369,1
554,0
116,0
122,1
133,0
243,0
412,0
220,0
305,0
201,1
540,0
233,1
247,0
14,1
8,1
66,0
431,0
360,0
264,1
32,1
263,1
235,0
507,0
94,1
46,0
300,1
327,0
458,0
524,0
463,0
319,0
470,0
5,1
283,1
414,1
490,0
229,1
526,0
178,0
246,0
15,1
148,0
82,1
322,0
144,0
509,1
27,1
3,1
453,0
564,1
179,0
444,1
25,1
450,0
310,0
349,0
296,0
112,0
285,0
209,0
33,1
541,0
387,0
275,0
251,0
118,1
418,0
22,1
91,1
560,0
339,1
192,0
74,0
72,1
449,1
123,0
289,0
130,0
175,0
334,0
522,0
214,1
53,1
419,0
292,0
31,1
19,0
411,0
344,0
208,0
95,1
2,1
488,0
249,0
256,1
24,1
461,1
164,1
291,0
98,0
532,0
565,1
270,0
352,1
135,1
480,0
370,1
367,0
514,1
52,0
502,0
330,1
85,1
226,0
549,0
221,0
472,0
542,0
239,1
316,0
473,0
551,0
397,0
80,0
326,0
494,0
57,1
504,0
16,1
50,0
340,0
439,0
462,0
511,0
244,1
318,0
436,0
199,1
286,0
219,1
125,0
154,0
538,0
342,0
63,0
267,0
26,1
314,0
313,0
498,1
106,0
382,0
460,1
227,0
40,1
451,1
517,1
59,0
308,0
75,1
410,0
523,0
77,1
350,0
290,0
379,1
41,1
299,0
165,0
435,1
325,0
544,0
400,1
20,0
186,1
550,0
107,0
281,0
58,0
114,0
147,0
317,1
127,1
304,0
51,0
315,0
396,0
358,0
454,0
288,0
537,0
70,1
357,0
468,1
515,0
333,0
110,0
331,0
167,1
113,0
128,0
210,1
295,0
193,1
212,1
268,0
423,0
172,1
376,0
545,0
434,0
171,1
520,0
404,0
