original_index,target
1696,0
1572,0
477,1
649,1
568,0
1958,0
1055,0
66,0
748,1
1363,1
1401,1
239,0
1561,0
42,1
1791,1
647,1
712,0
412,1
1021,1
1967,1
337,1
1701,0
191,1
1842,1
770,0
1827,1
1137,0
689,0
1,0
1425,0
713,1
1665,1
793,0
12,1
604,1
1510,1
573,1
597,1
527,0
1212,0
1719,1
1451,0
320,0
1060,0
1242,0
796,0
892,0
1628,1
1213,1
659,0
43,1
1774,1
943,1
511,0
1982,0
100,0
1752,1
1929,1
658,1
1798,0
1113,0
1164,0
98,0
1073,1
1669,0
802,1
784,0
1215,0
935,1
538,0
1385,1
1527,0
734,0
1834,1
1345,0
1238,0
1281,1
1390,0
882,0
1534,1
878,1
1090,0
1157,0
792,1
359,0
142,0
348,1
1630,1
1436,1
389,0
1468,1
1507,1
1500,1
1601,1
559,1
561,1
667,1
247,0
1453,0
1387,1
1585,1
1965,0
1252,0
1786,0
814,1
1737,0
1251,1
1814,0
900,1
90,0
646,1
369,1
1936,0
716,1
205,0
171,1
192,1
1400,0
1480,0
1227,1
927,0
314,1
687,0
382,0
964,0
1718,0
1879,1
1349,0
1449,0
1891,0
518,0
1813,0
1612,1
1004,1
1582,1
726,0
509,1
502,0
574,0
310,0
471,1
1768,1
1520,0
1493,1
1182,1
1801,0
1136,1
1214,1
999,0
297,0
1793,1
1485,0
1953,0
236,1
1836,1
1211,1
463,0
1887,0
1839,1
363,0
1778,0
147,0
758,1
765,0
1154,1
1649,1
555,0
1249,1
1138,0
683,1
482,0
170,1
1357,1
1123,0
1321,1
86,1
1427,1
271,1
393,1
37,0
813,1
595,0
795,0
1110,1
870,1
1310,0
910,1
1050,0
1403,1
1957,1
1529,1
1225,1
981,0
1437,0
1197,1
203,1
524,0
1195,0
1526,0
1340,0
1811,1
914,0
1858,1
1177,1
83,0
1910,0
67,1
1908,0
223,0
1228,0
1983,0
78,1
137,0
1304,1
1624,0
876,1
1370,0
1703,0
1083,1
260,1
488,1
1557,1
740,1
1428,1
694,0
1337,1
616,1
13,0
1314,0
1373,0
965,1
87,0
938,1
200,0
1135,1
1677,1
525,0
1189,1
1429,1
1866,0
1481,1
1059,0
611,0
1377,0
642,0
365,0
447,0
126,0
220,0
1987,1
332,0
1067,1
729,1
1246,0
588,0
534,0
1747,0
24,0
693,0
1355,0
536,0
1545,1
807,0
1367,1
217,1
1781,0
58,1
1404,0
1981,1
1204,0
3,1
1498,0
465,1
1163,0
1435,1
1937,0
210,1
1658,0
1663,0
884,0
1874,0
1732,0
1942,0
1893,1
1684,0
582,1
1651,1
547,1
1134,0
1419,1
1300,0
1358,1
1971,0
284,1
1105,1
1682,1
945,1
283,1
493,1
1600,0
746,1
1044,1
404,0
1856,1
158,0
456,1
10,0
484,0
188,1
499,0
1948,1
430,0
288,1
1173,1
1384,0
1711,0
605,0
529,1
494,0
673,1
1169,1
1622,1
84,0
212,0
1126,0
1305,0
1505,0
1898,1
1308,1
1144,0
1540,0
1707,0
1454,1
1528,1
865,1
181,1
1783,1
1440,0
824,1
803,1
458,0
1051,1
1191,0
272,1
474,1
143,1
1068,1
136,0
1609,0
995,1
721,1
1269,1
1830,0
644,0
328,0
1414,1
1202,0
944,1
1751,1
1646,1
1187,0
483,1
487,1
973,1
289,0
881,0
214,0
1514,1
565,0
532,1
291,1
1049,1
1155,1
848,0
829,0
1120,1
1797,0
1388,0
497,1
1091,0
1664,0
1986,0
432,0
1616,1
207,0
893,1
230,1
1455,0
189,1
1960,1
1247,1
296,0
1371,0
21,1
1015,0
1627,0
453,0
1325,1
1702,1
475,0
1339,0
946,1
1916,1
537,0
953,1
1259,0
1867,0
903,0
1078,0
718,1
1056,1
1831,1
1694,0
1777,1
955,0
967,0
1756,0
1962,0
1905,1
840,0
720,1
275,1
788,0
1676,1
1360,0
1637,1
1046,0
774,1
51,0
1008,0
778,1
677,1
1100,0
102,1
1393,0
11,0
233,1
41,1
890,0
1410,1
572,0
322,0
591,0
1030,1
286,1
567,1
618,1
1906,1
749,0
251,1
1217,0
1442,1
161,1
187,1
1932,0
30,0
1750,1
1657,0
274,1
1408,1
313,1
1499,0
1894,0
1604,0
722,1
1031,0
501,1
648,0
619,0
344,0
1989,1
227,1
1192,1
1730,0
1550,0
342,0
1647,1
1794,1
583,1
129,0
989,0
1521,0
373,1
1762,1
370,1
587,1
1776,0
1884,1
817,1
808,1
215,0
1870,1
1998,1
1103,0
652,1
1264,0
1895,0
1819,1
331,1
889,1
1162,0
594,1
1084,0
586,1
1036,1
316,1
1885,1
1950,1
1475,1
398,1
308,1
513,1
1018,0
557,1
786,1
1854,1
1326,1
1654,0
1824,1
301,0
225,0
593,0
94,0
1660,1
799,1
1722,1
661,1
951,1
19,1
249,0
1976,1
61,1
1334,0
123,0
193,0
1849,0
820,0
1002,1
1034,0
386,0
1506,0
14,0
413,1
1995,1
846,0
248,0
1495,1
975,0
128,0
849,0
1283,1
1735,0
913,0
1758,0
832,1
1833,1
1551,0
446,1
1398,0
1583,0
360,1
1903,1
1619,1
1700,1
1913,0
1188,1
469,1
1233,1
387,1
455,0
772,0
1549,1
952,1
983,1
627,1
752,1
897,1
169,0
1581,0
997,1
64,0
130,0
1573,1
261,0
1513,0
27,0
429,0
777,1
1024,1
167,1
428,1
341,1
1028,1
1476,1
1554,1
304,1
1220,0
635,1
947,1
1261,0
287,1
977,0
545,1
1565,0
218,1
1039,1
1003,1
531,0
356,1
1963,0
852,0
1653,1
362,0
783,0
259,1
517,0
1765,0
830,1
1639,1
440,1
1544,1
1966,0
154,0
1171,1
678,1
629,0
1558,1
753,1
318,1
383,0
1725,1
47,0
1461,1
1863,1
1313,0
116,0
1311,0
743,1
1745,1
1674,1
146,1
388,1
1720,1
1919,0
1289,0
1598,0
466,0
1418,0
395,1
1816,0
1087,0
1465,1
1738,0
1535,1
1295,1
1662,0
1104,0
1450,0
1578,1
1985,1
160,0
1596,1
737,0
1787,1
330,1
523,0
1411,1
340,1
980,1
1714,0
1265,1
1076,0
1194,0
851,1
1115,0
1934,1
1788,0
25,0
175,1
835,1
1268,1
1303,0
1904,1
1097,1
358,0
202,1
144,0
1409,1
185,0
988,0
1512,1
1263,1
1580,1
1881,1
1822,1
1052,1
339,1
88,0
1575,0
1508,0
1175,0
601,1
1017,1
916,0
1474,0
1809,0
1190,0
1445,1
1780,0
1838,1
427,1
624,0
1071,0
406,0
1484,1
1368,1
44,0
641,1
397,1
1109,1
282,0
528,1
1595,1
1125,0
1239,1
199,1
1686,0
1186,0
533,0
1804,1
607,1
1523,0
1070,1
1626,0
578,1
1859,0
704,0
1538,0
336,1
1524,0
46,1
887,0
1426,0
1571,0
490,0
366,0
931,0
324,1
901,1
28,1
614,1
925,1
1301,1
961,1
1112,0
625,1
262,1
1124,0
40,1
761,0
1721,1
1633,0
1629,0
1810,1
443,0
962,1
855,1
1727,0
391,1
1945,1
407,1
1397,1
1872,1
526,0
1704,0
1850,0
1341,1
1918,0
569,0
1431,0
1826,0
960,1
833,1
1954,0
1864,0
450,1
63,0
1661,1
949,1
1494,1
131,0
730,1
1128,1
1625,1
1347,0
355,0
380,0
311,1
1178,0
779,1
436,0
263,0
1423,1
1023,0
1530,0
863,1
1853,1
630,1
96,0
1946,0
53,0
850,1
1731,1
1223,1
1099,1
1061,0
1331,0
845,1
1218,0
139,1
745,1
1316,1
1710,0
1183,1
1193,1
76,0
1342,0
292,1
1951,1
232,0
1145,1
354,0
1392,0
1229,0
1179,1
908,1
1525,1
715,1
112,0
104,1
1376,0
1757,1
343,1
1734,1
1066,0
1873,1
1900,0
303,1
1771,0
300,1
516,1
1802,1
1897,1
20,0
968,1
1014,1
1588,1
1080,0
801,1
921,1
1938,1
149,0
1170,0
768,1
1184,1
1769,0
1847,0
211,0
1584,1
415,1
481,0
93,1
1949,1
4,1
1161,0
654,1
1623,0
1733,0
1098,0
256,0
1275,1
379,1
1566,1
1129,0
506,0
617,0
546,0
1644,0
361,0
71,1
1796,0
1278,0
1416,0
1670,1
1114,0
1250,1
1287,0
258,1
1383,0
780,0
109,1
868,0
1210,1
1829,1
240,1
495,0
1618,0
478,0
18,0
782,1
1632,1
166,1
444,1
1119,1
789,1
1823,0
257,0
1488,0
133,1
929,1
558,0
896,0
1466,0
118,1
281,1
178,0
742,0
401,0
347,0
39,0
1486,1
839,1
1294,1
1469,0
1025,1
1256,1
462,1
1574,0
633,0
709,1
1277,0
979,1
1106,0
982,0
1101,1
114,1
1642,1
1851,0
711,1
1997,0
1009,1
1284,0
717,0
1671,1
695,0
1335,1
1374,1
1594,0
705,0
767,1
1352,0
1276,1
1458,0
101,0
1327,0
520,1
350,1
1808,0
1799,0
1075,1
731,0
1828,0
242,0
519,0
486,0
584,0
522,1
512,1
754,0
1886,0
1121,0
1712,0
826,0
1974,0
1648,1
1687,0
1234,0
562,0
1386,0
1576,0
1907,0
1795,0
69,1
1509,1
423,0
1502,0
155,1
1353,0
16,0
485,1
1726,1
1102,0
62,0
798,1
1152,1
32,1
72,0
152,0
269,0
59,1
1081,0
1452,1
33,1
448,0
831,1
1925,0
1766,1
1570,0
1348,1
769,0
1037,1
1914,0
773,1
815,1
325,1
1843,1
9,0
172,1
942,1
1806,0
1611,1
55,1
1924,0
1490,0
306,1
1315,1
213,1
800,1
1947,1
663,0
1541,1
626,1
1568,1
1715,0
576,1
1920,0
364,0
208,0
173,0
177,1
873,0
1746,1
1888,0
1231,1
580,0
620,0
875,0
496,1
1447,1
255,0
1000,0
1148,1
1764,1
1784,0
834,1
1380,0
854,0
1065,0
1782,0
1048,0
549,1
1379,1
1012,0
498,0
1964,1
1432,1
1167,0
1877,0
676,0
461,0
250,0
1203,1
1165,1
1158,0
120,0
309,1
234,0
23,1
1185,1
1761,0
1306,1
1560,0
1917,1
473,0
1970,1
1655,0
157,0
541,0
1282,1
1402,1
1389,1
956,1
1472,1
1890,0
924,1
1921,0
963,1
1869,0
1533,1
1296,0
1845,1
411,1
268,0
1716,1
1959,1
857,1
837,0
1717,0
790,1
153,0
1257,0
1597,1
1042,1
1759,1
1876,0
1064,0
1146,0
1201,1
1988,0
34,1
1430,0
442,0
1532,1
640,0
1279,0
615,0
1045,1
755,1
302,1
739,1
1855,0
639,1
1666,1
858,1
662,0
1723,0
1291,1
645,1
1760,0
1053,1
886,1
1614,0
911,1
631,1
204,0
1972,1
491,1
1108,0
244,0
307,0
1058,1
1516,0
1693,1
1142,0
421,1
1697,1
1555,1
60,0
1365,1
335,1
1835,0
825,1
598,0
323,1
590,0
978,0
1248,0
1292,0
974,1
579,0
727,1
1041,1
1022,1
1880,1
1755,0
535,0
822,0
733,0
196,0
1219,1
156,1
70,0
246,1
1832,1
1273,1
872,1
1652,1
785,0
2,0
827,1
315,1
736,1
237,1
95,1
702,0
91,0
991,0
1779,1
530,1
168,0
141,0
976,0
1297,1
50,0
1274,0
1763,0
1369,0
1709,0
400,1
254,0
1871,1
1955,1
563,0
1088,0
1344,0
184,0
1688,0
828,0
987,0
1901,1
899,0
939,1
724,0
650,1
1062,0
368,0
1405,1
319,1
842,1
1312,1
245,1
1621,0
1539,1
425,0
1613,1
1672,0
403,0
1640,1
422,1
542,0
1221,0
194,0
1434,0
1011,0
1667,1
1346,1
1074,0
1754,0
183,0
806,0
416,1
972,0
1412,1
1848,0
744,1
