dataset,method,n_selected_rows,mean_rank
breast_cancer_wisconsin,f_classif,83,10.493975903614459
breast_cancer_wisconsin,l1_logistic,83,10.493975903614459
breast_cancer_wisconsin,linear_svm,83,10.493975903614459
breast_cancer_wisconsin,mrmr_approx,83,10.493975903614459
breast_cancer_wisconsin,mutual_info,83,10.493975903614459
breast_cancer_wisconsin,random_forest,83,10.493975903614459
breast_cancer_wisconsin,variance,83,10.493975903614459
customer_churn,f_classif,35,5.742857142857143
customer_churn,l1_logistic,35,5.742857142857143
customer_churn,linear_svm,35,5.742857142857143
customer_churn,mrmr_approx,35,5.742857142857143
customer_churn,mutual_info,35,5.742857142857143
customer_churn,random_forest,35,5.742857142857143
customer_churn,variance,35,5.742857142857143
madelon,f_classif,152,15.743421052631579
madelon,l1_logistic,152,15.743421052631579
madelon,linear_svm,152,15.743421052631579
madelon,mrmr_approx,152,15.743421052631579
madelon,mutual_info,152,15.743421052631579
madelon,random_forest,152,15.743421052631579
madelon,variance,152,15.743421052631579
olive_oil_3class,f_classif,16,3.5625
olive_oil_3class,l1_logistic,16,3.5625
olive_oil_3class,linear_svm,16,3.5625
olive_oil_3class,mrmr_approx,16,3.5625
olive_oil_3class,mutual_info,16,3.5625
olive_oil_3class,random_forest,16,3.5625
olive_oil_3class,variance,16,3.5625
olive_oil_9class,f_classif,16,3.5625
olive_oil_9class,l1_logistic,16,3.5625
olive_oil_9class,linear_svm,16,3.5625
olive_oil_9class,mrmr_approx,16,3.5625
olive_oil_9class,mutual_info,16,3.5625
olive_oil_9class,random_forest,16,3.5625
olive_oil_9class,variance,16,3.5625
