dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
breast_cancer_wisconsin,random_forest,embedded,13,10,perimeter_worst,1,0.14879243463930525,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,radius_worst,2,0.12967113504433883,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,area_worst,3,0.10272520244977472,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,concave_points_mean,4,0.09736107935343989,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,concave_points_worst,5,0.09580478755305383,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,concavity_mean,6,0.0650324629901363,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,area_mean,7,0.06176502552036989,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,concavity_worst,8,0.0544343602026783,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,radius_mean,9,0.04353161133833298,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,area_se,10,0.041303807875517184,True,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,perimeter_mean,11,0.034693315788333665,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,texture_worst,12,0.016103253449936853,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,texture_mean,13,0.012782726814066439,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,perimeter_se,14,0.012010232781422082,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,smoothness_worst,15,0.009241154065720921,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,compactness_worst,16,0.008129302003206782,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,radius_se,17,0.007925614875922056,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,symmetry_worst,18,0.007583092156076522,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,compactness_mean,19,0.007273880158384052,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,concavity_se,20,0.00705275327568679,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,fractal_dimension_worst,21,0.006782888477115425,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,smoothness_mean,22,0.005350855516041327,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,compactness_se,23,0.004179111828586334,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,fractal_dimension_mean,24,0.0037462695555781998,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,texture_se,25,0.003284743188653801,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,fractal_dimension_se,26,0.00325950364100722,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,smoothness_se,27,0.0032192619900179302,False,0.6142015727236867,398,ok
breast_cancer_wisconsin,random_forest,embedded,13,10,symmetry_se,28,0.0031698080715339976,False,0.6142015727236867,398,ok
