dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_3class,f_classif,filtros supervisados,13,5,other,1,757.4912293532601,True,0.00045114848762750626,400,ok
olive_oil_3class,f_classif,filtros supervisados,13,5,linoleic,2,240.87348702912428,True,0.00045114848762750626,400,ok
olive_oil_3class,f_classif,filtros supervisados,13,5,linolenic,3,177.29849317760792,True,0.00045114848762750626,400,ok
olive_oil_3class,f_classif,filtros supervisados,13,5,palmitoleic,4,175.9682855804314,True,0.00045114848762750626,400,ok
olive_oil_3class,f_classif,filtros supervisados,13,5,stearic,5,148.45818802526765,True,0.00045114848762750626,400,ok
olive_oil_3class,f_classif,filtros supervisados,13,5,arachidic,6,93.56945797481043,False,0.00045114848762750626,400,ok
olive_oil_3class,f_classif,filtros supervisados,13,5,eicosenoic,7,83.09820186454473,False,0.00045114848762750626,400,ok
olive_oil_3class,f_classif,filtros supervisados,13,5,oleic,8,0.1325069192331443,False,0.00045114848762750626,400,ok
olive_oil_3class,f_classif,filtros supervisados,42,5,other,1,757.4912293532601,True,0.00040085334330797195,400,ok
olive_oil_3class,f_classif,filtros supervisados,42,5,linoleic,2,240.87348702912428,True,0.00040085334330797195,400,ok
olive_oil_3class,f_classif,filtros supervisados,42,5,linolenic,3,177.29849317760792,True,0.00040085334330797195,400,ok
olive_oil_3class,f_classif,filtros supervisados,42,5,palmitoleic,4,175.9682855804314,True,0.00040085334330797195,400,ok
olive_oil_3class,f_classif,filtros supervisados,42,5,stearic,5,148.45818802526765,True,0.00040085334330797195,400,ok
olive_oil_3class,f_classif,filtros supervisados,42,5,arachidic,6,93.56945797481043,False,0.00040085334330797195,400,ok
olive_oil_3class,f_classif,filtros supervisados,42,5,eicosenoic,7,83.09820186454473,False,0.00040085334330797195,400,ok
olive_oil_3class,f_classif,filtros supervisados,42,5,oleic,8,0.1325069192331443,False,0.00040085334330797195,400,ok
olive_oil_3class,f_classif,filtros supervisados,97,5,other,1,757.4912293532601,True,0.0003982400521636009,400,ok
olive_oil_3class,f_classif,filtros supervisados,97,5,linoleic,2,240.87348702912428,True,0.0003982400521636009,400,ok
olive_oil_3class,f_classif,filtros supervisados,97,5,linolenic,3,177.29849317760792,True,0.0003982400521636009,400,ok
olive_oil_3class,f_classif,filtros supervisados,97,5,palmitoleic,4,175.9682855804314,True,0.0003982400521636009,400,ok
olive_oil_3class,f_classif,filtros supervisados,97,5,stearic,5,148.45818802526765,True,0.0003982400521636009,400,ok
olive_oil_3class,f_classif,filtros supervisados,97,5,arachidic,6,93.56945797481043,False,0.0003982400521636009,400,ok
olive_oil_3class,f_classif,filtros supervisados,97,5,eicosenoic,7,83.09820186454473,False,0.0003982400521636009,400,ok
olive_oil_3class,f_classif,filtros supervisados,97,5,oleic,8,0.1325069192331443,False,0.0003982400521636009,400,ok
