dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_3class,mrmr_approx,relevancia-redundancia,13,3,other,1,8.39723244984833,True,0.00888931006193161,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,13,3,linolenic,2,7.218249453451588,True,0.00888931006193161,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,13,3,oleic,3,6.147848083289285,True,0.00888931006193161,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,13,3,stearic,4,5.145172231352414,False,0.00888931006193161,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,13,3,eicosenoic,5,4.171722772308247,False,0.00888931006193161,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,13,3,arachidic,6,3.126465671413557,False,0.00888931006193161,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,13,3,palmitoleic,7,2.072320141537121,False,0.00888931006193161,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,13,3,linoleic,8,1.0142825466706056,False,0.00888931006193161,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,42,3,other,1,8.398795236304187,True,0.008910804986953735,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,42,3,linolenic,2,7.2132867032051635,True,0.008910804986953735,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,42,3,oleic,3,6.155308169621459,True,0.008910804986953735,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,42,3,arachidic,4,5.164537649252105,False,0.008910804986953735,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,42,3,stearic,5,4.181513161776602,False,0.008910804986953735,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,42,3,eicosenoic,6,3.104790242790816,False,0.008910804986953735,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,42,3,palmitoleic,7,2.0882946244232117,False,0.008910804986953735,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,42,3,linoleic,8,1.0216794445549782,False,0.008910804986953735,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,97,3,other,1,8.4049581305975,True,0.008978331461548805,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,97,3,linolenic,2,7.215641182307485,True,0.008978331461548805,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,97,3,oleic,3,6.148841231129935,True,0.008978331461548805,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,97,3,arachidic,4,5.153825793121298,False,0.008978331461548805,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,97,3,stearic,5,4.187025416896365,False,0.008978331461548805,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,97,3,eicosenoic,6,3.112407842007418,False,0.008978331461548805,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,97,3,palmitoleic,7,2.0739395901960975,False,0.008978331461548805,400,ok
olive_oil_3class,mrmr_approx,relevancia-redundancia,97,3,linoleic,8,1.0206201388018012,False,0.008978331461548805,400,ok
