dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_3class,variance,filtros,13,5,eicosenoic,1,1.0025062656641608,True,0.0001442059874534607,400,ok
olive_oil_3class,variance,filtros,13,5,other,2,1.0025062656641606,True,0.0001442059874534607,400,ok
olive_oil_3class,variance,filtros,13,5,stearic,3,1.0025062656641603,True,0.0001442059874534607,400,ok
olive_oil_3class,variance,filtros,13,5,linoleic,4,1.0025062656641603,True,0.0001442059874534607,400,ok
olive_oil_3class,variance,filtros,13,5,arachidic,5,1.0025062656641603,True,0.0001442059874534607,400,ok
olive_oil_3class,variance,filtros,13,5,linolenic,6,1.0025062656641603,False,0.0001442059874534607,400,ok
olive_oil_3class,variance,filtros,13,5,oleic,7,1.0025062656641601,False,0.0001442059874534607,400,ok
olive_oil_3class,variance,filtros,13,5,palmitoleic,8,1.0025062656641601,False,0.0001442059874534607,400,ok
olive_oil_3class,variance,filtros,42,5,eicosenoic,1,1.0025062656641608,True,9.185913950204849e-05,400,ok
olive_oil_3class,variance,filtros,42,5,other,2,1.0025062656641606,True,9.185913950204849e-05,400,ok
olive_oil_3class,variance,filtros,42,5,stearic,3,1.0025062656641603,True,9.185913950204849e-05,400,ok
olive_oil_3class,variance,filtros,42,5,linoleic,4,1.0025062656641603,True,9.185913950204849e-05,400,ok
olive_oil_3class,variance,filtros,42,5,arachidic,5,1.0025062656641603,True,9.185913950204849e-05,400,ok
olive_oil_3class,variance,filtros,42,5,linolenic,6,1.0025062656641603,False,9.185913950204849e-05,400,ok
olive_oil_3class,variance,filtros,42,5,oleic,7,1.0025062656641601,False,9.185913950204849e-05,400,ok
olive_oil_3class,variance,filtros,42,5,palmitoleic,8,1.0025062656641601,False,9.185913950204849e-05,400,ok
olive_oil_3class,variance,filtros,97,5,eicosenoic,1,1.0025062656641608,True,8.392427116632462e-05,400,ok
olive_oil_3class,variance,filtros,97,5,other,2,1.0025062656641606,True,8.392427116632462e-05,400,ok
olive_oil_3class,variance,filtros,97,5,stearic,3,1.0025062656641603,True,8.392427116632462e-05,400,ok
olive_oil_3class,variance,filtros,97,5,linoleic,4,1.0025062656641603,True,8.392427116632462e-05,400,ok
olive_oil_3class,variance,filtros,97,5,arachidic,5,1.0025062656641603,True,8.392427116632462e-05,400,ok
olive_oil_3class,variance,filtros,97,5,linolenic,6,1.0025062656641603,False,8.392427116632462e-05,400,ok
olive_oil_3class,variance,filtros,97,5,oleic,7,1.0025062656641601,False,8.392427116632462e-05,400,ok
olive_oil_3class,variance,filtros,97,5,palmitoleic,8,1.0025062656641601,False,8.392427116632462e-05,400,ok
