dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
breast_cancer_wisconsin,f_classif,filtros supervisados,13,5,concave_points_worst,1,689.7956569938996,True,0.0005545048043131828,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,13,5,perimeter_worst,2,654.7093579089052,True,0.0005545048043131828,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,13,5,radius_worst,3,635.4209016321784,True,0.0005545048043131828,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,13,5,concave_points_mean,4,604.5547064555041,True,0.0005545048043131828,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,13,5,perimeter_mean,5,505.4546811466068,True,0.0005545048043131828,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,42,5,concave_points_worst,1,689.7956569938996,True,0.00048555806279182434,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,42,5,perimeter_worst,2,654.7093579089052,True,0.00048555806279182434,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,42,5,radius_worst,3,635.4209016321784,True,0.00048555806279182434,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,42,5,concave_points_mean,4,604.5547064555041,True,0.00048555806279182434,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,42,5,perimeter_mean,5,505.4546811466068,True,0.00048555806279182434,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,97,5,concave_points_worst,1,689.7956569938996,True,0.00046415068209171295,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,97,5,perimeter_worst,2,654.7093579089052,True,0.00046415068209171295,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,97,5,radius_worst,3,635.4209016321784,True,0.00046415068209171295,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,97,5,concave_points_mean,4,604.5547064555041,True,0.00046415068209171295,398,ok
breast_cancer_wisconsin,f_classif,filtros supervisados,97,5,perimeter_mean,5,505.4546811466068,True,0.00046415068209171295,398,ok
