dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
breast_cancer_wisconsin,linear_svm,embedded,13,10,texture_worst,1,0.41176940101571,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,radius_worst,2,0.30221207524360916,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,area_worst,3,0.2809978211647567,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,concavity_worst,4,0.27117625288657166,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,concavity_mean,5,0.23881460145007943,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,perimeter_worst,6,0.23817236923091553,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,concave_points_mean,7,0.23351559147679624,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,radius_se,8,0.22740638127111037,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,concave_points_worst,9,0.210911496289267,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,13,10,area_se,10,0.20082455996785534,True,0.0058997152373194695,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,texture_worst,1,0.41176940101571,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,radius_worst,2,0.30221207524360916,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,area_worst,3,0.2809978211647567,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,concavity_worst,4,0.27117625288657166,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,concavity_mean,5,0.23881460145007943,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,perimeter_worst,6,0.23817236923091553,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,concave_points_mean,7,0.23351559147679624,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,radius_se,8,0.22740638127111037,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,concave_points_worst,9,0.210911496289267,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,42,10,area_se,10,0.20082455996785534,True,0.0060585737228393555,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,texture_worst,1,0.41176940101571,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,radius_worst,2,0.30221207524360916,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,area_worst,3,0.2809978211647567,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,concavity_worst,4,0.27117625288657166,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,concavity_mean,5,0.23881460145007943,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,perimeter_worst,6,0.23817236923091553,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,concave_points_mean,7,0.23351559147679624,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,radius_se,8,0.22740638127111037,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,concave_points_worst,9,0.210911496289267,True,0.004319502040743828,398,ok
breast_cancer_wisconsin,linear_svm,embedded,97,10,area_se,10,0.20082455996785534,True,0.004319502040743828,398,ok
