dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
customer_churn,mrmr_approx,relevancia-redundancia,13,4,support_calls,1,15.19623683895033,True,0.10218016058206558,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,13,4,total_spend,2,14.000785069290401,True,0.10218016058206558,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,13,4,subscription_type_Basic,3,12.991581492195314,True,0.10218016058206558,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,13,4,payment_delay,4,12.03096822786137,True,0.10218016058206558,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,42,4,total_spend,1,15.192373417258125,True,0.1024121344089508,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,42,4,age,2,14.065358355407275,True,0.1024121344089508,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,42,4,payment_delay,3,13.047975824724313,True,0.1024121344089508,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,42,4,support_calls,4,12.046144207646613,True,0.1024121344089508,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,97,4,total_spend,1,15.192698092789763,True,0.10244592186063528,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,97,4,age,2,14.068852842507923,True,0.10244592186063528,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,97,4,support_calls,3,13.073124953183672,True,0.10244592186063528,5000,ok
customer_churn,mrmr_approx,relevancia-redundancia,97,4,payment_delay,4,12.02208480003276,True,0.10244592186063528,5000,ok
