dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
madelon,f_classif,filtros supervisados,13,15,feat_475,1,66.24959543630754,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_241,2,64.9647328834236,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_336,3,34.003655434292206,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_64,4,33.8820918886158,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_128,5,24.60339263406139,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_105,6,24.272663873565524,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_48,7,20.263712904263098,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_378,8,18.944021978226207,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_338,9,18.261026463533273,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_442,10,17.83095988135783,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_472,11,15.678788868543483,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_493,12,14.221196159890628,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_453,13,12.285454919079438,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_424,14,10.058463256245362,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,13,15,feat_264,15,8.14764625352794,True,0.0026780683547258377,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_475,1,66.24959543630754,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_241,2,64.9647328834236,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_336,3,34.003655434292206,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_64,4,33.8820918886158,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_128,5,24.60339263406139,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_105,6,24.272663873565524,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_48,7,20.263712904263098,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_378,8,18.944021978226207,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_338,9,18.261026463533273,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_442,10,17.83095988135783,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_472,11,15.678788868543483,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_493,12,14.221196159890628,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_453,13,12.285454919079438,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_424,14,10.058463256245362,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,42,15,feat_264,15,8.14764625352794,True,0.0022332286462187767,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_475,1,66.24959543630754,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_241,2,64.9647328834236,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_336,3,34.003655434292206,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_64,4,33.8820918886158,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_128,5,24.60339263406139,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_105,6,24.272663873565524,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_48,7,20.263712904263098,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_378,8,18.944021978226207,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_338,9,18.261026463533273,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_442,10,17.83095988135783,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_472,11,15.678788868543483,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_493,12,14.221196159890628,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_453,13,12.285454919079438,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_424,14,10.058463256245362,True,0.0022557834163308144,1400,ok
madelon,f_classif,filtros supervisados,97,15,feat_264,15,8.14764625352794,True,0.0022557834163308144,1400,ok
