dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
madelon,l1_logistic,regularizacion,13,50,feat_475,1,0.36887866464947744,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_48,2,0.2557615442119138,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_296,3,0.20033035999754567,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_323,4,0.19647369770946577,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_264,5,0.19463594215889138,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_10,6,0.19418804050898328,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_481,7,0.18688316679938155,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_424,8,0.18236233524027087,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_44,9,0.17896554875756837,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_468,10,0.17848681946621062,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_168,11,0.17847773686629168,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_448,12,0.16948346655985047,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_414,13,0.16563191202355845,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_309,14,0.16054931535815448,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_137,15,0.1590645603681295,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_42,16,0.15761832889319188,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_26,17,0.15734451261999483,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_438,18,0.15409243973992173,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_343,19,0.15182159592299085,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_377,20,0.1507437228607618,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_60,21,0.15062401860715038,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_282,22,0.1446289554626707,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_441,23,0.14406478524299088,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_220,24,0.14365778505025287,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_140,25,0.13777375300302266,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_425,26,0.12851677188560892,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_442,27,0.12670352199072965,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_162,28,0.1259595961794761,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_53,29,0.12553644551565593,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_410,30,0.12497549420426313,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_454,31,0.12371144058214253,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_497,32,0.12263255695725478,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_333,33,0.12175056503836182,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_403,34,0.1197944244759086,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_38,35,0.11960408526692809,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_165,36,0.11954168170281418,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_34,37,0.11709346577061791,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_65,38,0.11580284323548501,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_330,39,0.11470170848529357,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_308,40,0.11446287002803213,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_163,41,0.11372011220671924,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_348,42,0.11163695260551687,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_139,43,0.11117963463569727,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_245,44,0.10866958618113015,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_310,45,0.10825688841856085,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_358,46,0.10655354572554604,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_61,47,0.10632755619023065,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_50,48,0.10593616958895169,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_253,49,0.10281783277507242,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,13,50,feat_301,50,0.10256162534025912,True,0.7532164379954338,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_475,1,0.36888139612251086,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_48,2,0.25576149874071435,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_296,3,0.20032977298016807,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_323,4,0.19647182844179872,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_264,5,0.1946346512283996,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_10,6,0.1941891192237617,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_481,7,0.18688298232188288,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_424,8,0.18236288486023977,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_44,9,0.17896552884516165,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_468,10,0.17848703248374892,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_168,11,0.1784767991986899,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_448,12,0.16948342229642271,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_414,13,0.16563303541978028,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_309,14,0.16054929738053764,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_137,15,0.1590645578028887,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_42,16,0.15761748775529452,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_26,17,0.15734366586227588,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_438,18,0.15409134340952096,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_343,19,0.15182215594183243,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_377,20,0.15074406803463933,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_60,21,0.15062297332901214,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_282,22,0.1446294750801482,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_441,23,0.14406523300267476,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_220,24,0.1436583276674946,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_140,25,0.13777352099019308,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_425,26,0.12851666981466797,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_442,27,0.12670219470788263,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_162,28,0.12595923315513416,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_53,29,0.12553562076331926,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_410,30,0.12497611897144886,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_454,31,0.12371077726357979,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_497,32,0.12263231700830216,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_333,33,0.12175061166228532,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_403,34,0.1197948038202507,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_38,35,0.11960348064747264,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_165,36,0.11954229025528726,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_34,37,0.11709205571903045,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_65,38,0.11580286003816437,True,0.7412067325785756,1400,ok
madelon,l1_logistic,regularizacion,42,50,feat_330,39,0.11470283569739775,True,0.7412067325785756,1400,ok
