dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
madelon,mutual_info,filtros supervisados,13,15,feat_241,1,0.05511470622501813,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_78,2,0.03966812251263341,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_2,3,0.037738812474300554,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_257,4,0.03712945592343586,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_38,5,0.035058747978253146,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_475,6,0.028716868559941933,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_155,7,0.0285112787298496,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_65,8,0.028216800317088397,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_490,9,0.027639905791028374,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_358,10,0.027549577250705504,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_337,11,0.027172767770319295,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_336,12,0.02628373660868233,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_152,13,0.02613851006956991,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_487,14,0.02604868805116567,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,13,15,feat_184,15,0.025962358695635235,True,0.9820748111233115,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_241,1,0.048348969763378324,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_381,2,0.04048370052275985,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_337,3,0.03489041957463068,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_294,4,0.033559447208994175,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_192,5,0.03277812890017162,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_309,6,0.03229986587063127,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_475,7,0.031700419319836026,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_191,8,0.031207653927579182,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_349,9,0.030623394279050586,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_128,10,0.029753697517840294,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_86,11,0.029351666734517723,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_478,12,0.028794937675576948,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_110,13,0.028434213665693875,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_477,14,0.02841727572869801,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,42,15,feat_239,15,0.028212883408648803,True,0.9828604506328702,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_241,1,0.04272645864180702,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_397,2,0.03841367905324722,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_294,3,0.035862571212859295,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_180,4,0.0341862665847632,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_498,5,0.03271004079509776,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_128,6,0.030294002207251758,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_33,7,0.030272569754049794,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_153,8,0.03003680082680016,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_380,9,0.029590047109977702,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_249,10,0.02946374252422501,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_468,11,0.028664842572267757,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_191,12,0.027262060422111656,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_123,13,0.026887614112487412,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_414,14,0.02624537344429001,True,0.9827908650040627,1400,ok
madelon,mutual_info,filtros supervisados,97,15,feat_178,15,0.025817760382748522,True,0.9827908650040627,1400,ok
