dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_9class,l1_logistic,regularizacion,13,5,linolenic,1,1.1648699669568907,True,0.02311534993350506,400,ok
olive_oil_9class,l1_logistic,regularizacion,13,5,other,2,0.8274304228252152,True,0.02311534993350506,400,ok
olive_oil_9class,l1_logistic,regularizacion,13,5,oleic,3,0.46256362117999683,True,0.02311534993350506,400,ok
olive_oil_9class,l1_logistic,regularizacion,13,5,eicosenoic,4,0.44661110730544945,True,0.02311534993350506,400,ok
olive_oil_9class,l1_logistic,regularizacion,13,5,stearic,5,0.2787264293911036,True,0.02311534993350506,400,ok
olive_oil_9class,l1_logistic,regularizacion,42,5,linolenic,1,1.1650679529739467,True,0.02299546357244253,400,ok
olive_oil_9class,l1_logistic,regularizacion,42,5,other,2,0.8269209633698078,True,0.02299546357244253,400,ok
olive_oil_9class,l1_logistic,regularizacion,42,5,oleic,3,0.4626676728538761,True,0.02299546357244253,400,ok
olive_oil_9class,l1_logistic,regularizacion,42,5,eicosenoic,4,0.4465706285161068,True,0.02299546357244253,400,ok
olive_oil_9class,l1_logistic,regularizacion,42,5,stearic,5,0.27872587189497366,True,0.02299546357244253,400,ok
olive_oil_9class,l1_logistic,regularizacion,97,5,linolenic,1,1.1649790105280877,True,0.032985471189022064,400,ok
olive_oil_9class,l1_logistic,regularizacion,97,5,other,2,0.8272818394528487,True,0.032985471189022064,400,ok
olive_oil_9class,l1_logistic,regularizacion,97,5,oleic,3,0.46259528015427115,True,0.032985471189022064,400,ok
olive_oil_9class,l1_logistic,regularizacion,97,5,eicosenoic,4,0.4465906189943559,True,0.032985471189022064,400,ok
olive_oil_9class,l1_logistic,regularizacion,97,5,stearic,5,0.27873591921210417,True,0.032985471189022064,400,ok
