dataset,method,k_1,k_3,k_4,k_5,k_8,k_10,k_15,k_20,k_22,k_30,k_50
breast_cancer_wisconsin,f_classif,0,3,0,5,0,10,15,20,0,30,0
breast_cancer_wisconsin,l1_logistic,0,3,0,5,0,10,15,20,0,30,0
breast_cancer_wisconsin,linear_svm,0,3,0,5,0,10,15,20,0,30,0
breast_cancer_wisconsin,mrmr_approx,0,3,0,6,0,13,17,20,0,30,0
breast_cancer_wisconsin,mutual_info,0,3,0,5,0,10,15,21,0,30,0
breast_cancer_wisconsin,random_forest,0,4,0,6,0,11,17,22,0,30,0
breast_cancer_wisconsin,variance,0,3,0,5,0,10,15,20,0,30,0
customer_churn,f_classif,1,0,4,5,0,10,15,0,0,0,0
customer_churn,l1_logistic,1,0,4,5,0,12,15,0,0,0,0
customer_churn,linear_svm,1,0,4,5,0,12,15,0,0,0,0
customer_churn,mrmr_approx,2,0,5,7,0,12,15,0,0,0,0
customer_churn,mutual_info,2,0,4,5,0,12,15,0,0,0,0
customer_churn,random_forest,1,0,4,5,0,10,15,0,0,0,0
customer_churn,variance,1,0,4,5,0,10,15,0,0,0,0
madelon,f_classif,0,0,0,5,0,10,15,20,22,30,50
madelon,l1_logistic,0,0,0,5,0,10,15,20,22,30,50
madelon,linear_svm,0,0,0,5,0,10,15,20,22,30,50
madelon,mrmr_approx,0,0,0,13,0,26,37,51,57,76,119
madelon,mutual_info,0,0,0,12,0,25,38,52,57,74,121
madelon,random_forest,0,0,0,5,0,11,19,21,26,41,87
madelon,variance,0,0,0,5,0,10,15,20,22,30,50
olive_oil_3class,f_classif,0,3,0,5,8,0,0,0,0,0,0
olive_oil_3class,l1_logistic,0,3,0,5,8,0,0,0,0,0,0
olive_oil_3class,linear_svm,0,3,0,5,8,0,0,0,0,0,0
olive_oil_3class,mrmr_approx,0,3,0,6,8,0,0,0,0,0,0
olive_oil_3class,mutual_info,0,3,0,6,8,0,0,0,0,0,0
olive_oil_3class,random_forest,0,3,0,5,8,0,0,0,0,0,0
olive_oil_3class,variance,0,3,0,5,8,0,0,0,0,0,0
olive_oil_9class,f_classif,0,3,0,5,8,0,0,0,0,0,0
olive_oil_9class,l1_logistic,0,3,0,5,8,0,0,0,0,0,0
olive_oil_9class,linear_svm,0,3,0,5,8,0,0,0,0,0,0
olive_oil_9class,mrmr_approx,0,3,0,6,8,0,0,0,0,0,0
olive_oil_9class,mutual_info,0,3,0,5,8,0,0,0,0,0,0
olive_oil_9class,random_forest,0,3,0,6,8,0,0,0,0,0,0
olive_oil_9class,variance,0,3,0,5,8,0,0,0,0,0,0
