dataset,feature,I_i
breast_cancer_wisconsin,radius_mean,0.38989548308311317
breast_cancer_wisconsin,texture_mean,0.07364572049032003
breast_cancer_wisconsin,perimeter_mean,0.4067153761669975
breast_cancer_wisconsin,area_mean,0.38209734353411373
breast_cancer_wisconsin,smoothness_mean,0.0746211132940231
breast_cancer_wisconsin,compactness_mean,0.20365547390101413
breast_cancer_wisconsin,concavity_mean,0.3736559377989481
breast_cancer_wisconsin,concave_points_mean,0.4544343790450014
breast_cancer_wisconsin,symmetry_mean,0.05955045922061375
breast_cancer_wisconsin,fractal_dimension_mean,0.0023152864083053615
breast_cancer_wisconsin,radius_se,0.2624368597708744
breast_cancer_wisconsin,texture_se,0.030188905108309072
breast_cancer_wisconsin,perimeter_se,0.2674245584033863
breast_cancer_wisconsin,area_se,0.3436324472460959
breast_cancer_wisconsin,smoothness_se,0.03228925749191047
breast_cancer_wisconsin,compactness_se,0.0773690806619356
breast_cancer_wisconsin,concavity_se,0.1470135207396539
breast_cancer_wisconsin,concave_points_se,0.12673716180804995
breast_cancer_wisconsin,symmetry_se,0.020692851055183592
breast_cancer_wisconsin,fractal_dimension_se,0.04195692862561651
breast_cancer_wisconsin,radius_worst,0.47854281690245704
breast_cancer_wisconsin,texture_worst,0.116067746765804
breast_cancer_wisconsin,perimeter_worst,0.5056424287647632
breast_cancer_wisconsin,area_worst,0.47565225988398896
breast_cancer_wisconsin,smoothness_worst,0.10802724852998136
breast_cancer_wisconsin,compactness_worst,0.2433962880898115
breast_cancer_wisconsin,concavity_worst,0.35936784864940363
breast_cancer_wisconsin,concave_points_worst,0.4371667608593288
breast_cancer_wisconsin,symmetry_worst,0.07173725582341861
breast_cancer_wisconsin,fractal_dimension_worst,0.045495919582599686
