dataset,feature,I_i
madelon,feat_0,0.0
madelon,feat_1,0.0
madelon,feat_2,0.023956089944728864
madelon,feat_3,0.00515962090318034
madelon,feat_4,0.001271860146197179
madelon,feat_5,0.0
madelon,feat_6,0.020118313296221935
madelon,feat_7,0.0
madelon,feat_8,0.0
madelon,feat_9,0.004010705043130169
madelon,feat_10,0.005648106915301154
madelon,feat_11,0.0025254993641221635
madelon,feat_12,0.0
madelon,feat_13,0.011942395376606463
madelon,feat_14,0.0014894540602197193
madelon,feat_15,0.0035751481280568154
madelon,feat_16,0.0
madelon,feat_17,0.0
madelon,feat_18,0.012675629987467074
madelon,feat_19,0.0
madelon,feat_20,0.0
madelon,feat_21,0.007252023948314923
madelon,feat_22,0.0
madelon,feat_23,0.008184437065076544
madelon,feat_24,0.0
madelon,feat_25,0.025755637981340396
madelon,feat_26,0.006658666282588932
madelon,feat_27,0.004182875134943087
madelon,feat_28,0.0
madelon,feat_29,0.0258462483237476
madelon,feat_30,0.0
madelon,feat_31,0.0
madelon,feat_32,0.0
madelon,feat_33,0.0
madelon,feat_34,0.004261961314869778
madelon,feat_35,0.0
madelon,feat_36,0.02470895784443461
madelon,feat_37,0.0
madelon,feat_38,0.023327523845243503
madelon,feat_39,0.006437953973005284
madelon,feat_40,0.0
madelon,feat_41,0.0
madelon,feat_42,0.0
madelon,feat_43,0.0
madelon,feat_44,0.0
madelon,feat_45,0.0
madelon,feat_46,0.0
madelon,feat_47,0.0
madelon,feat_48,0.0
madelon,feat_49,0.00855770793519639
madelon,feat_50,0.0
madelon,feat_51,0.022978950383224284
madelon,feat_52,0.0
madelon,feat_53,0.0121667318100378
madelon,feat_54,0.012639665660011401
madelon,feat_55,0.0
madelon,feat_56,0.0077219801708972025
madelon,feat_57,0.011476989342397825
madelon,feat_58,0.01727280662035824
madelon,feat_59,0.0
madelon,feat_60,0.007886761118241159
madelon,feat_61,0.0
madelon,feat_62,0.0
madelon,feat_63,0.017539956401384282
madelon,feat_64,0.004837274444340789
madelon,feat_65,0.0006131446786581396
madelon,feat_66,0.005794146468406369
madelon,feat_67,0.0
madelon,feat_68,0.0014977651935306202
madelon,feat_69,0.0
madelon,feat_70,0.0
madelon,feat_71,0.016007098822087062
madelon,feat_72,0.009178739972719674
madelon,feat_73,0.0
madelon,feat_74,0.0
madelon,feat_75,0.017364271702894563
madelon,feat_76,0.0
madelon,feat_77,0.0
madelon,feat_78,0.01705900676475136
madelon,feat_79,0.0
madelon,feat_80,0.0
madelon,feat_81,0.0028539692136000383
madelon,feat_82,0.0
madelon,feat_83,0.0035173940823824967
madelon,feat_84,0.0
madelon,feat_85,0.013582794515651031
madelon,feat_86,0.029351666734517723
madelon,feat_87,0.0
madelon,feat_88,0.007182973960965677
madelon,feat_89,0.0
madelon,feat_90,0.019210708486416594
madelon,feat_91,0.0
madelon,feat_92,0.0
madelon,feat_93,0.0
madelon,feat_94,0.0
madelon,feat_95,0.0030956910771708923
madelon,feat_96,0.01156110973451252
madelon,feat_97,0.0
madelon,feat_98,0.0
madelon,feat_99,0.0
madelon,feat_100,0.0
madelon,feat_101,0.00032043756084609853
madelon,feat_102,0.00774353526882865
madelon,feat_103,0.0
madelon,feat_104,0.0
madelon,feat_105,0.014336624580590929
madelon,feat_106,0.0
madelon,feat_107,0.0
madelon,feat_108,0.0
madelon,feat_109,0.0
madelon,feat_110,0.028434213665693875
madelon,feat_111,0.005679961673521472
madelon,feat_112,0.00701615594143834
madelon,feat_113,0.012556701152897976
madelon,feat_114,0.021743919832542424
madelon,feat_115,0.0
madelon,feat_116,0.005869914869252035
madelon,feat_117,0.014656957192008324
madelon,feat_118,0.0
madelon,feat_119,0.015467313910453528
madelon,feat_120,0.010660164302358499
madelon,feat_121,0.019974545357810847
madelon,feat_122,0.0
madelon,feat_123,0.022618879224187483
madelon,feat_124,0.0
madelon,feat_125,0.0008718244909093897
madelon,feat_126,0.011880579072497177
madelon,feat_127,0.025885470450458747
madelon,feat_128,0.029753697517840294
madelon,feat_129,0.0
madelon,feat_130,0.017942480900326352
madelon,feat_131,0.0
madelon,feat_132,0.007078202395402133
madelon,feat_133,0.00557989874625231
madelon,feat_134,0.003506770077535526
madelon,feat_135,0.0
madelon,feat_136,0.0
madelon,feat_137,0.0
madelon,feat_138,0.008035507213415727
madelon,feat_139,0.0
madelon,feat_140,0.0
madelon,feat_141,0.0
madelon,feat_142,0.0
madelon,feat_143,0.0
madelon,feat_144,0.006438258305878408
madelon,feat_145,0.01050977449976842
madelon,feat_146,0.0017163000433682019
madelon,feat_147,0.0
madelon,feat_148,0.020070381842938634
madelon,feat_149,0.0
madelon,feat_150,0.0
madelon,feat_151,0.007891405775600546
madelon,feat_152,2.14517231051925e-05
madelon,feat_153,0.02185302832381053
madelon,feat_154,0.0
madelon,feat_155,0.01850813060211598
madelon,feat_156,0.0
madelon,feat_157,0.005505768993136817
madelon,feat_158,0.023215474771534517
madelon,feat_159,0.0
madelon,feat_160,0.0
madelon,feat_161,0.01070535324040467
madelon,feat_162,0.015616405889902651
madelon,feat_163,0.017583235279001075
madelon,feat_164,0.0010820975278631462
madelon,feat_165,0.0
madelon,feat_166,0.0
madelon,feat_167,0.009865845726405587
madelon,feat_168,0.0
madelon,feat_169,0.0
madelon,feat_170,0.0
madelon,feat_171,0.0
madelon,feat_172,0.0
madelon,feat_173,0.010031875924070288
madelon,feat_174,0.01080085705964784
madelon,feat_175,0.0
madelon,feat_176,0.023612840011336678
madelon,feat_177,0.001796793546130715
madelon,feat_178,0.013430754822948865
madelon,feat_179,0.0
madelon,feat_180,0.012570775372329424
madelon,feat_181,0.00620834103225798
madelon,feat_182,0.0
madelon,feat_183,0.0
madelon,feat_184,0.0
madelon,feat_185,0.021695689514160676
madelon,feat_186,0.017381882550447925
madelon,feat_187,0.0
madelon,feat_188,0.0
madelon,feat_189,0.004433104072671945
madelon,feat_190,0.0
madelon,feat_191,0.031207653927579182
madelon,feat_192,0.03277812890017162
madelon,feat_193,0.0
madelon,feat_194,0.011157689303034735
madelon,feat_195,0.012961021883152846
madelon,feat_196,0.007465017887149372
madelon,feat_197,0.0
madelon,feat_198,0.001807691086965102
madelon,feat_199,0.0
madelon,feat_200,0.005225591712433975
madelon,feat_201,0.004390023728646497
madelon,feat_202,0.004662413162275225
madelon,feat_203,0.0
madelon,feat_204,0.0
madelon,feat_205,0.010435818620029291
madelon,feat_206,0.0
madelon,feat_207,0.0
madelon,feat_208,0.003659962531673333
madelon,feat_209,0.006999165695456666
madelon,feat_210,0.009016074265411511
madelon,feat_211,0.0
madelon,feat_212,0.0
madelon,feat_213,0.0
madelon,feat_214,0.011121739915305184
madelon,feat_215,0.0
madelon,feat_216,0.004829741822361955
madelon,feat_217,0.0
madelon,feat_218,0.0008904340326281179
madelon,feat_219,0.005772240718006305
madelon,feat_220,0.01849109885796163
madelon,feat_221,0.0
madelon,feat_222,0.024205234793442942
madelon,feat_223,0.0070874881180336136
madelon,feat_224,0.011367585849065387
madelon,feat_225,0.003085981540675631
madelon,feat_226,0.012201495986547073
madelon,feat_227,0.0
madelon,feat_228,0.0
madelon,feat_229,0.0
madelon,feat_230,0.0008626666902598057
madelon,feat_231,0.0
madelon,feat_232,0.0022845597481826463
madelon,feat_233,0.0
madelon,feat_234,0.0
madelon,feat_235,0.005841696911108141
madelon,feat_236,0.008350488932394207
madelon,feat_237,0.018412281714775602
madelon,feat_238,0.0
madelon,feat_239,0.028212883408648803
madelon,feat_240,0.005821207332624034
madelon,feat_241,0.048348969763378324
madelon,feat_242,0.00798949370311619
madelon,feat_243,0.020659156090215625
madelon,feat_244,0.0
madelon,feat_245,0.013669884740650451
madelon,feat_246,0.0
madelon,feat_247,0.0
madelon,feat_248,0.02026020909883175
madelon,feat_249,0.0016781014305895514
madelon,feat_250,0.003927627440232895
madelon,feat_251,0.0
madelon,feat_252,0.0
madelon,feat_253,0.0
madelon,feat_254,0.0020313476824704857
madelon,feat_255,0.002394275358754916
madelon,feat_256,0.011503064166266563
madelon,feat_257,0.0031077224784934465
madelon,feat_258,0.01728079177857067
madelon,feat_259,0.012149373913942219
madelon,feat_260,0.0
madelon,feat_261,0.014615543877817494
madelon,feat_262,0.007679252357160493
madelon,feat_263,0.006947320715040117
madelon,feat_264,0.025294877511651714
madelon,feat_265,0.0
madelon,feat_266,0.0
madelon,feat_267,0.011615173578796156
madelon,feat_268,0.0
madelon,feat_269,0.008800105710157213
madelon,feat_270,0.023072332491312242
madelon,feat_271,0.0
madelon,feat_272,0.006021648756280085
madelon,feat_273,0.005873070443835893
madelon,feat_274,0.004787719520250144
madelon,feat_275,0.016986562518987558
madelon,feat_276,0.0037372305017984164
madelon,feat_277,0.001342128171822221
madelon,feat_278,0.014920550523464637
madelon,feat_279,0.0
madelon,feat_280,0.023335095755126156
madelon,feat_281,0.006761060402425079
madelon,feat_282,0.005666184557964193
madelon,feat_283,0.0
madelon,feat_284,0.0089063087391541
madelon,feat_285,0.0
madelon,feat_286,0.005839701035466938
madelon,feat_287,0.0
madelon,feat_288,0.0
madelon,feat_289,0.007960792362440516
madelon,feat_290,0.0
madelon,feat_291,0.005390243894003888
madelon,feat_292,0.0
madelon,feat_293,0.0
madelon,feat_294,0.033559447208994175
madelon,feat_295,0.0
madelon,feat_296,0.0044308883262338394
madelon,feat_297,0.0
madelon,feat_298,0.012634314160437032
madelon,feat_299,0.0
madelon,feat_300,0.0
madelon,feat_301,0.019066712119620632
madelon,feat_302,0.0
madelon,feat_303,0.0
madelon,feat_304,0.007225662413024692
madelon,feat_305,0.0
madelon,feat_306,0.0
madelon,feat_307,0.004615890388032673
madelon,feat_308,0.011712680938383402
madelon,feat_309,0.03229986587063127
madelon,feat_310,0.0
madelon,feat_311,0.0
madelon,feat_312,0.0
madelon,feat_313,0.0
madelon,feat_314,0.00835653510009493
madelon,feat_315,0.0
madelon,feat_316,0.0
madelon,feat_317,0.008482358098291565
madelon,feat_318,0.0
madelon,feat_319,0.0
madelon,feat_320,0.0
madelon,feat_321,0.004771254600948849
madelon,feat_322,0.0
madelon,feat_323,0.020108607724016236
madelon,feat_324,0.0
madelon,feat_325,0.0
madelon,feat_326,0.0
madelon,feat_327,0.0
madelon,feat_328,0.0
madelon,feat_329,0.012314796450273668
madelon,feat_330,0.0
madelon,feat_331,0.0
madelon,feat_332,0.017140398762109932
madelon,feat_333,0.0
madelon,feat_334,0.0
madelon,feat_335,0.0
madelon,feat_336,0.013591420444859725
madelon,feat_337,0.03489041957463068
madelon,feat_338,0.027241755115594568
madelon,feat_339,0.0
madelon,feat_340,0.0
madelon,feat_341,0.026409427935550678
madelon,feat_342,0.0
madelon,feat_343,0.0
madelon,feat_344,0.008934660421503038
madelon,feat_345,0.0
madelon,feat_346,0.013858903137237144
madelon,feat_347,0.0017118642947098195
madelon,feat_348,0.0020077254713481985
madelon,feat_349,0.030623394279050586
madelon,feat_350,0.0
madelon,feat_351,0.0
madelon,feat_352,0.019988938702561354
madelon,feat_353,0.004171234581285654
madelon,feat_354,0.0
madelon,feat_355,0.0239463094130834
madelon,feat_356,0.018632797893274766
madelon,feat_357,0.0
madelon,feat_358,0.006619964131381106
madelon,feat_359,0.006438921259686703
madelon,feat_360,0.0
madelon,feat_361,0.0
madelon,feat_362,0.0005140271178809552
madelon,feat_363,0.0
madelon,feat_364,0.0
madelon,feat_365,0.009939047125884448
madelon,feat_366,0.0
madelon,feat_367,0.009985979142464796
madelon,feat_368,0.017010951120582485
madelon,feat_369,0.0022515418790305386
madelon,feat_370,0.014883384506892305
madelon,feat_371,0.012645795151434713
madelon,feat_372,0.012891518382452283
madelon,feat_373,0.0
madelon,feat_374,0.0
madelon,feat_375,0.0
madelon,feat_376,0.005047195630041079
madelon,feat_377,0.0
madelon,feat_378,0.0
madelon,feat_379,0.020102024701897925
madelon,feat_380,0.0
madelon,feat_381,0.04048370052275985
madelon,feat_382,0.0
madelon,feat_383,0.0
madelon,feat_384,0.0
madelon,feat_385,0.014980039979902271
madelon,feat_386,0.0036381468277204565
madelon,feat_387,0.010022950034366929
madelon,feat_388,0.0009876742107508552
madelon,feat_389,0.013094502489848114
madelon,feat_390,0.0
madelon,feat_391,0.0
madelon,feat_392,0.0033590662990543585
madelon,feat_393,0.0
madelon,feat_394,0.0
madelon,feat_395,0.0
madelon,feat_396,0.007179570199915775
madelon,feat_397,0.015749006497928875
madelon,feat_398,0.004134383069119174
madelon,feat_399,0.014988006511503338
madelon,feat_400,0.00271333226320003
madelon,feat_401,0.0
madelon,feat_402,0.0
madelon,feat_403,0.0
madelon,feat_404,0.004055057107965387
madelon,feat_405,0.0
madelon,feat_406,0.014339208180982332
madelon,feat_407,0.004695008543085022
madelon,feat_408,0.0
madelon,feat_409,0.0
madelon,feat_410,0.0
madelon,feat_411,0.0005205975199344959
madelon,feat_412,0.0175228647315675
madelon,feat_413,0.015643694660888663
madelon,feat_414,0.01336321026433307
madelon,feat_415,0.0
madelon,feat_416,0.0
madelon,feat_417,0.005751419277541636
madelon,feat_418,0.008129265054547252
madelon,feat_419,0.0
madelon,feat_420,0.006540199431978699
madelon,feat_421,0.0
madelon,feat_422,0.0044529510281394735
madelon,feat_423,0.0
madelon,feat_424,0.0
madelon,feat_425,0.0
madelon,feat_426,0.025488997583922757
madelon,feat_427,0.01898348494763269
madelon,feat_428,0.010099532372614073
madelon,feat_429,0.021343743619866462
madelon,feat_430,0.0
madelon,feat_431,0.0004650944912172328
madelon,feat_432,0.0
madelon,feat_433,0.0
madelon,feat_434,0.027661882821933936
madelon,feat_435,0.0018427234135995896
madelon,feat_436,0.008669049383197569
madelon,feat_437,0.0
madelon,feat_438,0.026159377099365333
madelon,feat_439,0.003914656542144845
madelon,feat_440,0.0
madelon,feat_441,0.0
madelon,feat_442,0.0
madelon,feat_443,0.009080651553202701
madelon,feat_444,0.0
madelon,feat_445,0.006763660203233934
madelon,feat_446,0.0
madelon,feat_447,0.012964203517111805
madelon,feat_448,0.0
madelon,feat_449,0.0063871773686574596
madelon,feat_450,0.0
madelon,feat_451,0.011928850797935375
madelon,feat_452,0.00011914294043369189
madelon,feat_453,0.0030860206005887125
madelon,feat_454,0.0
madelon,feat_455,0.020366567726198825
madelon,feat_456,0.01320138208685906
madelon,feat_457,0.004168391194514065
madelon,feat_458,0.0031349019829784996
madelon,feat_459,0.0
madelon,feat_460,0.0
madelon,feat_461,0.0
madelon,feat_462,0.0
madelon,feat_463,0.0
madelon,feat_464,0.0
madelon,feat_465,0.0059088889087512975
madelon,feat_466,0.001020530243607043
madelon,feat_467,0.0
madelon,feat_468,0.0
madelon,feat_469,0.0
madelon,feat_470,0.0
madelon,feat_471,0.0
madelon,feat_472,0.006502291741445454
madelon,feat_473,0.0
madelon,feat_474,0.0020840895834266515
madelon,feat_475,0.031700419319836026
madelon,feat_476,0.0
madelon,feat_477,0.02841727572869801
madelon,feat_478,0.028794937675576948
madelon,feat_479,0.01992040744390411
madelon,feat_480,0.0012777738753253498
madelon,feat_481,0.005893810024012902
madelon,feat_482,0.00382103121322519
madelon,feat_483,0.017661583518063573
madelon,feat_484,0.0
madelon,feat_485,0.0
madelon,feat_486,0.0101861928373157
madelon,feat_487,0.002888717176223743
madelon,feat_488,0.023853323733963316
madelon,feat_489,0.009593614780451398
madelon,feat_490,0.0
madelon,feat_491,0.0037133991743960593
madelon,feat_492,0.008337110372161671
madelon,feat_493,0.0
madelon,feat_494,0.0
madelon,feat_495,0.0008823834807916153
madelon,feat_496,0.01229877709013083
madelon,feat_497,0.0
madelon,feat_498,0.0
madelon,feat_499,0.0
