feature,age,tenure,usage_frequency,support_calls,payment_delay,total_spend,last_interaction,gender_Female,gender_Male,subscription_type_Basic,subscription_type_Premium,subscription_type_Standard,contract_length_Annual,contract_length_Monthly,contract_length_Quarterly
age,0.0,0.001464859570942778,0.001120415962102328,0.053492426872092214,0.012677262861358507,0.05543332339207696,0.002051434916722439,0.0022547940981794135,0.0022679901164366356,0.0,0.00046873994876284186,0.0004935870682167831,0.003410969291480548,0.013418049482578187,0.002254784740766347
tenure,0.001464859570942778,0.0,0.006044683959455899,0.0,0.0,0.001760376884258008,0.002081941178410318,0.00022582020071038045,0.0004126660763357215,0.002354430631993143,0.001290774041653897,0.0,0.00015357251518022252,0.001563872903143082,0.0019649129570207258
usage_frequency,0.001120415962102328,0.006044683959455899,0.0,0.0008597225778226303,0.0007269471467159505,0.0,0.0003930671004397368,0.0004274020233894227,0.0007897340095155414,0.0005948349094899719,0.00024800002085179074,0.00028158508707498697,0.0008510832780181943,0.0017229919631427393,0.0006759803843223722
support_calls,0.053492426872092214,0.0,0.0008597225778226303,0.0,0.026569735081173107,0.15610970646936795,0.004159172499437425,0.004600543629065257,0.004714782857063504,8.729598849122056e-05,0.0,0.0,0.003975411727215938,0.02629912924491329,0.0051166391583739035
payment_delay,0.012677262861358507,0.0,0.0007269471467159505,0.026569735081173107,0.0,0.07158023266869096,0.0024716182965311972,0.004291013719691872,0.001749486724904603,0.00024418126341929636,0.00018552277473027345,0.0,0.0029868588776325034,0.012677748258974386,0.003522797510602249
total_spend,0.05543332339207696,0.001760376884258008,0.0,0.15610970646936795,0.07158023266869096,0.0,0.010766667175178046,0.012452320572031939,0.012030930974624487,0.0013052145315048946,0.0,6.114469109208542e-05,0.01107181222380449,0.078104472728036,0.010500937056640014
last_interaction,0.002051434916722439,0.002081941178410318,0.0003930671004397368,0.004159172499437425,0.0024716182965311972,0.010766667175178046,0.0,0.01007671377707231,0.010660237916926274,0.0008669972996298014,0.00037088979983224135,0.0,0.0002105287737110828,0.0022752191098591723,0.000415238992472311
gender_Female,0.0022547940981794135,0.00022582020071038045,0.0004274020233894227,0.004600543629065257,0.004291013719691872,0.012452320572031939,0.01007671377707231,0.0,0.6851391746791542,0.0013166485417035467,6.833549184781518e-05,0.001239092713402723,0.001073951493816061,0.0027265357812717994,0.001830591151500638
gender_Male,0.0022679901164366356,0.0004126660763357215,0.0007897340095155414,0.004714782857063504,0.001749486724904603,0.012030930974624487,0.010660237916926274,0.6851391746791542,0.0,0.0010376695446909778,0.0,0.0004321463446785856,0.0,0.0021517853000219134,0.0004920852513325968
subscription_type_Basic,0.0,0.002354430631993143,0.0005948349094899719,8.729598849122056e-05,0.00024418126341929636,0.0013052145315048946,0.0008669972996298014,0.0013166485417035467,0.0010376695446909778,0.0,0.1704829964369372,0.17100195900006376,0.0,0.0004240452153458918,0.0
subscription_type_Premium,0.00046873994876284186,0.001290774041653897,0.00024800002085179074,0.0,0.00018552277473027345,0.0,0.00037088979983224135,6.833549184781518e-05,0.0,0.1704829964369372,0.0,0.1813222447567595,0.001974638155180397,0.0009493846952173257,0.001883017762911443
subscription_type_Standard,0.0004935870682167831,0.0,0.00028158508707498697,0.0,0.0,6.114469109208542e-05,0.0,0.001239092713402723,0.0004321463446785856,0.17100195900006376,0.1813222447567595,0.0,0.0,0.0,0.0
contract_length_Annual,0.003410969291480548,0.00015357251518022252,0.0008510832780181943,0.003975411727215938,0.0029868588776325034,0.01107181222380449,0.0002105287737110828,0.001073951493816061,0.0,0.0,0.001974638155180397,0.0,0.0,0.1187659633611653,0.29185140981155655
contract_length_Monthly,0.013418049482578187,0.001563872903143082,0.0017229919631427393,0.02629912924491329,0.012677748258974386,0.078104472728036,0.0022752191098591723,0.0027265357812717994,0.0021517853000219134,0.0004240452153458918,0.0009493846952173257,0.0,0.1187659633611653,0.0,0.11662251880872265
contract_length_Quarterly,0.002254784740766347,0.0019649129570207258,0.0006759803843223722,0.0051166391583739035,0.003522797510602249,0.010500937056640014,0.000415238992472311,0.001830591151500638,0.0004920852513325968,0.0,0.001883017762911443,0.0,0.29185140981155655,0.11662251880872265,0.0
