dataset,method,k,feature,selection_frequency,n_seeds
breast_cancer_wisconsin,f_classif,3,concave_points_worst,1.0,3
breast_cancer_wisconsin,f_classif,3,perimeter_worst,1.0,3
breast_cancer_wisconsin,f_classif,3,radius_worst,1.0,3
breast_cancer_wisconsin,f_classif,5,concave_points_mean,1.0,3
breast_cancer_wisconsin,f_classif,5,concave_points_worst,1.0,3
breast_cancer_wisconsin,f_classif,5,perimeter_mean,1.0,3
breast_cancer_wisconsin,f_classif,5,perimeter_worst,1.0,3
breast_cancer_wisconsin,f_classif,5,radius_worst,1.0,3
breast_cancer_wisconsin,f_classif,10,area_mean,1.0,3
breast_cancer_wisconsin,f_classif,10,area_worst,1.0,3
breast_cancer_wisconsin,f_classif,10,concave_points_mean,1.0,3
breast_cancer_wisconsin,f_classif,10,concave_points_worst,1.0,3
breast_cancer_wisconsin,f_classif,10,concavity_mean,1.0,3
breast_cancer_wisconsin,f_classif,10,concavity_worst,1.0,3
breast_cancer_wisconsin,f_classif,10,perimeter_mean,1.0,3
breast_cancer_wisconsin,f_classif,10,perimeter_worst,1.0,3
breast_cancer_wisconsin,f_classif,10,radius_mean,1.0,3
breast_cancer_wisconsin,f_classif,10,radius_worst,1.0,3
breast_cancer_wisconsin,f_classif,15,area_mean,1.0,3
breast_cancer_wisconsin,f_classif,15,area_se,1.0,3
breast_cancer_wisconsin,f_classif,15,area_worst,1.0,3
breast_cancer_wisconsin,f_classif,15,compactness_mean,1.0,3
breast_cancer_wisconsin,f_classif,15,compactness_worst,1.0,3
breast_cancer_wisconsin,f_classif,15,concave_points_mean,1.0,3
breast_cancer_wisconsin,f_classif,15,concave_points_worst,1.0,3
breast_cancer_wisconsin,f_classif,15,concavity_mean,1.0,3
breast_cancer_wisconsin,f_classif,15,concavity_worst,1.0,3
breast_cancer_wisconsin,f_classif,15,perimeter_mean,1.0,3
breast_cancer_wisconsin,f_classif,15,perimeter_se,1.0,3
breast_cancer_wisconsin,f_classif,15,perimeter_worst,1.0,3
breast_cancer_wisconsin,f_classif,15,radius_mean,1.0,3
breast_cancer_wisconsin,f_classif,15,radius_se,1.0,3
breast_cancer_wisconsin,f_classif,15,radius_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,area_mean,1.0,3
breast_cancer_wisconsin,f_classif,20,area_se,1.0,3
breast_cancer_wisconsin,f_classif,20,area_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,compactness_mean,1.0,3
breast_cancer_wisconsin,f_classif,20,compactness_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,concave_points_mean,1.0,3
breast_cancer_wisconsin,f_classif,20,concave_points_se,1.0,3
breast_cancer_wisconsin,f_classif,20,concave_points_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,concavity_mean,1.0,3
breast_cancer_wisconsin,f_classif,20,concavity_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,perimeter_mean,1.0,3
breast_cancer_wisconsin,f_classif,20,perimeter_se,1.0,3
breast_cancer_wisconsin,f_classif,20,perimeter_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,radius_mean,1.0,3
breast_cancer_wisconsin,f_classif,20,radius_se,1.0,3
breast_cancer_wisconsin,f_classif,20,radius_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,smoothness_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,symmetry_worst,1.0,3
breast_cancer_wisconsin,f_classif,20,texture_mean,1.0,3
breast_cancer_wisconsin,f_classif,20,texture_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,area_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,area_se,1.0,3
breast_cancer_wisconsin,f_classif,30,area_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,compactness_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,compactness_se,1.0,3
breast_cancer_wisconsin,f_classif,30,compactness_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,concave_points_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,concave_points_se,1.0,3
breast_cancer_wisconsin,f_classif,30,concave_points_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,concavity_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,concavity_se,1.0,3
breast_cancer_wisconsin,f_classif,30,concavity_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,fractal_dimension_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,fractal_dimension_se,1.0,3
breast_cancer_wisconsin,f_classif,30,fractal_dimension_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,perimeter_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,perimeter_se,1.0,3
breast_cancer_wisconsin,f_classif,30,perimeter_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,radius_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,radius_se,1.0,3
breast_cancer_wisconsin,f_classif,30,radius_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,smoothness_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,smoothness_se,1.0,3
breast_cancer_wisconsin,f_classif,30,smoothness_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,symmetry_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,symmetry_se,1.0,3
breast_cancer_wisconsin,f_classif,30,symmetry_worst,1.0,3
breast_cancer_wisconsin,f_classif,30,texture_mean,1.0,3
breast_cancer_wisconsin,f_classif,30,texture_se,1.0,3
breast_cancer_wisconsin,f_classif,30,texture_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,3,concave_points_mean,1.0,3
breast_cancer_wisconsin,l1_logistic,3,radius_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,3,texture_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,5,concave_points_mean,1.0,3
breast_cancer_wisconsin,l1_logistic,5,concave_points_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,5,radius_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,5,smoothness_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,5,texture_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,10,concave_points_mean,1.0,3
breast_cancer_wisconsin,l1_logistic,10,concave_points_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,10,concavity_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,10,fractal_dimension_mean,1.0,3
breast_cancer_wisconsin,l1_logistic,10,perimeter_mean,1.0,3
breast_cancer_wisconsin,l1_logistic,10,radius_mean,1.0,3
breast_cancer_wisconsin,l1_logistic,10,radius_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,10,smoothness_worst,1.0,3
breast_cancer_wisconsin,l1_logistic,10,symmetry_mean,1.0,3
