figure_id,notebook_section,current_path,new_path,figure_class,action,question,data_shape,analytical_intent,derived_metric_needed,scientific_constraints,candidate_families,rejected_families,combined_type,layout,story_protagonist,title_message,subtitle_context,annotation_plan,warmth_style_plan,notebook_size_target,pdf_export_target,acceptance_risks,decision_reason
fase5_fig_01,05_05,results/figures/05_feature_selection/protocol/fs_k_reduction_plan.png,results/figures/05_feature_selection/protocol/fs_k_reduction_plan.png,memory_candidate,keep,¿Qué reducción dimensional implican los valores de k?,"tabla/matriz de métricas agregadas por dataset, método o feature",comparación de reducción dimensional,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",bubble plot; tabla compacta; barras por dataset,tabla sola descartada porque exige comparar porcentajes mentalmente; barras múltiples más largas,none,scatter/bubble,GLOBAL,¿Qué reducción dimensional implican los valores de k?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_02,05_15,results/figures/05_feature_selection/top_features/breast_cancer_wisconsin_top_selected_features.png,results/figures/05_feature_selection/top_features/breast_cancer_wisconsin_top_selected_features.png,memory_candidate,keep,¿Qué variables aparecen con más frecuencia entre selectores?,"tabla/matriz de métricas agregadas por dataset, método o feature",ranking de frecuencia de selección,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,none,ranking horizontal,breast_cancer_wisconsin,¿Qué variables aparecen con más frecuencia entre selectores?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_03,05_15,results/figures/05_feature_selection/method_feature_heatmaps/breast_cancer_wisconsin_method_feature_heatmap.png,results/figures/05_feature_selection/method_feature_heatmaps/breast_cancer_wisconsin_method_feature_heatmap.png,appendix,keep,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"tabla/matriz de métricas agregadas por dataset, método o feature",composición método-feature,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,none,heatmap binario,breast_cancer_wisconsin,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_04,05_08,results/figures/05_feature_selection/method_overlap/breast_cancer_wisconsin_method_overlap_jaccard.png,results/figures/05_feature_selection/method_overlap/breast_cancer_wisconsin_method_overlap_jaccard.png,memory_candidate,keep,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"tabla/matriz de métricas agregadas por dataset, método o feature",solape entre métodos,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,none,heatmap Jaccard,breast_cancer_wisconsin,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_05,05_12,results/figures/05_feature_selection/redundancy_by_dataset/breast_cancer_wisconsin_selected_vs_full_redundancy.png,results/figures/05_feature_selection/redundancy_by_dataset/breast_cancer_wisconsin_selected_vs_full_redundancy.png,memory_candidate,keep,¿Cada método reduce o concentra redundancia frente al espacio completo?,"tabla/matriz de métricas agregadas por dataset, método o feature",comparación paired selected vs full,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,none,dot plot paired,breast_cancer_wisconsin,¿Cada método reduce o concentra redundancia frente al espacio completo?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_06,05_11,results/figures/05_feature_selection/permutation_detail/breast_cancer_wisconsin_permutation_detail.png,results/figures/05_feature_selection/permutation_detail/breast_cancer_wisconsin_permutation_detail.png,appendix,keep,¿Qué variables quedan más separadas del nulo por permutación?,"tabla/matriz de métricas agregadas por dataset, método o feature",distancia frente a nulo,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,none,barras horizontales de delta,breast_cancer_wisconsin,¿Qué variables quedan más separadas del nulo por permutación?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_07,05_15,results/figures/05_feature_selection/dataset_stories/breast_cancer_wisconsin_selection_story.png,results/figures/05_feature_selection/dataset_stories/breast_cancer_wisconsin_selection_story.png,memory_candidate,keep,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","tabla/matriz de métricas agregadas por dataset, método o feature",síntesis narrativa por dataset,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel,figura compuesta tres paneles,breast_cancer_wisconsin,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_08,05_15,results/figures/05_feature_selection/top_features/customer_churn_top_selected_features.png,results/figures/05_feature_selection/top_features/customer_churn_top_selected_features.png,memory_candidate,keep,¿Qué variables aparecen con más frecuencia entre selectores?,"tabla/matriz de métricas agregadas por dataset, método o feature",ranking de frecuencia de selección,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,none,ranking horizontal,customer_churn,¿Qué variables aparecen con más frecuencia entre selectores?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_09,05_15,results/figures/05_feature_selection/method_feature_heatmaps/customer_churn_method_feature_heatmap.png,results/figures/05_feature_selection/method_feature_heatmaps/customer_churn_method_feature_heatmap.png,appendix,keep,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"tabla/matriz de métricas agregadas por dataset, método o feature",composición método-feature,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,none,heatmap binario,customer_churn,¿Qué coincidencias hay entre métodos y variables seleccionadas?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
fase5_fig_10,05_08,results/figures/05_feature_selection/method_overlap/customer_churn_method_overlap_jaccard.png,results/figures/05_feature_selection/method_overlap/customer_churn_method_overlap_jaccard.png,appendix,keep,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"tabla/matriz de métricas agregadas por dataset, método o feature",solape entre métodos,métrica ya derivada en CSV de Fase 5,"no alterar datos; preservar train-only, semillas, k, muestra y permutaciones",heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,none,heatmap Jaccard,customer_churn,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,"Fase 5, selección clásica ajustada solo con train",solo títulos/ejes; anotaciones mínimas para evitar sobrecarga,"warm light editorial, paleta restringida, grilla suave, sin decoración",760-900 px,PNG 180 dpi,"legibilidad final debe revisarse en PDF; no se ocultan muestras, denominadores ni limitaciones",la figura responde una pregunta distinta del contrato de Fase 5 y tiene CSV fuente trazable
