dataset,clase,proporcion_completa,proporcion_muestra_visual,diferencia_absoluta
breast_cancer_wisconsin,B,0.6274165202108963,0.6274165202108963,0.0
breast_cancer_wisconsin,M,0.37258347978910367,0.37258347978910367,0.0
customer_churn,1.0,0.5671071972996515,0.5672,9.280270034850435e-05
customer_churn,0.0,0.4328928027003484,0.4328,9.280270034839333e-05
madelon,-1,0.5,0.5,0.0
madelon,1,0.5,0.5,0.0
olive_oil,South-Apulia,0.36013986013986016,0.36013986013986016,0.0
olive_oil,Inland-Sardinia,0.11363636363636363,0.11363636363636363,0.0
olive_oil,Calabria,0.0979020979020979,0.0979020979020979,0.0
olive_oil,Umbria,0.08916083916083917,0.08916083916083917,0.0
olive_oil,West-Liguria,0.08741258741258741,0.08741258741258741,0.0
olive_oil,East-Liguria,0.08741258741258741,0.08741258741258741,0.0
olive_oil,Sicily,0.06293706293706294,0.06293706293706294,0.0
olive_oil,Coast-Sardinia,0.057692307692307696,0.057692307692307696,0.0
olive_oil,North-Apulia,0.043706293706293704,0.043706293706293704,0.0
