dataset,componente,varianza_explicada,varianza_acumulada,n_variables_pca,n_filas_pca
breast_cancer_wisconsin,1,0.44272025607526366,0.44272025607526366,30,569
breast_cancer_wisconsin,2,0.18971182044033078,0.6324320765155944,30,569
breast_cancer_wisconsin,3,0.09393163257431389,0.7263637090899083,30,569
breast_cancer_wisconsin,4,0.06602134915470147,0.7923850582446098,30,569
breast_cancer_wisconsin,5,0.05495768492346265,0.8473427431680725,30,569
breast_cancer_wisconsin,6,0.0402452203988335,0.887587963566906,30,569
breast_cancer_wisconsin,7,0.022507337129825077,0.9100953006967311,30,569
breast_cancer_wisconsin,8,0.015887238000213282,0.9259825386969444,30,569
breast_cancer_wisconsin,9,0.013896493745591093,0.9398790324425355,30,569
breast_cancer_wisconsin,10,0.011689781894131486,0.951568814336667,30,569
breast_cancer_wisconsin,11,0.009797189875980161,0.9613660042126471,30,569
breast_cancer_wisconsin,12,0.00870537900737882,0.9700713832200258,30,569
breast_cancer_wisconsin,13,0.00804524987196732,0.9781166330919931,30,569
breast_cancer_wisconsin,14,0.005233657454926362,0.9833502905469195,30,569
breast_cancer_wisconsin,15,0.003137832167627411,0.9864881227145469,30,569
breast_cancer_wisconsin,16,0.002662093365152319,0.9891502160796992,30,569
breast_cancer_wisconsin,17,0.00197996792532427,0.9911301840050235,30,569
breast_cancer_wisconsin,18,0.0017539594502263614,0.9928841434552499,30,569
breast_cancer_wisconsin,19,0.0016492530592251602,0.994533396514475,30,569
breast_cancer_wisconsin,20,0.0010386467483387066,0.9955720432628138,30,569
breast_cancer_wisconsin,21,0.000999096463700233,0.996571139726514,30,569
breast_cancer_wisconsin,22,0.0009146467510543412,0.9974857864775684,30,569
breast_cancer_wisconsin,23,0.0008113612588991203,0.9982971477364675,30,569
breast_cancer_wisconsin,24,0.0006018335666716742,0.9988989813031391,30,569
breast_cancer_wisconsin,25,0.0005160423791651921,0.9994150236823043,30,569
breast_cancer_wisconsin,26,0.0002725879954774883,0.9996876116777818,30,569
breast_cancer_wisconsin,27,0.0002300154625059605,0.9999176271402878,30,569
breast_cancer_wisconsin,28,5.297792903809361e-05,0.9999706050693259,30,569
breast_cancer_wisconsin,29,2.4960103246897676e-05,0.9999955651725728,30,569
breast_cancer_wisconsin,30,4.434827427355958e-06,1.0000000000000002,30,569
customer_churn,1,0.20667144711156377,0.20667144711156377,7,5000
customer_churn,2,0.14613423389365526,0.35280568100521903,7,5000
customer_churn,3,0.14253582524949684,0.49534150625471585,7,5000
customer_churn,4,0.13862543791515514,0.633966944169871,7,5000
customer_churn,5,0.1307725671737058,0.7647395113435768,7,5000
customer_churn,6,0.12454917307604856,0.8892886844196253,7,5000
customer_churn,7,0.11071131558037449,0.9999999999999998,7,5000
madelon,1,0.012926180022881694,0.012926180022881694,500,2000
madelon,2,0.010048448074505755,0.02297462809738745,500,2000
madelon,3,0.008647039057880014,0.031621667155267465,500,2000
madelon,4,0.006293317100803179,0.03791498425607064,500,2000
madelon,5,0.0050830737881276495,0.04299805804419829,500,2000
madelon,6,0.0043260589912107175,0.04732411703540901,500,2000
madelon,7,0.004309682096480836,0.05163379913188984,500,2000
madelon,8,0.00425336675700299,0.05588716588889283,500,2000
madelon,9,0.004214711123775145,0.060101877012667976,500,2000
madelon,10,0.00420503444777829,0.06430691146044626,500,2000
madelon,11,0.004153519704942542,0.0684604311653888,500,2000
madelon,12,0.004141558057860279,0.07260198922324908,500,2000
madelon,13,0.004127799807902438,0.07672978903115152,500,2000
madelon,14,0.004097958958294318,0.08082774798944584,500,2000
madelon,15,0.004076992802426391,0.08490474079187223,500,2000
madelon,16,0.004066013100061782,0.08897075389193401,500,2000
madelon,17,0.004056240591551989,0.093026994483486,500,2000
madelon,18,0.00400388939017864,0.09703088387366464,500,2000
madelon,19,0.003982850632237866,0.10101373450590251,500,2000
madelon,20,0.0039659008845437495,0.10497963539044626,500,2000
madelon,21,0.003934012839053483,0.10891364822949974,500,2000
madelon,22,0.003913937066560384,0.11282758529606013,500,2000
madelon,23,0.003906487045456512,0.11673407234151664,500,2000
madelon,24,0.003894165615891185,0.12062823795740783,500,2000
