dataset,variable,infinitos,ceros,valores_negativos
breast_cancer_wisconsin,id,0,0,0
breast_cancer_wisconsin,radius_mean,0,0,0
breast_cancer_wisconsin,texture_mean,0,0,0
breast_cancer_wisconsin,perimeter_mean,0,0,0
breast_cancer_wisconsin,area_mean,0,0,0
breast_cancer_wisconsin,smoothness_mean,0,0,0
breast_cancer_wisconsin,compactness_mean,0,0,0
breast_cancer_wisconsin,concavity_mean,0,13,0
breast_cancer_wisconsin,concave_points_mean,0,13,0
breast_cancer_wisconsin,symmetry_mean,0,0,0
breast_cancer_wisconsin,fractal_dimension_mean,0,0,0
breast_cancer_wisconsin,radius_se,0,0,0
breast_cancer_wisconsin,texture_se,0,0,0
breast_cancer_wisconsin,perimeter_se,0,0,0
breast_cancer_wisconsin,area_se,0,0,0
breast_cancer_wisconsin,smoothness_se,0,0,0
breast_cancer_wisconsin,compactness_se,0,0,0
breast_cancer_wisconsin,concavity_se,0,13,0
breast_cancer_wisconsin,concave_points_se,0,13,0
breast_cancer_wisconsin,symmetry_se,0,0,0
breast_cancer_wisconsin,fractal_dimension_se,0,0,0
breast_cancer_wisconsin,radius_worst,0,0,0
breast_cancer_wisconsin,texture_worst,0,0,0
breast_cancer_wisconsin,perimeter_worst,0,0,0
breast_cancer_wisconsin,area_worst,0,0,0
breast_cancer_wisconsin,smoothness_worst,0,0,0
breast_cancer_wisconsin,compactness_worst,0,0,0
breast_cancer_wisconsin,concavity_worst,0,13,0
breast_cancer_wisconsin,concave_points_worst,0,13,0
breast_cancer_wisconsin,symmetry_worst,0,0,0
breast_cancer_wisconsin,fractal_dimension_worst,0,0,0
customer_churn,CustomerID,0,0,0
customer_churn,Age,0,0,0
customer_churn,Tenure,0,0,0
customer_churn,Usage Frequency,0,0,0
customer_churn,Support Calls,0,69875,0
customer_churn,Payment Delay,0,16904,0
customer_churn,Total Spend,0,0,0
customer_churn,Last Interaction,0,0,0
customer_churn,Churn,0,190833,0
madelon,feat_0,0,0,0
madelon,feat_1,0,0,0
madelon,feat_2,0,0,0
madelon,feat_3,0,0,0
madelon,feat_4,0,0,0
madelon,feat_5,0,0,0
madelon,feat_6,0,0,0
madelon,feat_7,0,0,0
madelon,feat_8,0,0,0
madelon,feat_9,0,0,0
madelon,feat_10,0,0,0
madelon,feat_11,0,0,0
madelon,feat_12,0,0,0
madelon,feat_13,0,0,0
madelon,feat_14,0,0,0
madelon,feat_15,0,0,0
madelon,feat_16,0,0,0
madelon,feat_17,0,0,0
madelon,feat_18,0,0,0
madelon,feat_19,0,0,0
madelon,feat_20,0,0,0
madelon,feat_21,0,0,0
madelon,feat_22,0,0,0
madelon,feat_23,0,0,0
madelon,feat_24,0,0,0
madelon,feat_25,0,0,0
madelon,feat_26,0,0,0
madelon,feat_27,0,0,0
madelon,feat_28,0,0,0
madelon,feat_29,0,0,0
madelon,feat_30,0,0,0
madelon,feat_31,0,0,0
madelon,feat_32,0,0,0
madelon,feat_33,0,0,0
madelon,feat_34,0,0,0
madelon,feat_35,0,0,0
madelon,feat_36,0,0,0
madelon,feat_37,0,0,0
madelon,feat_38,0,0,0
madelon,feat_39,0,0,0
madelon,feat_40,0,0,0
madelon,feat_41,0,0,0
madelon,feat_42,0,0,0
madelon,feat_43,0,0,0
madelon,feat_44,0,0,0
madelon,feat_45,0,0,0
madelon,feat_46,0,0,0
madelon,feat_47,0,0,0
madelon,feat_48,0,0,0
madelon,feat_49,0,0,0
madelon,feat_50,0,0,0
madelon,feat_51,0,0,0
madelon,feat_52,0,0,0
madelon,feat_53,0,0,0
madelon,feat_54,0,0,0
madelon,feat_55,0,0,0
madelon,feat_56,0,0,0
madelon,feat_57,0,0,0
madelon,feat_58,0,0,0
madelon,feat_59,0,0,0
madelon,feat_60,0,0,0
madelon,feat_61,0,0,0
madelon,feat_62,0,0,0
madelon,feat_63,0,0,0
madelon,feat_64,0,0,0
madelon,feat_65,0,0,0
madelon,feat_66,0,0,0
madelon,feat_67,0,0,0
madelon,feat_68,0,0,0
madelon,feat_69,0,0,0
madelon,feat_70,0,0,0
madelon,feat_71,0,0,0
madelon,feat_72,0,0,0
madelon,feat_73,0,0,0
madelon,feat_74,0,0,0
madelon,feat_75,0,0,0
madelon,feat_76,0,0,0
madelon,feat_77,0,0,0
madelon,feat_78,0,0,0
madelon,feat_79,0,0,0
madelon,feat_80,0,0,0
madelon,feat_81,0,0,0
madelon,feat_82,0,0,0
madelon,feat_83,0,0,0
madelon,feat_84,0,0,0
madelon,feat_85,0,0,0
madelon,feat_86,0,0,0
madelon,feat_87,0,0,0
madelon,feat_88,0,0,0
madelon,feat_89,0,0,0
madelon,feat_90,0,0,0
madelon,feat_91,0,0,0
madelon,feat_92,0,0,0
madelon,feat_93,0,0,0
madelon,feat_94,0,0,0
madelon,feat_95,0,0,0
madelon,feat_96,0,0,0
madelon,feat_97,0,0,0
madelon,feat_98,0,0,0
madelon,feat_99,0,0,0
madelon,feat_100,0,0,0
madelon,feat_101,0,0,0
madelon,feat_102,0,0,0
madelon,feat_103,0,0,0
madelon,feat_104,0,0,0
madelon,feat_105,0,1,0
madelon,feat_106,0,0,0
madelon,feat_107,0,0,0
madelon,feat_108,0,0,0
madelon,feat_109,0,0,0
madelon,feat_110,0,0,0
madelon,feat_111,0,0,0
madelon,feat_112,0,0,0
madelon,feat_113,0,0,0
madelon,feat_114,0,0,0
madelon,feat_115,0,0,0
madelon,feat_116,0,0,0
madelon,feat_117,0,0,0
madelon,feat_118,0,0,0
madelon,feat_119,0,0,0
madelon,feat_120,0,0,0
madelon,feat_121,0,0,0
madelon,feat_122,0,0,0
madelon,feat_123,0,0,0
madelon,feat_124,0,0,0
madelon,feat_125,0,0,0
madelon,feat_126,0,0,0
madelon,feat_127,0,0,0
madelon,feat_128,0,0,0
madelon,feat_129,0,0,0
madelon,feat_130,0,0,0
madelon,feat_131,0,0,0
madelon,feat_132,0,0,0
madelon,feat_133,0,0,0
madelon,feat_134,0,0,0
madelon,feat_135,0,0,0
madelon,feat_136,0,0,0
madelon,feat_137,0,0,0
madelon,feat_138,0,0,0
madelon,feat_139,0,0,0
madelon,feat_140,0,0,0
madelon,feat_141,0,0,0
madelon,feat_142,0,0,0
madelon,feat_143,0,0,0
madelon,feat_144,0,0,0
madelon,feat_145,0,0,0
madelon,feat_146,0,0,0
madelon,feat_147,0,0,0
madelon,feat_148,0,0,0
madelon,feat_149,0,0,0
madelon,feat_150,0,0,0
madelon,feat_151,0,0,0
madelon,feat_152,0,0,0
madelon,feat_153,0,0,0
madelon,feat_154,0,0,0
madelon,feat_155,0,0,0
madelon,feat_156,0,0,0
madelon,feat_157,0,0,0
madelon,feat_158,0,0,0
madelon,feat_159,0,0,0
madelon,feat_160,0,0,0
madelon,feat_161,0,0,0
madelon,feat_162,0,0,0
madelon,feat_163,0,0,0
madelon,feat_164,0,0,0
madelon,feat_165,0,0,0
madelon,feat_166,0,0,0
madelon,feat_167,0,0,0
madelon,feat_168,0,0,0
madelon,feat_169,0,0,0
madelon,feat_170,0,0,0
madelon,feat_171,0,0,0
madelon,feat_172,0,0,0
madelon,feat_173,0,0,0
madelon,feat_174,0,0,0
madelon,feat_175,0,0,0
madelon,feat_176,0,0,0
madelon,feat_177,0,0,0
madelon,feat_178,0,0,0
madelon,feat_179,0,0,0
madelon,feat_180,0,0,0
madelon,feat_181,0,0,0
madelon,feat_182,0,0,0
madelon,feat_183,0,0,0
madelon,feat_184,0,0,0
madelon,feat_185,0,0,0
madelon,feat_186,0,0,0
madelon,feat_187,0,0,0
madelon,feat_188,0,0,0
madelon,feat_189,0,0,0
madelon,feat_190,0,0,0
madelon,feat_191,0,0,0
madelon,feat_192,0,0,0
madelon,feat_193,0,0,0
madelon,feat_194,0,0,0
madelon,feat_195,0,0,0
madelon,feat_196,0,0,0
madelon,feat_197,0,0,0
madelon,feat_198,0,0,0
madelon,feat_199,0,0,0
madelon,feat_200,0,0,0
madelon,feat_201,0,0,0
madelon,feat_202,0,0,0
madelon,feat_203,0,0,0
madelon,feat_204,0,0,0
madelon,feat_205,0,0,0
madelon,feat_206,0,0,0
madelon,feat_207,0,0,0
madelon,feat_208,0,0,0
madelon,feat_209,0,0,0
madelon,feat_210,0,0,0
madelon,feat_211,0,0,0
madelon,feat_212,0,0,0
madelon,feat_213,0,0,0
madelon,feat_214,0,0,0
madelon,feat_215,0,0,0
madelon,feat_216,0,0,0
madelon,feat_217,0,0,0
madelon,feat_218,0,0,0
madelon,feat_219,0,0,0
