dataset,columna_original,columna_procesada,cambia
breast_cancer_wisconsin,id,id,False
breast_cancer_wisconsin,target,target,False
breast_cancer_wisconsin,radius_mean,radius_mean,False
breast_cancer_wisconsin,texture_mean,texture_mean,False
breast_cancer_wisconsin,perimeter_mean,perimeter_mean,False
breast_cancer_wisconsin,area_mean,area_mean,False
breast_cancer_wisconsin,smoothness_mean,smoothness_mean,False
breast_cancer_wisconsin,compactness_mean,compactness_mean,False
breast_cancer_wisconsin,concavity_mean,concavity_mean,False
breast_cancer_wisconsin,concave_points_mean,concave_points_mean,False
breast_cancer_wisconsin,symmetry_mean,symmetry_mean,False
breast_cancer_wisconsin,fractal_dimension_mean,fractal_dimension_mean,False
breast_cancer_wisconsin,radius_se,radius_se,False
breast_cancer_wisconsin,texture_se,texture_se,False
breast_cancer_wisconsin,perimeter_se,perimeter_se,False
breast_cancer_wisconsin,area_se,area_se,False
breast_cancer_wisconsin,smoothness_se,smoothness_se,False
breast_cancer_wisconsin,compactness_se,compactness_se,False
breast_cancer_wisconsin,concavity_se,concavity_se,False
breast_cancer_wisconsin,concave_points_se,concave_points_se,False
breast_cancer_wisconsin,symmetry_se,symmetry_se,False
breast_cancer_wisconsin,fractal_dimension_se,fractal_dimension_se,False
breast_cancer_wisconsin,radius_worst,radius_worst,False
breast_cancer_wisconsin,texture_worst,texture_worst,False
breast_cancer_wisconsin,perimeter_worst,perimeter_worst,False
breast_cancer_wisconsin,area_worst,area_worst,False
breast_cancer_wisconsin,smoothness_worst,smoothness_worst,False
breast_cancer_wisconsin,compactness_worst,compactness_worst,False
breast_cancer_wisconsin,concavity_worst,concavity_worst,False
breast_cancer_wisconsin,concave_points_worst,concave_points_worst,False
breast_cancer_wisconsin,symmetry_worst,symmetry_worst,False
breast_cancer_wisconsin,fractal_dimension_worst,fractal_dimension_worst,False
customer_churn,CustomerID,customer_id,True
customer_churn,Age,age,True
customer_churn,Gender,gender,True
customer_churn,Tenure,tenure,True
customer_churn,Usage Frequency,usage_frequency,True
customer_churn,Support Calls,support_calls,True
customer_churn,Payment Delay,payment_delay,True
customer_churn,Subscription Type,subscription_type,True
customer_churn,Contract Length,contract_length,True
customer_churn,Total Spend,total_spend,True
customer_churn,Last Interaction,last_interaction,True
customer_churn,Churn,target,True
madelon,feat_0,feat_0,False
madelon,feat_1,feat_1,False
madelon,feat_2,feat_2,False
madelon,feat_3,feat_3,False
madelon,feat_4,feat_4,False
madelon,feat_5,feat_5,False
madelon,feat_6,feat_6,False
madelon,feat_7,feat_7,False
madelon,feat_8,feat_8,False
madelon,feat_9,feat_9,False
madelon,feat_10,feat_10,False
madelon,feat_11,feat_11,False
madelon,feat_12,feat_12,False
madelon,feat_13,feat_13,False
madelon,feat_14,feat_14,False
madelon,feat_15,feat_15,False
madelon,feat_16,feat_16,False
madelon,feat_17,feat_17,False
madelon,feat_18,feat_18,False
madelon,feat_19,feat_19,False
madelon,feat_20,feat_20,False
madelon,feat_21,feat_21,False
madelon,feat_22,feat_22,False
madelon,feat_23,feat_23,False
madelon,feat_24,feat_24,False
madelon,feat_25,feat_25,False
madelon,feat_26,feat_26,False
madelon,feat_27,feat_27,False
madelon,feat_28,feat_28,False
madelon,feat_29,feat_29,False
madelon,feat_30,feat_30,False
madelon,feat_31,feat_31,False
madelon,feat_32,feat_32,False
madelon,feat_33,feat_33,False
madelon,feat_34,feat_34,False
madelon,feat_35,feat_35,False
madelon,feat_36,feat_36,False
madelon,feat_37,feat_37,False
madelon,feat_38,feat_38,False
madelon,feat_39,feat_39,False
madelon,feat_40,feat_40,False
madelon,feat_41,feat_41,False
madelon,feat_42,feat_42,False
madelon,feat_43,feat_43,False
madelon,feat_44,feat_44,False
madelon,feat_45,feat_45,False
madelon,feat_46,feat_46,False
madelon,feat_47,feat_47,False
madelon,feat_48,feat_48,False
madelon,feat_49,feat_49,False
madelon,feat_50,feat_50,False
madelon,feat_51,feat_51,False
madelon,feat_52,feat_52,False
madelon,feat_53,feat_53,False
madelon,feat_54,feat_54,False
madelon,feat_55,feat_55,False
madelon,feat_56,feat_56,False
madelon,feat_57,feat_57,False
madelon,feat_58,feat_58,False
madelon,feat_59,feat_59,False
madelon,feat_60,feat_60,False
madelon,feat_61,feat_61,False
madelon,feat_62,feat_62,False
madelon,feat_63,feat_63,False
madelon,feat_64,feat_64,False
madelon,feat_65,feat_65,False
madelon,feat_66,feat_66,False
madelon,feat_67,feat_67,False
madelon,feat_68,feat_68,False
madelon,feat_69,feat_69,False
madelon,feat_70,feat_70,False
madelon,feat_71,feat_71,False
madelon,feat_72,feat_72,False
madelon,feat_73,feat_73,False
madelon,feat_74,feat_74,False
madelon,feat_75,feat_75,False
madelon,feat_76,feat_76,False
madelon,feat_77,feat_77,False
madelon,feat_78,feat_78,False
madelon,feat_79,feat_79,False
madelon,feat_80,feat_80,False
madelon,feat_81,feat_81,False
madelon,feat_82,feat_82,False
madelon,feat_83,feat_83,False
madelon,feat_84,feat_84,False
madelon,feat_85,feat_85,False
madelon,feat_86,feat_86,False
madelon,feat_87,feat_87,False
madelon,feat_88,feat_88,False
madelon,feat_89,feat_89,False
madelon,feat_90,feat_90,False
madelon,feat_91,feat_91,False
madelon,feat_92,feat_92,False
madelon,feat_93,feat_93,False
madelon,feat_94,feat_94,False
madelon,feat_95,feat_95,False
madelon,feat_96,feat_96,False
madelon,feat_97,feat_97,False
madelon,feat_98,feat_98,False
madelon,feat_99,feat_99,False
madelon,feat_100,feat_100,False
madelon,feat_101,feat_101,False
madelon,feat_102,feat_102,False
madelon,feat_103,feat_103,False
madelon,feat_104,feat_104,False
madelon,feat_105,feat_105,False
madelon,feat_106,feat_106,False
madelon,feat_107,feat_107,False
madelon,feat_108,feat_108,False
madelon,feat_109,feat_109,False
madelon,feat_110,feat_110,False
madelon,feat_111,feat_111,False
madelon,feat_112,feat_112,False
madelon,feat_113,feat_113,False
madelon,feat_114,feat_114,False
madelon,feat_115,feat_115,False
madelon,feat_116,feat_116,False
madelon,feat_117,feat_117,False
madelon,feat_118,feat_118,False
madelon,feat_119,feat_119,False
madelon,feat_120,feat_120,False
madelon,feat_121,feat_121,False
madelon,feat_122,feat_122,False
madelon,feat_123,feat_123,False
madelon,feat_124,feat_124,False
madelon,feat_125,feat_125,False
madelon,feat_126,feat_126,False
madelon,feat_127,feat_127,False
madelon,feat_128,feat_128,False
madelon,feat_129,feat_129,False
madelon,feat_130,feat_130,False
madelon,feat_131,feat_131,False
madelon,feat_132,feat_132,False
madelon,feat_133,feat_133,False
madelon,feat_134,feat_134,False
madelon,feat_135,feat_135,False
madelon,feat_136,feat_136,False
madelon,feat_137,feat_137,False
madelon,feat_138,feat_138,False
madelon,feat_139,feat_139,False
madelon,feat_140,feat_140,False
madelon,feat_141,feat_141,False
madelon,feat_142,feat_142,False
madelon,feat_143,feat_143,False
