dataset,variable,dtype_original,dtype_procesado,cambia
breast_cancer_wisconsin,id,int64,int64,False
breast_cancer_wisconsin,target,object,object,False
breast_cancer_wisconsin,radius_mean,float64,float64,False
breast_cancer_wisconsin,texture_mean,float64,float64,False
breast_cancer_wisconsin,perimeter_mean,float64,float64,False
breast_cancer_wisconsin,area_mean,float64,float64,False
breast_cancer_wisconsin,smoothness_mean,float64,float64,False
breast_cancer_wisconsin,compactness_mean,float64,float64,False
breast_cancer_wisconsin,concavity_mean,float64,float64,False
breast_cancer_wisconsin,concave_points_mean,float64,float64,False
breast_cancer_wisconsin,symmetry_mean,float64,float64,False
breast_cancer_wisconsin,fractal_dimension_mean,float64,float64,False
breast_cancer_wisconsin,radius_se,float64,float64,False
breast_cancer_wisconsin,texture_se,float64,float64,False
breast_cancer_wisconsin,perimeter_se,float64,float64,False
breast_cancer_wisconsin,area_se,float64,float64,False
breast_cancer_wisconsin,smoothness_se,float64,float64,False
breast_cancer_wisconsin,compactness_se,float64,float64,False
breast_cancer_wisconsin,concavity_se,float64,float64,False
breast_cancer_wisconsin,concave_points_se,float64,float64,False
breast_cancer_wisconsin,symmetry_se,float64,float64,False
breast_cancer_wisconsin,fractal_dimension_se,float64,float64,False
breast_cancer_wisconsin,radius_worst,float64,float64,False
breast_cancer_wisconsin,texture_worst,float64,float64,False
breast_cancer_wisconsin,perimeter_worst,float64,float64,False
breast_cancer_wisconsin,area_worst,float64,float64,False
breast_cancer_wisconsin,smoothness_worst,float64,float64,False
breast_cancer_wisconsin,compactness_worst,float64,float64,False
breast_cancer_wisconsin,concavity_worst,float64,float64,False
breast_cancer_wisconsin,concave_points_worst,float64,float64,False
breast_cancer_wisconsin,symmetry_worst,float64,float64,False
breast_cancer_wisconsin,fractal_dimension_worst,float64,float64,False
customer_churn,customer_id,float64,int64,True
customer_churn,age,float64,int64,True
customer_churn,gender,object,object,False
customer_churn,tenure,float64,int64,True
customer_churn,usage_frequency,float64,int64,True
customer_churn,support_calls,float64,int64,True
customer_churn,payment_delay,float64,int64,True
customer_churn,subscription_type,object,object,False
customer_churn,contract_length,object,object,False
customer_churn,total_spend,float64,float64,False
customer_churn,last_interaction,float64,int64,True
customer_churn,target,float64,int64,True
madelon,feat_0,int64,int64,False
madelon,feat_1,int64,int64,False
madelon,feat_2,int64,int64,False
madelon,feat_3,int64,int64,False
madelon,feat_4,int64,int64,False
madelon,feat_5,int64,int64,False
madelon,feat_6,int64,int64,False
madelon,feat_7,int64,int64,False
madelon,feat_8,int64,int64,False
madelon,feat_9,int64,int64,False
madelon,feat_10,int64,int64,False
madelon,feat_11,int64,int64,False
madelon,feat_12,int64,int64,False
madelon,feat_13,int64,int64,False
madelon,feat_14,int64,int64,False
madelon,feat_15,int64,int64,False
madelon,feat_16,int64,int64,False
madelon,feat_17,int64,int64,False
madelon,feat_18,int64,int64,False
madelon,feat_19,int64,int64,False
madelon,feat_20,int64,int64,False
madelon,feat_21,int64,int64,False
madelon,feat_22,int64,int64,False
madelon,feat_23,int64,int64,False
madelon,feat_24,int64,int64,False
madelon,feat_25,int64,int64,False
madelon,feat_26,int64,int64,False
madelon,feat_27,int64,int64,False
madelon,feat_28,int64,int64,False
madelon,feat_29,int64,int64,False
madelon,feat_30,int64,int64,False
madelon,feat_31,int64,int64,False
madelon,feat_32,int64,int64,False
madelon,feat_33,int64,int64,False
madelon,feat_34,int64,int64,False
madelon,feat_35,int64,int64,False
madelon,feat_36,int64,int64,False
madelon,feat_37,int64,int64,False
madelon,feat_38,int64,int64,False
madelon,feat_39,int64,int64,False
madelon,feat_40,int64,int64,False
madelon,feat_41,int64,int64,False
madelon,feat_42,int64,int64,False
madelon,feat_43,int64,int64,False
madelon,feat_44,int64,int64,False
madelon,feat_45,int64,int64,False
madelon,feat_46,int64,int64,False
madelon,feat_47,int64,int64,False
madelon,feat_48,int64,int64,False
madelon,feat_49,int64,int64,False
madelon,feat_50,int64,int64,False
madelon,feat_51,int64,int64,False
madelon,feat_52,int64,int64,False
madelon,feat_53,int64,int64,False
madelon,feat_54,int64,int64,False
madelon,feat_55,int64,int64,False
madelon,feat_56,int64,int64,False
madelon,feat_57,int64,int64,False
madelon,feat_58,int64,int64,False
madelon,feat_59,int64,int64,False
madelon,feat_60,int64,int64,False
madelon,feat_61,int64,int64,False
madelon,feat_62,int64,int64,False
madelon,feat_63,int64,int64,False
madelon,feat_64,int64,int64,False
madelon,feat_65,int64,int64,False
madelon,feat_66,int64,int64,False
madelon,feat_67,int64,int64,False
madelon,feat_68,int64,int64,False
madelon,feat_69,int64,int64,False
madelon,feat_70,int64,int64,False
madelon,feat_71,int64,int64,False
madelon,feat_72,int64,int64,False
madelon,feat_73,int64,int64,False
madelon,feat_74,int64,int64,False
madelon,feat_75,int64,int64,False
madelon,feat_76,int64,int64,False
madelon,feat_77,int64,int64,False
madelon,feat_78,int64,int64,False
madelon,feat_79,int64,int64,False
madelon,feat_80,int64,int64,False
madelon,feat_81,int64,int64,False
madelon,feat_82,int64,int64,False
madelon,feat_83,int64,int64,False
madelon,feat_84,int64,int64,False
madelon,feat_85,int64,int64,False
madelon,feat_86,int64,int64,False
madelon,feat_87,int64,int64,False
madelon,feat_88,int64,int64,False
madelon,feat_89,int64,int64,False
madelon,feat_90,int64,int64,False
madelon,feat_91,int64,int64,False
madelon,feat_92,int64,int64,False
madelon,feat_93,int64,int64,False
madelon,feat_94,int64,int64,False
madelon,feat_95,int64,int64,False
madelon,feat_96,int64,int64,False
madelon,feat_97,int64,int64,False
madelon,feat_98,int64,int64,False
madelon,feat_99,int64,int64,False
madelon,feat_100,int64,int64,False
madelon,feat_101,int64,int64,False
madelon,feat_102,int64,int64,False
madelon,feat_103,int64,int64,False
madelon,feat_104,int64,int64,False
