dataset,variable,variable_procesada,test,estadistico,p_valor,p_valor_fdr,nombre_tamano_efecto,tamano_efecto,abs_tamano_efecto
breast_cancer_wisconsin,perimeter_worst,perimeter_worst,mann_whitney_u,73826.0,2.5830037182989854e-80,7.749011154896957e-79,cliffs_delta,0.9509011151630464,0.9509011151630464
customer_churn,Subscription Type,subscription_type,chi2,186.22514681615587,3.645215204299809e-41,3.645215204299809e-41,cramers_v,0.0205533494611268,0.0205533494611268
madelon,feat_4,feat_4,mann_whitney_u,474637.5,0.0495177752125315,0.6262926317816699,cliffs_delta,-0.050725,0.050725
madelon,feat_10,feat_10,mann_whitney_u,531634.0,0.0142933623412074,0.3535411160154101,cliffs_delta,0.0632680000000001,0.0632680000000001
madelon,feat_55,feat_55,mann_whitney_u,530142.0,0.0195727960109726,0.4077665835619299,cliffs_delta,0.060284,0.060284
madelon,feat_119,feat_119,mann_whitney_u,474197.0,0.0456806898441693,0.6262926317816699,cliffs_delta,-0.051606,0.051606
madelon,feat_136,feat_136,mann_whitney_u,468885.0,0.0159703625655018,0.3535411160154101,cliffs_delta,-0.06223,0.06223
madelon,feat_137,feat_137,mann_whitney_u,471062.0,0.0250118546723357,0.4809972052372267,cliffs_delta,-0.057876,0.057876
madelon,feat_177,feat_177,mann_whitney_u,473237.0,0.0380259750444458,0.5592055153594983,cliffs_delta,-0.0535259999999999,0.0535259999999999
madelon,feat_199,feat_199,mann_whitney_u,526136.5,0.0429599094447995,0.6137129920685646,cliffs_delta,0.052273,0.052273
madelon,feat_205,feat_205,mann_whitney_u,526318.5,0.036324243901243,0.5512836276447768,cliffs_delta,0.052637,0.052637
madelon,feat_243,feat_243,mann_whitney_u,525599.0,0.0473862395354913,0.6262926317816699,cliffs_delta,0.051198,0.051198
madelon,feat_282,feat_282,mann_whitney_u,467371.0,0.011496856238671,0.3504093516507426,cliffs_delta,-0.065258,0.065258
madelon,feat_286,feat_286,mann_whitney_u,527021.0,0.0363847194245552,0.5512836276447768,cliffs_delta,0.0540419999999999,0.0540419999999999
madelon,feat_296,feat_296,mann_whitney_u,531332.5,0.0152425716892024,0.3535411160154101,cliffs_delta,0.0626649999999999,0.0626649999999999
madelon,feat_298,feat_298,mann_whitney_u,531444.0,0.0148832532796761,0.3535411160154101,cliffs_delta,0.062888,0.062888
madelon,feat_323,feat_323,mann_whitney_u,537889.5,0.0033336358649519,0.1190584237482834,cliffs_delta,0.075779,0.075779
madelon,feat_329,feat_329,mann_whitney_u,471547.5,0.0275663519658792,0.4872115102051072,cliffs_delta,-0.0569049999999999,0.0569049999999999
madelon,feat_377,feat_377,mann_whitney_u,531026.5,0.0162628913367088,0.3535411160154101,cliffs_delta,0.0620529999999999,0.0620529999999999
madelon,feat_384,feat_384,mann_whitney_u,471500.0,0.0272876459320891,0.4872115102051072,cliffs_delta,-0.057,0.057
madelon,feat_411,feat_411,mann_whitney_u,533636.5,0.0091910362859574,0.3063678761985828,cliffs_delta,0.0672729999999999,0.0672729999999999
madelon,feat_424,feat_424,mann_whitney_u,467538.5,0.0119139179561252,0.3504093516507426,cliffs_delta,-0.0649229999999999,0.0649229999999999
madelon,feat_425,feat_425,mann_whitney_u,528321.5,0.0282582675918962,0.4872115102051072,cliffs_delta,0.056643,0.056643
madelon,feat_430,feat_430,mann_whitney_u,531176.5,0.0157553450260647,0.3535411160154101,cliffs_delta,0.0623530000000001,0.0623530000000001
madelon,feat_431,feat_431,mann_whitney_u,472097.5,0.0307058819762767,0.4982756611443097,cliffs_delta,-0.0558049999999999,0.0558049999999999
madelon,feat_456,feat_456,mann_whitney_u,470645.0,0.0228125427247532,0.4562508544950646,cliffs_delta,-0.05871,0.05871
madelon,feat_496,feat_496,mann_whitney_u,527832.5,0.0308930909909472,0.4982756611443097,cliffs_delta,0.055665,0.055665
olive_oil,Area,area,kruskal_wallis,570.9999999999999,4.000957652599227e-118,2.0004788262996136e-117,epsilon_squared,0.9999999999999998,0.9999999999999998
olive_oil,palmitic,palmitic,kruskal_wallis,570.9999999999999,4.000957652599227e-118,2.0004788262996136e-117,epsilon_squared,0.9999999999999998,0.9999999999999998
