dataset,metodo,variable_a,variable_b,abs_correlacion
breast_cancer_wisconsin,pearson,radius_mean,perimeter_mean,0.9978552814938109
breast_cancer_wisconsin,pearson,radius_mean,area_mean,0.9873571700566127
breast_cancer_wisconsin,pearson,radius_mean,radius_worst,0.9695389726112055
breast_cancer_wisconsin,pearson,radius_mean,perimeter_worst,0.9651365139559871
breast_cancer_wisconsin,pearson,radius_mean,area_worst,0.9410824595860461
breast_cancer_wisconsin,pearson,texture_mean,texture_worst,0.912044588840421
breast_cancer_wisconsin,pearson,perimeter_mean,area_mean,0.9865068039913907
breast_cancer_wisconsin,pearson,perimeter_mean,concave_points_mean,0.8509770412528191
breast_cancer_wisconsin,pearson,perimeter_mean,radius_worst,0.9694763634663146
breast_cancer_wisconsin,pearson,perimeter_mean,perimeter_worst,0.9703868870426394
breast_cancer_wisconsin,pearson,perimeter_mean,area_worst,0.9415498080023068
breast_cancer_wisconsin,pearson,area_mean,radius_worst,0.9627460860470841
breast_cancer_wisconsin,pearson,area_mean,perimeter_worst,0.9591195743552645
breast_cancer_wisconsin,pearson,area_mean,area_worst,0.9592133256498998
breast_cancer_wisconsin,pearson,compactness_mean,concavity_mean,0.8831206701772507
breast_cancer_wisconsin,pearson,compactness_mean,compactness_worst,0.8658090398022629
breast_cancer_wisconsin,pearson,concavity_mean,concave_points_mean,0.9213910263788588
breast_cancer_wisconsin,pearson,concavity_mean,concavity_worst,0.8841026390943817
breast_cancer_wisconsin,pearson,concavity_mean,concave_points_worst,0.861323033637951
breast_cancer_wisconsin,pearson,concave_points_mean,perimeter_worst,0.8559231281343119
breast_cancer_wisconsin,pearson,concave_points_mean,concave_points_worst,0.9101553142985918
breast_cancer_wisconsin,pearson,radius_se,perimeter_se,0.9727936770160764
breast_cancer_wisconsin,pearson,radius_se,area_se,0.951830112110991
breast_cancer_wisconsin,pearson,perimeter_se,area_se,0.9376554069544157
breast_cancer_wisconsin,pearson,radius_worst,perimeter_worst,0.993707916102949
breast_cancer_wisconsin,pearson,radius_worst,area_worst,0.9840145644590742
breast_cancer_wisconsin,pearson,perimeter_worst,area_worst,0.9775780914063871
