dataset,variable,percentil,valor_raw,valor_processed,delta_abs
breast_cancer_wisconsin,radius_mean,0.0,6.981,6.981,0.0
breast_cancer_wisconsin,radius_mean,0.25,11.7,11.7,0.0
breast_cancer_wisconsin,radius_mean,0.5,13.37,13.37,0.0
breast_cancer_wisconsin,radius_mean,0.75,15.78,15.78,0.0
breast_cancer_wisconsin,radius_mean,1.0,28.11,28.11,0.0
breast_cancer_wisconsin,texture_mean,0.0,9.71,9.71,0.0
breast_cancer_wisconsin,texture_mean,0.25,16.17,16.17,0.0
breast_cancer_wisconsin,texture_mean,0.5,18.84,18.84,0.0
breast_cancer_wisconsin,texture_mean,0.75,21.8,21.8,0.0
breast_cancer_wisconsin,texture_mean,1.0,39.28,39.28,0.0
breast_cancer_wisconsin,perimeter_mean,0.0,43.79,43.79,0.0
breast_cancer_wisconsin,perimeter_mean,0.25,75.17,75.17,0.0
breast_cancer_wisconsin,perimeter_mean,0.5,86.24,86.24,0.0
breast_cancer_wisconsin,perimeter_mean,0.75,104.1,104.1,0.0
breast_cancer_wisconsin,perimeter_mean,1.0,188.5,188.5,0.0
breast_cancer_wisconsin,area_mean,0.0,143.5,143.5,0.0
breast_cancer_wisconsin,area_mean,0.25,420.3,420.3,0.0
breast_cancer_wisconsin,area_mean,0.5,551.1,551.1,0.0
breast_cancer_wisconsin,area_mean,0.75,782.7,782.7,0.0
breast_cancer_wisconsin,area_mean,1.0,2501.0,2501.0,0.0
breast_cancer_wisconsin,smoothness_mean,0.0,0.05263,0.05263,0.0
breast_cancer_wisconsin,smoothness_mean,0.25,0.08637,0.08637,0.0
breast_cancer_wisconsin,smoothness_mean,0.5,0.09587,0.09587,0.0
breast_cancer_wisconsin,smoothness_mean,0.75,0.1053,0.1053,0.0
breast_cancer_wisconsin,smoothness_mean,1.0,0.1634,0.1634,0.0
breast_cancer_wisconsin,compactness_mean,0.0,0.01938,0.01938,0.0
breast_cancer_wisconsin,compactness_mean,0.25,0.06492,0.06492,0.0
breast_cancer_wisconsin,compactness_mean,0.5,0.09263,0.09263,0.0
breast_cancer_wisconsin,compactness_mean,0.75,0.1304,0.1304,0.0
breast_cancer_wisconsin,compactness_mean,1.0,0.3454,0.3454,0.0
breast_cancer_wisconsin,concavity_mean,0.0,0.0,0.0,0.0
breast_cancer_wisconsin,concavity_mean,0.25,0.02956,0.02956,0.0
breast_cancer_wisconsin,concavity_mean,0.5,0.06154,0.06154,0.0
breast_cancer_wisconsin,concavity_mean,0.75,0.1307,0.1307,0.0
breast_cancer_wisconsin,concavity_mean,1.0,0.4268,0.4268,0.0
breast_cancer_wisconsin,concave_points_mean,0.0,0.0,0.0,0.0
breast_cancer_wisconsin,concave_points_mean,0.25,0.02031,0.02031,0.0
breast_cancer_wisconsin,concave_points_mean,0.5,0.0335,0.0335,0.0
breast_cancer_wisconsin,concave_points_mean,0.75,0.074,0.074,0.0
breast_cancer_wisconsin,concave_points_mean,1.0,0.2012,0.2012,0.0
breast_cancer_wisconsin,symmetry_mean,0.0,0.106,0.106,0.0
breast_cancer_wisconsin,symmetry_mean,0.25,0.1619,0.1619,0.0
breast_cancer_wisconsin,symmetry_mean,0.5,0.1792,0.1792,0.0
breast_cancer_wisconsin,symmetry_mean,0.75,0.1957,0.1957,0.0
breast_cancer_wisconsin,symmetry_mean,1.0,0.304,0.304,0.0
breast_cancer_wisconsin,fractal_dimension_mean,0.0,0.04996,0.04996,0.0
breast_cancer_wisconsin,fractal_dimension_mean,0.25,0.0577,0.0577,0.0
breast_cancer_wisconsin,fractal_dimension_mean,0.5,0.06154,0.06154,0.0
breast_cancer_wisconsin,fractal_dimension_mean,0.75,0.06612,0.06612,0.0
breast_cancer_wisconsin,fractal_dimension_mean,1.0,0.09744,0.09744,0.0
breast_cancer_wisconsin,radius_se,0.0,0.1115,0.1115,0.0
breast_cancer_wisconsin,radius_se,0.25,0.2324,0.2324,0.0
breast_cancer_wisconsin,radius_se,0.5,0.3242,0.3242,0.0
breast_cancer_wisconsin,radius_se,0.75,0.4789,0.4789,0.0
breast_cancer_wisconsin,radius_se,1.0,2.873,2.873,0.0
breast_cancer_wisconsin,texture_se,0.0,0.3602,0.3602,0.0
breast_cancer_wisconsin,texture_se,0.25,0.8339,0.8339,0.0
breast_cancer_wisconsin,texture_se,0.5,1.108,1.108,0.0
breast_cancer_wisconsin,texture_se,0.75,1.474,1.474,0.0
breast_cancer_wisconsin,texture_se,1.0,4.885,4.885,0.0
breast_cancer_wisconsin,perimeter_se,0.0,0.757,0.757,0.0
breast_cancer_wisconsin,perimeter_se,0.25,1.606,1.606,0.0
breast_cancer_wisconsin,perimeter_se,0.5,2.287,2.287,0.0
breast_cancer_wisconsin,perimeter_se,0.75,3.357,3.357,0.0
breast_cancer_wisconsin,perimeter_se,1.0,21.98,21.98,0.0
breast_cancer_wisconsin,area_se,0.0,6.802,6.802,0.0
breast_cancer_wisconsin,area_se,0.25,17.85,17.85,0.0
breast_cancer_wisconsin,area_se,0.5,24.53,24.53,0.0
breast_cancer_wisconsin,area_se,0.75,45.19,45.19,0.0
breast_cancer_wisconsin,area_se,1.0,542.2,542.2,0.0
breast_cancer_wisconsin,smoothness_se,0.0,0.001713,0.001713,0.0
breast_cancer_wisconsin,smoothness_se,0.25,0.005169,0.005169,0.0
breast_cancer_wisconsin,smoothness_se,0.5,0.00638,0.00638,0.0
breast_cancer_wisconsin,smoothness_se,0.75,0.008146,0.008146,0.0
breast_cancer_wisconsin,smoothness_se,1.0,0.03113,0.03113,0.0
breast_cancer_wisconsin,compactness_se,0.0,0.002252,0.002252,0.0
breast_cancer_wisconsin,compactness_se,0.25,0.01308,0.01308,0.0
breast_cancer_wisconsin,compactness_se,0.5,0.02045,0.02045,0.0
breast_cancer_wisconsin,compactness_se,0.75,0.03245,0.03245,0.0
breast_cancer_wisconsin,compactness_se,1.0,0.1354,0.1354,0.0
breast_cancer_wisconsin,concavity_se,0.0,0.0,0.0,0.0
breast_cancer_wisconsin,concavity_se,0.25,0.01509,0.01509,0.0
breast_cancer_wisconsin,concavity_se,0.5,0.02589,0.02589,0.0
breast_cancer_wisconsin,concavity_se,0.75,0.04205,0.04205,0.0
breast_cancer_wisconsin,concavity_se,1.0,0.396,0.396,0.0
breast_cancer_wisconsin,concave_points_se,0.0,0.0,0.0,0.0
breast_cancer_wisconsin,concave_points_se,0.25,0.007638,0.007638,0.0
breast_cancer_wisconsin,concave_points_se,0.5,0.01093,0.01093,0.0
breast_cancer_wisconsin,concave_points_se,0.75,0.01471,0.01471,0.0
breast_cancer_wisconsin,concave_points_se,1.0,0.05279,0.05279,0.0
breast_cancer_wisconsin,symmetry_se,0.0,0.007882,0.007882,0.0
breast_cancer_wisconsin,symmetry_se,0.25,0.01516,0.01516,0.0
breast_cancer_wisconsin,symmetry_se,0.5,0.01873,0.01873,0.0
breast_cancer_wisconsin,symmetry_se,0.75,0.02348,0.02348,0.0
