dataset,variable,minimo,maximo,rango,mediana,iqr
breast_cancer_wisconsin,radius_mean,6.981,28.11,21.128999999999998,13.37,4.08
breast_cancer_wisconsin,texture_mean,9.71,39.28,29.57,18.84,5.629999999999999
breast_cancer_wisconsin,perimeter_mean,43.79,188.5,144.71,86.24,28.929999999999993
breast_cancer_wisconsin,area_mean,143.5,2501.0,2357.5,551.1,362.40000000000003
breast_cancer_wisconsin,smoothness_mean,0.05263,0.1634,0.11076999999999998,0.09587,0.018930000000000002
breast_cancer_wisconsin,compactness_mean,0.01938,0.3454,0.32602,0.09263,0.06547999999999998
breast_cancer_wisconsin,concavity_mean,0.0,0.4268,0.4268,0.06154,0.10114000000000001
breast_cancer_wisconsin,concave_points_mean,0.0,0.2012,0.2012,0.0335,0.053689999999999995
breast_cancer_wisconsin,symmetry_mean,0.106,0.304,0.198,0.1792,0.033800000000000024
breast_cancer_wisconsin,fractal_dimension_mean,0.04996,0.09744,0.04748,0.06154,0.008419999999999997
breast_cancer_wisconsin,radius_se,0.1115,2.873,2.7615000000000003,0.3242,0.2465
breast_cancer_wisconsin,texture_se,0.3602,4.885,4.5248,1.108,0.6401
breast_cancer_wisconsin,perimeter_se,0.757,21.98,21.223,2.287,1.7510000000000001
breast_cancer_wisconsin,area_se,6.802,542.2,535.398,24.53,27.339999999999996
breast_cancer_wisconsin,smoothness_se,0.001713,0.03113,0.029417000000000002,0.00638,0.0029770000000000005
breast_cancer_wisconsin,compactness_se,0.002252,0.1354,0.133148,0.02045,0.01937
breast_cancer_wisconsin,concavity_se,0.0,0.396,0.396,0.02589,0.026959999999999998
breast_cancer_wisconsin,concave_points_se,0.0,0.05279,0.05279,0.01093,0.007072000000000001
breast_cancer_wisconsin,symmetry_se,0.007882,0.07895,0.071068,0.01873,0.008320000000000001
breast_cancer_wisconsin,fractal_dimension_se,0.0008948,0.02984,0.028945199999999997,0.003187,0.0023100000000000004
breast_cancer_wisconsin,radius_worst,7.93,36.04,28.11,14.97,5.779999999999999
breast_cancer_wisconsin,texture_worst,12.02,49.54,37.519999999999996,25.41,8.64
breast_cancer_wisconsin,perimeter_worst,50.41,251.2,200.79,97.66,41.290000000000006
breast_cancer_wisconsin,area_worst,185.2,4254.0,4068.8,686.5,568.7
breast_cancer_wisconsin,smoothness_worst,0.07117,0.2226,0.15143,0.1313,0.029399999999999996
breast_cancer_wisconsin,compactness_worst,0.02729,1.058,1.03071,0.2119,0.19190000000000002
breast_cancer_wisconsin,concavity_worst,0.0,1.252,1.252,0.2267,0.2684
breast_cancer_wisconsin,concave_points_worst,0.0,0.291,0.291,0.09993,0.09646999999999999
breast_cancer_wisconsin,symmetry_worst,0.1565,0.6638,0.5073,0.2822,0.0675
breast_cancer_wisconsin,fractal_dimension_worst,0.05504,0.2075,0.15245999999999998,0.08004,0.02062
customer_churn,age,18.0,65.0,47.0,39.0,19.0
customer_churn,tenure,1.0,60.0,59.0,32.0,30.0
customer_churn,usage_frequency,1.0,30.0,29.0,16.0,14.0
customer_churn,support_calls,0.0,10.0,10.0,3.0,5.0
customer_churn,payment_delay,0.0,30.0,30.0,12.0,13.0
customer_churn,total_spend,100.0,1000.0,900.0,661.0,350.0
customer_churn,last_interaction,1.0,30.0,29.0,14.0,15.0
madelon,feat_0,462.0,503.0,41.0,482.0,9.0
madelon,feat_1,381.0,600.0,219.0,483.0,39.0
madelon,feat_2,370.0,654.0,284.0,510.5,51.0
madelon,feat_3,453.0,519.0,66.0,483.0,13.0
madelon,feat_4,371.0,688.0,317.0,500.0,53.0
madelon,feat_5,459.0,505.0,46.0,479.0,9.0
madelon,feat_6,334.0,611.0,277.0,480.0,53.5
madelon,feat_7,471.0,481.0,10.0,477.0,1.0
madelon,feat_8,430.0,536.0,106.0,487.0,19.25
madelon,feat_9,455.0,503.0,48.0,479.0,10.0
madelon,feat_10,354.0,620.0,266.0,486.0,49.0
madelon,feat_11,389.0,603.0,214.0,491.0,36.25
madelon,feat_12,347.0,593.0,246.0,478.0,47.0
madelon,feat_13,352.0,632.0,280.0,482.0,56.0
madelon,feat_14,444.0,523.0,79.0,485.0,16.0
madelon,feat_15,410.0,551.0,141.0,479.0,30.0
madelon,feat_16,433.0,523.0,90.0,479.0,19.0
madelon,feat_17,377.0,601.0,224.0,495.0,40.0
madelon,feat_18,408.0,566.0,158.0,484.0,32.0
madelon,feat_19,441.0,513.0,72.0,477.5,14.0
madelon,feat_20,426.0,526.0,100.0,485.0,16.25
madelon,feat_21,412.0,571.0,159.0,494.0,30.0
madelon,feat_22,456.0,499.0,43.0,477.0,9.0
madelon,feat_23,438.0,516.0,78.0,479.0,13.0
madelon,feat_24,343.0,653.0,310.0,500.0,60.0
madelon,feat_25,416.0,597.0,181.0,504.0,39.0
madelon,feat_26,421.0,573.0,152.0,485.0,28.0
madelon,feat_27,441.0,528.0,87.0,482.0,16.0
madelon,feat_28,438.0,520.0,82.0,481.0,25.0
madelon,feat_29,417.0,573.0,156.0,492.0,28.0
