dataset,variable,mediana_raw,mediana_processed,delta_mediana_abs,iqr_raw,iqr_processed,delta_iqr_abs,ks_statistic,ks_p_value,wasserstein_distance,psi,js_divergence,max_delta_percentil,spearman_raw_processed,score_shift
breast_cancer_wisconsin,radius_mean,13.37,13.37,0.0,4.08,4.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
breast_cancer_wisconsin,texture_mean,18.84,18.84,0.0,5.629999999999999,5.629999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,perimeter_mean,86.24,86.24,0.0,28.929999999999993,28.929999999999993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,area_mean,551.1,551.1,0.0,362.40000000000003,362.40000000000003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,smoothness_mean,0.09587,0.09587,0.0,0.018930000000000002,0.018930000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,compactness_mean,0.09263,0.09263,0.0,0.06547999999999998,0.06547999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,concavity_mean,0.06154,0.06154,0.0,0.10114000000000001,0.10114000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,concave_points_mean,0.0335,0.0335,0.0,0.053689999999999995,0.053689999999999995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,symmetry_mean,0.1792,0.1792,0.0,0.033800000000000024,0.033800000000000024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,fractal_dimension_mean,0.06154,0.06154,0.0,0.008419999999999997,0.008419999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,radius_se,0.3242,0.3242,0.0,0.2465,0.2465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,texture_se,1.108,1.108,0.0,0.6401,0.6401,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,perimeter_se,2.287,2.287,0.0,1.7510000000000001,1.7510000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,area_se,24.53,24.53,0.0,27.339999999999996,27.339999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
breast_cancer_wisconsin,smoothness_se,0.00638,0.00638,0.0,0.0029770000000000005,0.0029770000000000005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,compactness_se,0.02045,0.02045,0.0,0.01937,0.01937,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,concavity_se,0.02589,0.02589,0.0,0.026959999999999998,0.026959999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,concave_points_se,0.01093,0.01093,0.0,0.007072000000000001,0.007072000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,symmetry_se,0.01873,0.01873,0.0,0.008320000000000001,0.008320000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,fractal_dimension_se,0.003187,0.003187,0.0,0.0023100000000000004,0.0023100000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,radius_worst,14.97,14.97,0.0,5.779999999999999,5.779999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,texture_worst,25.41,25.41,0.0,8.64,8.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,perimeter_worst,97.66,97.66,0.0,41.290000000000006,41.290000000000006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
breast_cancer_wisconsin,area_worst,686.5,686.5,0.0,568.7,568.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,smoothness_worst,0.1313,0.1313,0.0,0.029399999999999996,0.029399999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,compactness_worst,0.2119,0.2119,0.0,0.19190000000000002,0.19190000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,concavity_worst,0.2267,0.2267,0.0,0.2684,0.2684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,concave_points_worst,0.09993,0.09993,0.0,0.09646999999999999,0.09646999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,symmetry_worst,0.2822,0.2822,0.0,0.0675,0.0675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
breast_cancer_wisconsin,fractal_dimension_worst,0.08004,0.08004,0.0,0.02062,0.02062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
customer_churn,age,39.0,39.0,0.0,19.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
customer_churn,tenure,32.0,32.0,0.0,30.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
customer_churn,usage_frequency,16.0,16.0,0.0,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
customer_churn,support_calls,3.0,3.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0
customer_churn,payment_delay,12.0,12.0,0.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
customer_churn,total_spend,661.0,661.0,0.0,350.0,350.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
customer_churn,last_interaction,14.0,14.0,0.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_0,482.0,482.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_1,483.0,483.0,0.0,39.0,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_2,510.5,510.5,0.0,51.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
madelon,feat_3,483.0,483.0,0.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
