dataset,codigo,n_raw,n_processed,delta_n,proporcion_raw,proporcion_processed,delta_proporcion,delta_proporcion_abs
breast_cancer_wisconsin,0,357.0,357.0,0.0,0.6274165202108963,0.6274165202108963,0.0,0.0
breast_cancer_wisconsin,1,212.0,212.0,0.0,0.37258347978910367,0.37258347978910367,0.0,0.0
customer_churn,0,190833.0,190833.0,0.0,0.4328928027003484,0.4328928027003484,0.0,0.0
customer_churn,1,249999.0,249999.0,0.0,0.5671071972996515,0.5671071972996515,0.0,0.0
madelon,0,1000.0,1000.0,0.0,0.5,0.5,0.0,0.0
madelon,1,1000.0,1000.0,0.0,0.5,0.5,0.0,0.0
olive_oil,0,56.0,56.0,0.0,0.0979020979020979,0.0979020979020979,0.0,0.0
olive_oil,1,33.0,33.0,0.0,0.057692307692307696,0.057692307692307696,0.0,0.0
olive_oil,2,50.0,50.0,0.0,0.08741258741258741,0.08741258741258741,0.0,0.0
olive_oil,3,65.0,65.0,0.0,0.11363636363636363,0.11363636363636363,0.0,0.0
olive_oil,4,25.0,25.0,0.0,0.043706293706293704,0.043706293706293704,0.0,0.0
olive_oil,5,36.0,36.0,0.0,0.06293706293706294,0.06293706293706294,0.0,0.0
olive_oil,6,206.0,206.0,0.0,0.36013986013986016,0.36013986013986016,0.0,0.0
olive_oil,7,51.0,51.0,0.0,0.08916083916083917,0.08916083916083917,0.0,0.0
olive_oil,8,50.0,50.0,0.0,0.08741258741258741,0.08741258741258741,0.0,0.0
