dataset,variable,dtype,valores_unicos,nulos
breast_cancer_wisconsin,target,int64,2,0
breast_cancer_wisconsin,radius_mean,float64,456,0
breast_cancer_wisconsin,texture_mean,float64,479,0
breast_cancer_wisconsin,perimeter_mean,float64,522,0
breast_cancer_wisconsin,area_mean,float64,539,0
breast_cancer_wisconsin,smoothness_mean,float64,474,0
breast_cancer_wisconsin,compactness_mean,float64,537,0
breast_cancer_wisconsin,concavity_mean,float64,537,0
breast_cancer_wisconsin,concave_points_mean,float64,542,0
breast_cancer_wisconsin,symmetry_mean,float64,432,0
breast_cancer_wisconsin,fractal_dimension_mean,float64,499,0
breast_cancer_wisconsin,radius_se,float64,540,0
breast_cancer_wisconsin,texture_se,float64,519,0
breast_cancer_wisconsin,perimeter_se,float64,533,0
breast_cancer_wisconsin,area_se,float64,528,0
breast_cancer_wisconsin,smoothness_se,float64,547,0
breast_cancer_wisconsin,compactness_se,float64,541,0
breast_cancer_wisconsin,concavity_se,float64,533,0
breast_cancer_wisconsin,concave_points_se,float64,507,0
breast_cancer_wisconsin,symmetry_se,float64,498,0
breast_cancer_wisconsin,fractal_dimension_se,float64,545,0
breast_cancer_wisconsin,radius_worst,float64,457,0
breast_cancer_wisconsin,texture_worst,float64,511,0
breast_cancer_wisconsin,perimeter_worst,float64,514,0
breast_cancer_wisconsin,area_worst,float64,544,0
breast_cancer_wisconsin,smoothness_worst,float64,411,0
breast_cancer_wisconsin,compactness_worst,float64,529,0
breast_cancer_wisconsin,concavity_worst,float64,539,0
breast_cancer_wisconsin,concave_points_worst,float64,492,0
breast_cancer_wisconsin,symmetry_worst,float64,500,0
breast_cancer_wisconsin,fractal_dimension_worst,float64,535,0
customer_churn,age,int64,48,0
customer_churn,gender,object,2,0
customer_churn,tenure,int64,60,0
customer_churn,usage_frequency,int64,30,0
customer_churn,support_calls,int64,11,0
customer_churn,payment_delay,int64,31,0
customer_churn,subscription_type,object,3,0
customer_churn,contract_length,object,3,0
customer_churn,total_spend,float64,68363,0
customer_churn,last_interaction,int64,30,0
customer_churn,target,int64,2,0
madelon,feat_0,int64,40,0
madelon,feat_1,int64,170,0
madelon,feat_2,int64,208,0
madelon,feat_3,int64,60,0
madelon,feat_4,int64,222,0
madelon,feat_5,int64,44,0
madelon,feat_6,int64,213,0
madelon,feat_7,int64,11,0
madelon,feat_8,int64,92,0
madelon,feat_9,int64,47,0
madelon,feat_10,int64,196,0
madelon,feat_11,int64,160,0
madelon,feat_12,int64,183,0
madelon,feat_13,int64,227,0
madelon,feat_14,int64,76,0
madelon,feat_15,int64,130,0
madelon,feat_16,int64,80,0
madelon,feat_17,int64,169,0
madelon,feat_18,int64,130,0
madelon,feat_19,int64,64,0
madelon,feat_20,int64,81,0
madelon,feat_21,int64,126,0
madelon,feat_22,int64,44,0
madelon,feat_23,int64,63,0
madelon,feat_24,int64,227,0
madelon,feat_25,int64,157,0
madelon,feat_26,int64,125,0
madelon,feat_27,int64,75,0
madelon,feat_28,int64,75,0
