dataset,variable,vif
breast_cancer_wisconsin,radius_mean,3806.1152963980703
breast_cancer_wisconsin,texture_mean,11.884048056361907
breast_cancer_wisconsin,perimeter_mean,3786.400418934772
breast_cancer_wisconsin,area_mean,347.8786574560393
breast_cancer_wisconsin,smoothness_mean,8.194282305012004
breast_cancer_wisconsin,compactness_mean,50.505167690359194
breast_cancer_wisconsin,concavity_mean,70.76772019656056
breast_cancer_wisconsin,concave_points_mean,60.04173274748823
breast_cancer_wisconsin,symmetry_mean,4.220656255175306
breast_cancer_wisconsin,fractal_dimension_mean,15.75697723198363
breast_cancer_wisconsin,radius_se,75.46202726511181
breast_cancer_wisconsin,texture_se,4.205423193769378
breast_cancer_wisconsin,perimeter_se,70.35969456180072
breast_cancer_wisconsin,area_se,41.163091271710464
breast_cancer_wisconsin,smoothness_se,4.027922573011702
breast_cancer_wisconsin,compactness_se,15.366324437911723
breast_cancer_wisconsin,concavity_se,15.694833462311843
breast_cancer_wisconsin,concave_points_se,11.520796213194826
breast_cancer_wisconsin,symmetry_se,5.1754256093619695
breast_cancer_wisconsin,fractal_dimension_se,9.717986622976607
breast_cancer_wisconsin,radius_worst,799.1059459424558
breast_cancer_wisconsin,texture_worst,18.569966378043013
breast_cancer_wisconsin,perimeter_worst,405.02333586938687
breast_cancer_wisconsin,area_worst,337.2219243969318
breast_cancer_wisconsin,smoothness_worst,10.923060898131538
breast_cancer_wisconsin,compactness_worst,36.982754652699995
breast_cancer_wisconsin,concavity_worst,31.970723015900944
breast_cancer_wisconsin,concave_points_worst,36.76371359025435
breast_cancer_wisconsin,symmetry_worst,9.520570049644096
breast_cancer_wisconsin,fractal_dimension_worst,18.8615334312412
customer_churn,age,1.0298181133318793
customer_churn,tenure,1.0018900117352698
customer_churn,usage_frequency,1.001563886162233
customer_churn,support_calls,1.098390629863101
customer_churn,payment_delay,1.037381284584189
customer_churn,total_spend,1.0642310382878817
customer_churn,last_interaction,1.0087068016998548
madelon,feat_0,1.3544945048253516
madelon,feat_1,1.2801471599424628
madelon,feat_2,1.3320351216425046
madelon,feat_3,1.349611167722748
madelon,feat_4,1.3582423994948813
madelon,feat_5,1.3479901860096248
madelon,feat_6,1.3119196841856946
madelon,feat_7,1.4204522842854528
madelon,feat_8,1.305077394706611
madelon,feat_9,1.3211653277274469
madelon,feat_10,1.3835195109664433
madelon,feat_11,1.3038816828246365
madelon,feat_12,1.3243863213558584
madelon,feat_13,1.2825995182966352
madelon,feat_14,1.3456825082506907
madelon,feat_15,1.3464343022513874
madelon,feat_16,1.3055222265362403
madelon,feat_17,1.3464362383461768
madelon,feat_18,1.3169405658816866
madelon,feat_19,1.3375272553005315
madelon,feat_20,1.307887487129531
madelon,feat_21,1.3244800650241533
madelon,feat_22,1.3062111358030082
madelon,feat_23,1.3413254633287717
madelon,feat_24,1.3049247391785828
madelon,feat_25,1.3343389212710712
madelon,feat_26,1.3752341803517578
madelon,feat_27,1.2925398523528497
madelon,feat_28,95.31910486887182
madelon,feat_29,1.3338981205986653
madelon,feat_30,1.3363241632711274
madelon,feat_31,1.3285293026948266
madelon,feat_32,1.3227162872181384
madelon,feat_33,1.344607180497635
madelon,feat_34,1.3619160064543379
madelon,feat_35,1.3655930923481994
madelon,feat_36,1.3300330547246448
madelon,feat_37,1.2887714473650749
madelon,feat_38,1.3022276450110164
madelon,feat_39,1.341770241914198
madelon,feat_40,1.3677518723566158
madelon,feat_41,1.3199631814548616
madelon,feat_42,1.3349013056187657
madelon,feat_43,1.3747838440123579
madelon,feat_44,1.3447455188071429
madelon,feat_45,1.3136147093016552
madelon,feat_46,1.3291019208604227
madelon,feat_47,1.3548045967034312
madelon,feat_48,68.16439632503051
madelon,feat_49,1.3172124962758904
madelon,feat_50,1.3088176524934385
madelon,feat_51,1.3520347305404317
madelon,feat_52,1.3638725056586543
madelon,feat_53,1.3398947602527627
madelon,feat_54,1.3311442142899357
madelon,feat_55,1.3148300635532817
madelon,feat_56,1.3433121687997294
madelon,feat_57,1.3514813014400977
madelon,feat_58,1.2810773530186148
madelon,feat_59,1.331221354981925
madelon,feat_60,1.3019860438925832
madelon,feat_61,1.3097090474387842
madelon,feat_62,1.3408092796623532
madelon,feat_63,1.3261561028940605
madelon,feat_64,103.40457458164332
madelon,feat_65,1.372091872880377
madelon,feat_66,1.3673377283891899
madelon,feat_67,1.2794638259462294
madelon,feat_68,1.348164404093044
madelon,feat_69,1.3367968671135149
madelon,feat_70,1.3415941533805196
madelon,feat_71,1.3809021506374235
madelon,feat_72,1.2971312623347853
madelon,feat_73,1.3421983942179025
madelon,feat_74,1.3623461031821023
madelon,feat_75,1.2998347510450934
madelon,feat_76,1.291062721902772
madelon,feat_77,1.314725131752547
madelon,feat_78,1.3466895710094098
madelon,feat_79,1.3233791576985627
madelon,feat_80,1.3272883179521586
madelon,feat_81,1.3937077989730904
madelon,feat_82,1.324822498719138
madelon,feat_83,1.3126648170524584
madelon,feat_84,1.3415839401647458
madelon,feat_85,1.303731298021297
madelon,feat_86,1.3148913965032807
madelon,feat_87,1.3253556341043926
madelon,feat_88,1.3258515246657832
madelon,feat_89,1.3564672509845872
madelon,feat_90,1.350571733423883
madelon,feat_91,1.3622253457056848
madelon,feat_92,1.2786959734926397
madelon,feat_93,1.3543431991037718
madelon,feat_94,1.3369576816624487
madelon,feat_95,1.3189816835489576
madelon,feat_96,1.3257625071208163
madelon,feat_97,1.3267019212973676
madelon,feat_98,1.3123849942550991
madelon,feat_99,1.3067516243506112
madelon,feat_100,1.3313799145691845
madelon,feat_101,1.3392271950595225
madelon,feat_102,1.367173597711526
madelon,feat_103,1.305294572602335
madelon,feat_104,1.3415286982424925
madelon,feat_105,100.1817012721184
madelon,feat_106,1.3321805805849023
madelon,feat_107,1.3069495756723692
madelon,feat_108,1.3242229121049633
madelon,feat_109,1.349362558675658
madelon,feat_110,1.3402039276659488
madelon,feat_111,1.3323761267995082
madelon,feat_112,1.3517036220883574
madelon,feat_113,1.3331329027726753
madelon,feat_114,1.3413743824702302
madelon,feat_115,1.3009725699002679
madelon,feat_116,1.3147356519395554
madelon,feat_117,1.3221333327169098
madelon,feat_118,1.3265217046307587
madelon,feat_119,1.3396403882914745
madelon,feat_120,1.31886838142522
madelon,feat_121,1.2971763701386116
madelon,feat_122,1.3308591354389412
madelon,feat_123,1.3235520231785312
madelon,feat_124,1.3323574411246655
madelon,feat_125,1.3332728633173252
madelon,feat_126,1.3184159569969205
madelon,feat_127,1.325941896366666
madelon,feat_128,97.60415695718575
madelon,feat_129,1.35273515445659
madelon,feat_130,1.3123458935743844
madelon,feat_131,1.3198195219175322
madelon,feat_132,1.3663398039294936
madelon,feat_133,1.320233934144683
madelon,feat_134,1.3314483490444409
madelon,feat_135,1.3268979004153711
madelon,feat_136,1.2932689877123067
madelon,feat_137,1.337802478124639
