dataset,split,filas,proporcion,proporcion_esperada,delta_abs
breast_cancer_wisconsin,train,398,0.6994727592267135,0.7,0.0005272407732864748
breast_cancer_wisconsin,validation,85,0.14938488576449913,0.15,0.0006151142355008687
breast_cancer_wisconsin,test,86,0.15114235500878734,0.15,0.0011423550087873435
customer_churn,train,308582,0.6999990926248548,0.7,9.07375145131617e-07
customer_churn,validation,66125,0.1500004536875726,0.15,4.5368757259356407e-07
customer_churn,test,66125,0.1500004536875726,0.15,4.5368757259356407e-07
madelon,train,1400,0.7,0.7,0.0
madelon,validation,300,0.15,0.15,0.0
madelon,test,300,0.15,0.15,0.0
olive_oil_3class,train,400,0.6993006993006993,0.7,0.0006993006993006867
olive_oil_3class,validation,86,0.15034965034965034,0.15,0.00034965034965034336
olive_oil_3class,test,86,0.15034965034965034,0.15,0.00034965034965034336
olive_oil_9class,train,400,0.6993006993006993,0.7,0.0006993006993006867
olive_oil_9class,validation,86,0.15034965034965034,0.15,0.00034965034965034336
olive_oil_9class,test,86,0.15034965034965034,0.15,0.00034965034965034336
