dataset,split,clase,n,proporcion
breast_cancer_wisconsin,train,0,250,0.628140703517588
breast_cancer_wisconsin,train,1,148,0.37185929648241206
breast_cancer_wisconsin,validation,0,53,0.6235294117647059
breast_cancer_wisconsin,validation,1,32,0.3764705882352941
breast_cancer_wisconsin,test,0,54,0.627906976744186
breast_cancer_wisconsin,test,1,32,0.37209302325581395
customer_churn,train,0,133583,0.43289303977548915
customer_churn,train,1,174999,0.5671069602245108
customer_churn,validation,0,28625,0.43289224952741023
customer_churn,validation,1,37500,0.5671077504725898
customer_churn,test,0,28625,0.43289224952741023
customer_churn,test,1,37500,0.5671077504725898
madelon,train,0,700,0.5
madelon,train,1,700,0.5
madelon,validation,0,150,0.5
madelon,validation,1,150,0.5
madelon,test,0,150,0.5
madelon,test,1,150,0.5
olive_oil_3class,train,1,226,0.565
olive_oil_3class,train,2,68,0.17
olive_oil_3class,train,3,106,0.265
olive_oil_3class,validation,1,49,0.5697674418604651
olive_oil_3class,validation,2,15,0.1744186046511628
olive_oil_3class,validation,3,22,0.2558139534883721
olive_oil_3class,test,1,48,0.5581395348837209
olive_oil_3class,test,2,15,0.1744186046511628
olive_oil_3class,test,3,23,0.26744186046511625
olive_oil_9class,train,0,39,0.0975
olive_oil_9class,train,1,23,0.0575
olive_oil_9class,train,2,35,0.0875
olive_oil_9class,train,3,45,0.1125
olive_oil_9class,train,4,18,0.045
olive_oil_9class,train,5,25,0.0625
olive_oil_9class,train,6,144,0.36
olive_oil_9class,train,7,36,0.09
olive_oil_9class,train,8,35,0.0875
olive_oil_9class,validation,0,9,0.10465116279069768
olive_oil_9class,validation,1,5,0.05813953488372093
olive_oil_9class,validation,2,7,0.08139534883720931
olive_oil_9class,validation,3,10,0.11627906976744186
olive_oil_9class,validation,4,4,0.046511627906976744
olive_oil_9class,validation,5,6,0.06976744186046512
olive_oil_9class,validation,6,31,0.36046511627906974
olive_oil_9class,validation,7,7,0.08139534883720931
olive_oil_9class,validation,8,7,0.08139534883720931
olive_oil_9class,test,0,8,0.09302325581395349
olive_oil_9class,test,1,5,0.05813953488372093
olive_oil_9class,test,2,8,0.09302325581395349
olive_oil_9class,test,3,10,0.11627906976744186
olive_oil_9class,test,4,3,0.03488372093023256
olive_oil_9class,test,5,5,0.05813953488372093
olive_oil_9class,test,6,31,0.36046511627906974
olive_oil_9class,test,7,8,0.09302325581395349
olive_oil_9class,test,8,8,0.09302325581395349
