dataset,method,k,seed_a,seed_b,jaccard
breast_cancer_wisconsin,f_classif,3,13,42,1.0
breast_cancer_wisconsin,f_classif,3,13,97,1.0
breast_cancer_wisconsin,f_classif,3,42,97,1.0
breast_cancer_wisconsin,f_classif,5,13,42,1.0
breast_cancer_wisconsin,f_classif,5,13,97,1.0
breast_cancer_wisconsin,f_classif,5,42,97,1.0
breast_cancer_wisconsin,f_classif,10,13,42,1.0
breast_cancer_wisconsin,f_classif,10,13,97,1.0
breast_cancer_wisconsin,f_classif,10,42,97,1.0
breast_cancer_wisconsin,f_classif,15,13,42,1.0
breast_cancer_wisconsin,f_classif,15,13,97,1.0
breast_cancer_wisconsin,f_classif,15,42,97,1.0
breast_cancer_wisconsin,f_classif,20,13,42,1.0
breast_cancer_wisconsin,f_classif,20,13,97,1.0
breast_cancer_wisconsin,f_classif,20,42,97,1.0
breast_cancer_wisconsin,f_classif,30,13,42,1.0
breast_cancer_wisconsin,f_classif,30,13,97,1.0
breast_cancer_wisconsin,f_classif,30,42,97,1.0
breast_cancer_wisconsin,feature_similarity,3,13,42,1.0
breast_cancer_wisconsin,feature_similarity,3,13,97,1.0
breast_cancer_wisconsin,feature_similarity,3,42,97,1.0
breast_cancer_wisconsin,feature_similarity,5,13,42,1.0
breast_cancer_wisconsin,feature_similarity,5,13,97,1.0
breast_cancer_wisconsin,feature_similarity,5,42,97,1.0
breast_cancer_wisconsin,feature_similarity,10,13,42,1.0
breast_cancer_wisconsin,feature_similarity,10,13,97,1.0
breast_cancer_wisconsin,feature_similarity,10,42,97,1.0
breast_cancer_wisconsin,feature_similarity,15,13,42,1.0
breast_cancer_wisconsin,feature_similarity,15,13,97,1.0
breast_cancer_wisconsin,feature_similarity,15,42,97,1.0
breast_cancer_wisconsin,feature_similarity,20,13,42,1.0
breast_cancer_wisconsin,feature_similarity,20,13,97,1.0
breast_cancer_wisconsin,feature_similarity,20,42,97,1.0
breast_cancer_wisconsin,feature_similarity,30,13,42,1.0
breast_cancer_wisconsin,feature_similarity,30,13,97,1.0
breast_cancer_wisconsin,feature_similarity,30,42,97,1.0
breast_cancer_wisconsin,l1_logistic,3,13,42,1.0
breast_cancer_wisconsin,l1_logistic,3,13,97,1.0
breast_cancer_wisconsin,l1_logistic,3,42,97,1.0
breast_cancer_wisconsin,l1_logistic,5,13,42,1.0
breast_cancer_wisconsin,l1_logistic,5,13,97,1.0
breast_cancer_wisconsin,l1_logistic,5,42,97,1.0
breast_cancer_wisconsin,l1_logistic,10,13,42,1.0
breast_cancer_wisconsin,l1_logistic,10,13,97,1.0
breast_cancer_wisconsin,l1_logistic,10,42,97,1.0
breast_cancer_wisconsin,l1_logistic,15,13,42,1.0
breast_cancer_wisconsin,l1_logistic,15,13,97,1.0
breast_cancer_wisconsin,l1_logistic,15,42,97,1.0
breast_cancer_wisconsin,l1_logistic,20,13,42,1.0
breast_cancer_wisconsin,l1_logistic,20,13,97,1.0
breast_cancer_wisconsin,l1_logistic,20,42,97,1.0
breast_cancer_wisconsin,l1_logistic,30,13,42,1.0
breast_cancer_wisconsin,l1_logistic,30,13,97,1.0
breast_cancer_wisconsin,l1_logistic,30,42,97,1.0
breast_cancer_wisconsin,linear_svm,3,13,42,1.0
breast_cancer_wisconsin,linear_svm,3,13,97,1.0
breast_cancer_wisconsin,linear_svm,3,42,97,1.0
breast_cancer_wisconsin,linear_svm,5,13,42,1.0
breast_cancer_wisconsin,linear_svm,5,13,97,1.0
breast_cancer_wisconsin,linear_svm,5,42,97,1.0
breast_cancer_wisconsin,linear_svm,10,13,42,1.0
breast_cancer_wisconsin,linear_svm,10,13,97,1.0
breast_cancer_wisconsin,linear_svm,10,42,97,1.0
breast_cancer_wisconsin,linear_svm,15,13,42,1.0
breast_cancer_wisconsin,linear_svm,15,13,97,1.0
breast_cancer_wisconsin,linear_svm,15,42,97,1.0
breast_cancer_wisconsin,linear_svm,20,13,42,1.0
breast_cancer_wisconsin,linear_svm,20,13,97,1.0
breast_cancer_wisconsin,linear_svm,20,42,97,1.0
breast_cancer_wisconsin,linear_svm,30,13,42,1.0
breast_cancer_wisconsin,linear_svm,30,13,97,1.0
breast_cancer_wisconsin,linear_svm,30,42,97,1.0
breast_cancer_wisconsin,mrmr_approx,3,13,42,1.0
breast_cancer_wisconsin,mrmr_approx,3,13,97,1.0
breast_cancer_wisconsin,mrmr_approx,3,42,97,1.0
breast_cancer_wisconsin,mrmr_approx,5,13,42,1.0
breast_cancer_wisconsin,mrmr_approx,5,13,97,1.0
breast_cancer_wisconsin,mrmr_approx,5,42,97,1.0
breast_cancer_wisconsin,mrmr_approx,10,13,42,1.0
breast_cancer_wisconsin,mrmr_approx,10,13,97,1.0
breast_cancer_wisconsin,mrmr_approx,10,42,97,1.0
breast_cancer_wisconsin,mrmr_approx,15,13,42,1.0
breast_cancer_wisconsin,mrmr_approx,15,13,97,1.0
breast_cancer_wisconsin,mrmr_approx,15,42,97,1.0
breast_cancer_wisconsin,mrmr_approx,20,13,42,1.0
breast_cancer_wisconsin,mrmr_approx,20,13,97,1.0
breast_cancer_wisconsin,mrmr_approx,20,42,97,1.0
breast_cancer_wisconsin,mrmr_approx,30,13,42,1.0
breast_cancer_wisconsin,mrmr_approx,30,13,97,1.0
breast_cancer_wisconsin,mrmr_approx,30,42,97,1.0
breast_cancer_wisconsin,mutual_correlation,3,13,42,1.0
breast_cancer_wisconsin,mutual_correlation,3,13,97,1.0
breast_cancer_wisconsin,mutual_correlation,3,42,97,1.0
breast_cancer_wisconsin,mutual_correlation,5,13,42,1.0
breast_cancer_wisconsin,mutual_correlation,5,13,97,1.0
breast_cancer_wisconsin,mutual_correlation,5,42,97,1.0
breast_cancer_wisconsin,mutual_correlation,10,13,42,1.0
breast_cancer_wisconsin,mutual_correlation,10,13,97,1.0
breast_cancer_wisconsin,mutual_correlation,10,42,97,1.0
breast_cancer_wisconsin,mutual_correlation,15,13,42,1.0
breast_cancer_wisconsin,mutual_correlation,15,13,97,1.0
breast_cancer_wisconsin,mutual_correlation,15,42,97,1.0
breast_cancer_wisconsin,mutual_correlation,20,13,42,1.0
breast_cancer_wisconsin,mutual_correlation,20,13,97,1.0
breast_cancer_wisconsin,mutual_correlation,20,42,97,1.0
breast_cancer_wisconsin,mutual_correlation,30,13,42,1.0
breast_cancer_wisconsin,mutual_correlation,30,13,97,1.0
breast_cancer_wisconsin,mutual_correlation,30,42,97,1.0
breast_cancer_wisconsin,mutual_info,3,13,42,1.0
breast_cancer_wisconsin,mutual_info,3,13,97,1.0
breast_cancer_wisconsin,mutual_info,3,42,97,1.0
breast_cancer_wisconsin,mutual_info,5,13,42,1.0
breast_cancer_wisconsin,mutual_info,5,13,97,1.0
breast_cancer_wisconsin,mutual_info,5,42,97,1.0
breast_cancer_wisconsin,mutual_info,10,13,42,1.0
breast_cancer_wisconsin,mutual_info,10,13,97,1.0
breast_cancer_wisconsin,mutual_info,10,42,97,1.0
breast_cancer_wisconsin,mutual_info,15,13,42,1.0
breast_cancer_wisconsin,mutual_info,15,13,97,1.0
breast_cancer_wisconsin,mutual_info,15,42,97,1.0
breast_cancer_wisconsin,mutual_info,20,13,42,1.0
breast_cancer_wisconsin,mutual_info,20,13,97,1.0
breast_cancer_wisconsin,mutual_info,20,42,97,1.0
breast_cancer_wisconsin,mutual_info,30,13,42,1.0
breast_cancer_wisconsin,mutual_info,30,13,97,1.0
breast_cancer_wisconsin,mutual_info,30,42,97,1.0
breast_cancer_wisconsin,random_forest,3,13,42,0.5
breast_cancer_wisconsin,random_forest,3,13,97,1.0
