dataset,method,scope,validation_test_use,decision,feasible
breast_cancer_wisconsin,variance,fit_train_only,apply_selected_columns_only,execute_full_train,True
breast_cancer_wisconsin,f_classif,fit_train_only,apply_selected_columns_only,execute_full_train,True
breast_cancer_wisconsin,mutual_info,fit_train_only,apply_selected_columns_only,execute_full_train,True
breast_cancer_wisconsin,mrmr_approx,fit_train_only,apply_selected_columns_only,execute_full_train,True
breast_cancer_wisconsin,l1_logistic,fit_train_only,apply_selected_columns_only,execute_full_train,True
breast_cancer_wisconsin,random_forest,fit_train_only,apply_selected_columns_only,execute_full_train,True
breast_cancer_wisconsin,linear_svm,fit_train_only,apply_selected_columns_only,execute_full_train,True
customer_churn,variance,fit_train_only,apply_selected_columns_only,execute_full_train,True
customer_churn,f_classif,fit_train_only,apply_selected_columns_only,execute_full_train,True
customer_churn,mutual_info,fit_train_only,apply_selected_columns_only,execute_with_stratified_sample,True
customer_churn,mrmr_approx,fit_train_only,apply_selected_columns_only,execute_with_stratified_sample,True
customer_churn,l1_logistic,fit_train_only,apply_selected_columns_only,execute_with_stratified_sample,True
customer_churn,random_forest,fit_train_only,apply_selected_columns_only,execute_with_stratified_sample,True
customer_churn,linear_svm,fit_train_only,apply_selected_columns_only,execute_with_stratified_sample,True
madelon,variance,fit_train_only,apply_selected_columns_only,execute_full_train,True
madelon,f_classif,fit_train_only,apply_selected_columns_only,execute_full_train,True
madelon,mutual_info,fit_train_only,apply_selected_columns_only,execute_full_train,True
madelon,mrmr_approx,fit_train_only,apply_selected_columns_only,execute_full_train,True
madelon,l1_logistic,fit_train_only,apply_selected_columns_only,execute_full_train,True
madelon,random_forest,fit_train_only,apply_selected_columns_only,execute_full_train,True
madelon,linear_svm,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_3class,variance,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_3class,f_classif,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_3class,mutual_info,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_3class,mrmr_approx,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_3class,l1_logistic,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_3class,random_forest,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_3class,linear_svm,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_9class,variance,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_9class,f_classif,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_9class,mutual_info,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_9class,mrmr_approx,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_9class,l1_logistic,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_9class,random_forest,fit_train_only,apply_selected_columns_only,execute_full_train,True
olive_oil_9class,linear_svm,fit_train_only,apply_selected_columns_only,execute_full_train,True
