dataset,method,k,path,rol_fase6,justificacion,riesgo_residual
breast_cancer_wisconsin,f_classif,3,data/selected_features/breast_cancer_wisconsin/f_classif/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,f_classif,5,data/selected_features/breast_cancer_wisconsin/f_classif/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,f_classif,10,data/selected_features/breast_cancer_wisconsin/f_classif/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,f_classif,15,data/selected_features/breast_cancer_wisconsin/f_classif/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,f_classif,20,data/selected_features/breast_cancer_wisconsin/f_classif/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,f_classif,30,data/selected_features/breast_cancer_wisconsin/f_classif/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,l1_logistic,3,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,l1_logistic,5,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,l1_logistic,10,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,l1_logistic,15,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,l1_logistic,20,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,l1_logistic,30,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,linear_svm,3,data/selected_features/breast_cancer_wisconsin/linear_svm/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,linear_svm,5,data/selected_features/breast_cancer_wisconsin/linear_svm/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,linear_svm,10,data/selected_features/breast_cancer_wisconsin/linear_svm/k_10/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,linear_svm,15,data/selected_features/breast_cancer_wisconsin/linear_svm/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,linear_svm,20,data/selected_features/breast_cancer_wisconsin/linear_svm/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,linear_svm,30,data/selected_features/breast_cancer_wisconsin/linear_svm/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mrmr_approx,3,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mrmr_approx,5,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mrmr_approx,10,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mrmr_approx,15,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mrmr_approx,20,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mrmr_approx,30,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mutual_info,3,data/selected_features/breast_cancer_wisconsin/mutual_info/k_3/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mutual_info,5,data/selected_features/breast_cancer_wisconsin/mutual_info/k_5/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mutual_info,10,data/selected_features/breast_cancer_wisconsin/mutual_info/k_10/,principal_para_modelado,parrilla compacta inicial: método informativo y k de referencia trazable,validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mutual_info,15,data/selected_features/breast_cancer_wisconsin/mutual_info/k_15/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mutual_info,20,data/selected_features/breast_cancer_wisconsin/mutual_info/k_20/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
breast_cancer_wisconsin,mutual_info,30,data/selected_features/breast_cancer_wisconsin/mutual_info/k_30/,auxiliar_exploratorio,"subconjunto disponible para sensibilidad, ablación o apéndice",validar rendimiento en Fase 6 sin reajustar selectores
