dataset,method,k,n_features,path
breast_cancer_wisconsin,boruta,22,22,data/selected_features/breast_cancer_wisconsin/boruta/k_22
breast_cancer_wisconsin,f_classif,3,3,data/selected_features/breast_cancer_wisconsin/f_classif/k_3
breast_cancer_wisconsin,f_classif,5,5,data/selected_features/breast_cancer_wisconsin/f_classif/k_5
breast_cancer_wisconsin,f_classif,10,10,data/selected_features/breast_cancer_wisconsin/f_classif/k_10
breast_cancer_wisconsin,f_classif,15,15,data/selected_features/breast_cancer_wisconsin/f_classif/k_15
breast_cancer_wisconsin,f_classif,20,20,data/selected_features/breast_cancer_wisconsin/f_classif/k_20
breast_cancer_wisconsin,f_classif,30,30,data/selected_features/breast_cancer_wisconsin/f_classif/k_30
breast_cancer_wisconsin,feature_similarity,3,3,data/selected_features/breast_cancer_wisconsin/feature_similarity/k_3
breast_cancer_wisconsin,feature_similarity,5,5,data/selected_features/breast_cancer_wisconsin/feature_similarity/k_5
breast_cancer_wisconsin,feature_similarity,10,10,data/selected_features/breast_cancer_wisconsin/feature_similarity/k_10
breast_cancer_wisconsin,feature_similarity,15,15,data/selected_features/breast_cancer_wisconsin/feature_similarity/k_15
breast_cancer_wisconsin,feature_similarity,20,20,data/selected_features/breast_cancer_wisconsin/feature_similarity/k_20
breast_cancer_wisconsin,feature_similarity,30,30,data/selected_features/breast_cancer_wisconsin/feature_similarity/k_30
breast_cancer_wisconsin,l1_logistic,3,3,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_3
breast_cancer_wisconsin,l1_logistic,5,5,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_5
breast_cancer_wisconsin,l1_logistic,10,10,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_10
breast_cancer_wisconsin,l1_logistic,15,15,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_15
breast_cancer_wisconsin,l1_logistic,20,20,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_20
breast_cancer_wisconsin,l1_logistic,30,30,data/selected_features/breast_cancer_wisconsin/l1_logistic/k_30
breast_cancer_wisconsin,linear_svm,3,3,data/selected_features/breast_cancer_wisconsin/linear_svm/k_3
breast_cancer_wisconsin,linear_svm,5,5,data/selected_features/breast_cancer_wisconsin/linear_svm/k_5
breast_cancer_wisconsin,linear_svm,10,10,data/selected_features/breast_cancer_wisconsin/linear_svm/k_10
breast_cancer_wisconsin,linear_svm,15,15,data/selected_features/breast_cancer_wisconsin/linear_svm/k_15
breast_cancer_wisconsin,linear_svm,20,20,data/selected_features/breast_cancer_wisconsin/linear_svm/k_20
breast_cancer_wisconsin,linear_svm,30,30,data/selected_features/breast_cancer_wisconsin/linear_svm/k_30
breast_cancer_wisconsin,mrmr_approx,3,3,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_3
breast_cancer_wisconsin,mrmr_approx,5,5,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_5
breast_cancer_wisconsin,mrmr_approx,10,10,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_10
breast_cancer_wisconsin,mrmr_approx,15,15,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_15
breast_cancer_wisconsin,mrmr_approx,20,20,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_20
breast_cancer_wisconsin,mrmr_approx,30,30,data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_30
breast_cancer_wisconsin,mutual_correlation,3,3,data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_3
breast_cancer_wisconsin,mutual_correlation,5,5,data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_5
breast_cancer_wisconsin,mutual_correlation,10,10,data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_10
breast_cancer_wisconsin,mutual_correlation,15,15,data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_15
breast_cancer_wisconsin,mutual_correlation,20,20,data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_20
breast_cancer_wisconsin,mutual_correlation,30,30,data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_30
breast_cancer_wisconsin,mutual_info,3,3,data/selected_features/breast_cancer_wisconsin/mutual_info/k_3
breast_cancer_wisconsin,mutual_info,5,5,data/selected_features/breast_cancer_wisconsin/mutual_info/k_5
breast_cancer_wisconsin,mutual_info,10,10,data/selected_features/breast_cancer_wisconsin/mutual_info/k_10
breast_cancer_wisconsin,mutual_info,15,15,data/selected_features/breast_cancer_wisconsin/mutual_info/k_15
breast_cancer_wisconsin,mutual_info,20,20,data/selected_features/breast_cancer_wisconsin/mutual_info/k_20
breast_cancer_wisconsin,mutual_info,30,30,data/selected_features/breast_cancer_wisconsin/mutual_info/k_30
breast_cancer_wisconsin,random_forest,3,3,data/selected_features/breast_cancer_wisconsin/random_forest/k_3
breast_cancer_wisconsin,random_forest,5,5,data/selected_features/breast_cancer_wisconsin/random_forest/k_5
breast_cancer_wisconsin,random_forest,10,10,data/selected_features/breast_cancer_wisconsin/random_forest/k_10
breast_cancer_wisconsin,random_forest,15,15,data/selected_features/breast_cancer_wisconsin/random_forest/k_15
breast_cancer_wisconsin,random_forest,20,20,data/selected_features/breast_cancer_wisconsin/random_forest/k_20
breast_cancer_wisconsin,random_forest,30,30,data/selected_features/breast_cancer_wisconsin/random_forest/k_30
breast_cancer_wisconsin,rfe,10,10,data/selected_features/breast_cancer_wisconsin/rfe/k_10
breast_cancer_wisconsin,rrfs,3,3,data/selected_features/breast_cancer_wisconsin/rrfs/k_3
breast_cancer_wisconsin,rrfs,5,5,data/selected_features/breast_cancer_wisconsin/rrfs/k_5
breast_cancer_wisconsin,rrfs,10,10,data/selected_features/breast_cancer_wisconsin/rrfs/k_10
breast_cancer_wisconsin,rrfs,15,15,data/selected_features/breast_cancer_wisconsin/rrfs/k_15
breast_cancer_wisconsin,rrfs,20,20,data/selected_features/breast_cancer_wisconsin/rrfs/k_20
breast_cancer_wisconsin,rrfs,30,30,data/selected_features/breast_cancer_wisconsin/rrfs/k_30
breast_cancer_wisconsin,variance,3,3,data/selected_features/breast_cancer_wisconsin/variance/k_3
breast_cancer_wisconsin,variance,5,5,data/selected_features/breast_cancer_wisconsin/variance/k_5
breast_cancer_wisconsin,variance,10,10,data/selected_features/breast_cancer_wisconsin/variance/k_10
breast_cancer_wisconsin,variance,15,15,data/selected_features/breast_cancer_wisconsin/variance/k_15
breast_cancer_wisconsin,variance,20,20,data/selected_features/breast_cancer_wisconsin/variance/k_20
breast_cancer_wisconsin,variance,30,30,data/selected_features/breast_cancer_wisconsin/variance/k_30
customer_churn,boruta,12,12,data/selected_features/customer_churn/boruta/k_12
customer_churn,f_classif,1,1,data/selected_features/customer_churn/f_classif/k_1
customer_churn,f_classif,4,4,data/selected_features/customer_churn/f_classif/k_4
customer_churn,f_classif,5,5,data/selected_features/customer_churn/f_classif/k_5
customer_churn,f_classif,10,10,data/selected_features/customer_churn/f_classif/k_10
customer_churn,f_classif,15,15,data/selected_features/customer_churn/f_classif/k_15
customer_churn,feature_similarity,1,1,data/selected_features/customer_churn/feature_similarity/k_1
customer_churn,feature_similarity,4,4,data/selected_features/customer_churn/feature_similarity/k_4
customer_churn,feature_similarity,5,5,data/selected_features/customer_churn/feature_similarity/k_5
customer_churn,feature_similarity,10,10,data/selected_features/customer_churn/feature_similarity/k_10
customer_churn,feature_similarity,15,15,data/selected_features/customer_churn/feature_similarity/k_15
customer_churn,l1_logistic,1,1,data/selected_features/customer_churn/l1_logistic/k_1
customer_churn,l1_logistic,4,4,data/selected_features/customer_churn/l1_logistic/k_4
customer_churn,l1_logistic,5,5,data/selected_features/customer_churn/l1_logistic/k_5
customer_churn,l1_logistic,10,10,data/selected_features/customer_churn/l1_logistic/k_10
customer_churn,l1_logistic,15,15,data/selected_features/customer_churn/l1_logistic/k_15
customer_churn,linear_svm,1,1,data/selected_features/customer_churn/linear_svm/k_1
customer_churn,linear_svm,4,4,data/selected_features/customer_churn/linear_svm/k_4
customer_churn,linear_svm,5,5,data/selected_features/customer_churn/linear_svm/k_5
customer_churn,linear_svm,10,10,data/selected_features/customer_churn/linear_svm/k_10
customer_churn,linear_svm,15,15,data/selected_features/customer_churn/linear_svm/k_15
customer_churn,mrmr_approx,1,1,data/selected_features/customer_churn/mrmr_approx/k_1
customer_churn,mrmr_approx,4,4,data/selected_features/customer_churn/mrmr_approx/k_4
customer_churn,mrmr_approx,5,5,data/selected_features/customer_churn/mrmr_approx/k_5
customer_churn,mrmr_approx,10,10,data/selected_features/customer_churn/mrmr_approx/k_10
customer_churn,mrmr_approx,15,15,data/selected_features/customer_churn/mrmr_approx/k_15
customer_churn,mutual_correlation,1,1,data/selected_features/customer_churn/mutual_correlation/k_1
customer_churn,mutual_correlation,4,4,data/selected_features/customer_churn/mutual_correlation/k_4
customer_churn,mutual_correlation,5,5,data/selected_features/customer_churn/mutual_correlation/k_5
customer_churn,mutual_correlation,10,10,data/selected_features/customer_churn/mutual_correlation/k_10
customer_churn,mutual_correlation,15,15,data/selected_features/customer_churn/mutual_correlation/k_15
customer_churn,mutual_info,1,1,data/selected_features/customer_churn/mutual_info/k_1
customer_churn,mutual_info,4,4,data/selected_features/customer_churn/mutual_info/k_4
customer_churn,mutual_info,5,5,data/selected_features/customer_churn/mutual_info/k_5
customer_churn,mutual_info,10,10,data/selected_features/customer_churn/mutual_info/k_10
customer_churn,mutual_info,15,15,data/selected_features/customer_churn/mutual_info/k_15
customer_churn,random_forest,1,1,data/selected_features/customer_churn/random_forest/k_1
