figure_path,section,dataset,question,visual_family,figure_type,supports_memory,shown_in_notebook,saved_to_disk,non_empty,not_table_as_image,labels_readable,no_clipping,no_overlap,legend_ok,margins_ok,decision,fix_required,fix_applied,residual_risk
results/figures/05_feature_selection/protocol/fs_k_reduction_plan.png,05_05,GLOBAL,¿Qué reducción dimensional implican los valores de k?,scatter/bubble,memory_candidate,True,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/top_features/breast_cancer_wisconsin_top_selected_features.png,05_15,breast_cancer_wisconsin,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/method_feature_heatmaps/breast_cancer_wisconsin_method_feature_heatmap.png,05_15,breast_cancer_wisconsin,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/top_features/customer_churn_top_selected_features.png,05_15,customer_churn,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/method_feature_heatmaps/customer_churn_method_feature_heatmap.png,05_15,customer_churn,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/top_features/madelon_top_selected_features.png,05_15,madelon,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/method_feature_heatmaps/madelon_method_feature_heatmap.png,05_15,madelon,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/top_features/olive_oil_3class_top_selected_features.png,05_15,olive_oil_3class,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/method_feature_heatmaps/olive_oil_3class_method_feature_heatmap.png,05_15,olive_oil_3class,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/top_features/olive_oil_9class_top_selected_features.png,05_15,olive_oil_9class,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/method_feature_heatmaps/olive_oil_9class_method_feature_heatmap.png,05_15,olive_oil_9class,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/summary/fs_method_profiles_summary.png,05_15,GLOBAL,"¿Cómo se comparan coste, estabilidad y redundancia por método?",multipanel ranking,memory_candidate,True,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
results/figures/05_feature_selection/permutation/fs_permutation_above_null_heatmap.png,05_11,GLOBAL,¿Cuántas variables superan el p95 nulo por permutación?,heatmap anotado,memory_candidate,True,True,True,True,True,True,True,True,True,True,mantener,False,False,revisión manual complementaria recomendada en PDF
