dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,concave_points_worst,1,689.7956569938996,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,perimeter_worst,2,654.7093579089052,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,radius_worst,3,635.4209016321784,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,concave_points_mean,4,604.5547064555041,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,perimeter_mean,5,505.4546811466068,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,area_worst,6,481.04049556648806,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,radius_mean,7,474.97555998217797,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,concavity_mean,8,409.53156120951985,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,area_mean,9,409.50674457268394,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,13,10,concavity_worst,10,318.6583428276884,True,0.0005567213520407677,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,concave_points_worst,1,689.7956569938996,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,perimeter_worst,2,654.7093579089052,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,radius_worst,3,635.4209016321784,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,concave_points_mean,4,604.5547064555041,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,perimeter_mean,5,505.4546811466068,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,area_worst,6,481.04049556648806,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,radius_mean,7,474.97555998217797,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,concavity_mean,8,409.53156120951985,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,area_mean,9,409.50674457268394,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,42,10,concavity_worst,10,318.6583428276884,True,0.0004571918398141861,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,concave_points_worst,1,689.7956569938996,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,perimeter_worst,2,654.7093579089052,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,radius_worst,3,635.4209016321784,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,concave_points_mean,4,604.5547064555041,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,perimeter_mean,5,505.4546811466068,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,area_worst,6,481.04049556648806,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,radius_mean,7,474.97555998217797,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,concavity_mean,8,409.53156120951985,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,area_mean,9,409.50674457268394,True,0.00047730933874845505,398,ok
breast_cancer_wisconsin,f_classif,relevancia pura,97,10,concavity_worst,10,318.6583428276884,True,0.00047730933874845505,398,ok
