dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,radius_mean,1,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,texture_mean,2,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,perimeter_mean,3,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,area_mean,4,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,smoothness_mean,5,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,compactness_mean,6,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,concavity_mean,7,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,concave_points_mean,8,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,symmetry_mean,9,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,10,fractal_dimension_mean,10,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,radius_mean,1,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,texture_mean,2,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,perimeter_mean,3,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,area_mean,4,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,smoothness_mean,5,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,compactness_mean,6,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,concavity_mean,7,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,concave_points_mean,8,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,symmetry_mean,9,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,10,fractal_dimension_mean,10,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,radius_mean,1,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,texture_mean,2,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,perimeter_mean,3,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,area_mean,4,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,smoothness_mean,5,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,compactness_mean,6,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,concavity_mean,7,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,concave_points_mean,8,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,symmetry_mean,9,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,10,fractal_dimension_mean,10,15.0,True,0.0007353248074650764,398,ok
