dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,radius_mean,1,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,texture_mean,2,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,perimeter_mean,3,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,area_mean,4,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,smoothness_mean,5,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,compactness_mean,6,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,concavity_mean,7,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,concave_points_mean,8,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,symmetry_mean,9,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,fractal_dimension_mean,10,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,radius_se,11,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,texture_se,12,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,perimeter_se,13,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,area_se,14,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,smoothness_se,15,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,compactness_se,16,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,concavity_se,17,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,concave_points_se,18,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,symmetry_se,19,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,fractal_dimension_se,20,15.0,True,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,radius_worst,21,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,texture_worst,22,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,perimeter_worst,23,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,area_worst,24,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,smoothness_worst,25,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,compactness_worst,26,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,concavity_worst,27,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,concave_points_worst,28,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,symmetry_worst,29,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,13,20,fractal_dimension_worst,30,15.0,False,0.0007824590429663658,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,radius_mean,1,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,texture_mean,2,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,perimeter_mean,3,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,area_mean,4,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,smoothness_mean,5,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,compactness_mean,6,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,concavity_mean,7,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,concave_points_mean,8,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,symmetry_mean,9,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,fractal_dimension_mean,10,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,radius_se,11,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,texture_se,12,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,perimeter_se,13,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,area_se,14,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,smoothness_se,15,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,compactness_se,16,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,concavity_se,17,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,concave_points_se,18,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,symmetry_se,19,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,fractal_dimension_se,20,15.0,True,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,radius_worst,21,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,texture_worst,22,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,perimeter_worst,23,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,area_worst,24,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,smoothness_worst,25,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,compactness_worst,26,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,concavity_worst,27,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,concave_points_worst,28,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,symmetry_worst,29,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,42,20,fractal_dimension_worst,30,15.0,False,0.0007224045693874359,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,radius_mean,1,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,texture_mean,2,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,perimeter_mean,3,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,area_mean,4,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,smoothness_mean,5,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,compactness_mean,6,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,concavity_mean,7,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,concave_points_mean,8,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,symmetry_mean,9,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,fractal_dimension_mean,10,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,radius_se,11,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,texture_se,12,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,perimeter_se,13,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,area_se,14,15.0,True,0.0007353248074650764,398,ok
breast_cancer_wisconsin,feature_similarity,redundancia pura,97,20,smoothness_se,15,15.0,True,0.0007353248074650764,398,ok
