dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
breast_cancer_wisconsin,variance,base mínima,13,10,area_mean,1,1.0025188916876577,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,area_se,2,1.0025188916876577,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,concave_points_worst,3,1.0025188916876577,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,texture_mean,4,1.0025188916876575,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,concave_points_mean,5,1.0025188916876575,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,concavity_mean,6,1.0025188916876575,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,symmetry_mean,7,1.0025188916876575,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,radius_mean,8,1.0025188916876575,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,smoothness_se,9,1.0025188916876575,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,perimeter_se,10,1.0025188916876575,True,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,texture_se,11,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,radius_se,12,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,compactness_se,13,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,fractal_dimension_se,14,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,concave_points_se,15,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,perimeter_mean,16,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,symmetry_worst,17,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,fractal_dimension_worst,18,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,compactness_worst,19,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,symmetry_se,20,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,area_worst,21,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,perimeter_worst,22,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,smoothness_worst,23,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,radius_worst,24,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,concavity_worst,25,1.0025188916876575,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,compactness_mean,26,1.0025188916876573,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,smoothness_mean,27,1.0025188916876573,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,fractal_dimension_mean,28,1.002518891687657,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,texture_worst,29,1.002518891687657,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,13,10,concavity_se,30,1.002518891687657,False,0.00045731011778116226,398,ok
breast_cancer_wisconsin,variance,base mínima,42,10,area_mean,1,1.0025188916876577,True,0.00013314001262187958,398,ok
breast_cancer_wisconsin,variance,base mínima,42,10,area_se,2,1.0025188916876577,True,0.00013314001262187958,398,ok
