dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
customer_churn,feature_similarity,redundancia pura,13,5,age,1,7.5,True,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,tenure,2,7.5,True,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,usage_frequency,3,7.5,True,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,support_calls,4,7.5,True,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,payment_delay,5,7.5,True,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,total_spend,6,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,last_interaction,7,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,gender_Female,8,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,gender_Male,9,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,subscription_type_Basic,10,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,subscription_type_Premium,11,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,subscription_type_Standard,12,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,contract_length_Annual,13,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,contract_length_Monthly,14,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,13,5,contract_length_Quarterly,15,7.5,False,0.17729406617581844,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,age,1,7.5,True,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,tenure,2,7.5,True,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,usage_frequency,3,7.5,True,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,support_calls,4,7.5,True,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,payment_delay,5,7.5,True,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,total_spend,6,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,last_interaction,7,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,gender_Female,8,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,gender_Male,9,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,subscription_type_Basic,10,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,subscription_type_Premium,11,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,subscription_type_Standard,12,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,contract_length_Annual,13,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,contract_length_Monthly,14,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,42,5,contract_length_Quarterly,15,7.5,False,0.1765007209032774,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,age,1,7.5,True,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,tenure,2,7.5,True,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,usage_frequency,3,7.5,True,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,support_calls,4,7.5,True,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,payment_delay,5,7.5,True,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,total_spend,6,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,last_interaction,7,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,gender_Female,8,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,gender_Male,9,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,subscription_type_Basic,10,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,subscription_type_Premium,11,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,subscription_type_Standard,12,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,contract_length_Annual,13,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,contract_length_Monthly,14,7.5,False,0.176690268330276,308582,ok
customer_churn,feature_similarity,redundancia pura,97,5,contract_length_Quarterly,15,7.5,False,0.176690268330276,308582,ok
