dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
customer_churn,linear_svm,embedded,13,1,contract_length_Monthly,1,1.4233297907005067,True,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,support_calls,2,0.7222973136691964,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,contract_length_Annual,3,0.5370478658055291,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,contract_length_Quarterly,4,0.5336853264792983,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,total_spend,5,0.44192975578971583,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,gender_Female,6,0.3547694079748012,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,payment_delay,7,0.2686968278018453,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,last_interaction,8,0.16355617017839966,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,age,9,0.142316620866315,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,subscription_type_Standard,10,0.13235457160087072,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,subscription_type_Basic,11,0.13232568659023716,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,subscription_type_Premium,12,0.08791634022457709,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,tenure,13,0.067701661901257,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,usage_frequency,14,0.011811596719880666,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,13,1,gender_Male,15,0.002172809559080096,False,0.0029727425426244736,5000,ok
customer_churn,linear_svm,embedded,42,1,contract_length_Monthly,1,1.425030380517491,True,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,support_calls,2,0.7626964228392366,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,contract_length_Quarterly,3,0.5342683998896869,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,contract_length_Annual,4,0.5321633082622411,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,total_spend,5,0.4932437452121317,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,gender_Female,6,0.33309861445374084,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,payment_delay,7,0.27252014998105084,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,subscription_type_Basic,8,0.1696987435290951,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,last_interaction,9,0.16788527061657876,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,subscription_type_Premium,10,0.11815741250159946,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,age,11,0.11650668135816565,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,subscription_type_Standard,12,0.07074251633487846,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,usage_frequency,13,0.06017178601780479,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,tenure,14,0.05540286719589336,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,42,1,gender_Male,15,0.02550005791185593,False,0.003095819614827633,5000,ok
customer_churn,linear_svm,embedded,97,1,contract_length_Monthly,1,1.4636603568146955,True,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,support_calls,2,0.7278554936018776,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,contract_length_Quarterly,3,0.559275922366787,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,contract_length_Annual,4,0.5399046808665501,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,total_spend,5,0.47358514097465443,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,gender_Female,6,0.35311475757942845,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,payment_delay,7,0.27675899326393183,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,subscription_type_Basic,8,0.16261424160667245,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,last_interaction,9,0.13153907117359295,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,subscription_type_Premium,10,0.11599954798439333,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,age,11,0.10025496614962395,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,subscription_type_Standard,12,0.08586596399029878,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,tenure,13,0.037529196061452594,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,usage_frequency,14,0.021945605328599807,False,0.0030840011313557625,5000,ok
customer_churn,linear_svm,embedded,97,1,gender_Male,15,0.011364996001948114,False,0.0030840011313557625,5000,ok
