dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
madelon,mutual_correlation,redundancia pura,13,5,feat_105,1,500.0,True,0.4302666764706373,1400,ok
madelon,mutual_correlation,redundancia pura,13,5,feat_338,2,499.0,True,0.4302666764706373,1400,ok
madelon,mutual_correlation,redundancia pura,13,5,feat_128,3,498.0,True,0.4302666764706373,1400,ok
madelon,mutual_correlation,redundancia pura,13,5,feat_472,4,497.0,True,0.4302666764706373,1400,ok
madelon,mutual_correlation,redundancia pura,13,5,feat_442,5,496.0,True,0.4302666764706373,1400,ok
madelon,mutual_correlation,redundancia pura,42,5,feat_105,1,500.0,True,0.43009193520992994,1400,ok
madelon,mutual_correlation,redundancia pura,42,5,feat_338,2,499.0,True,0.43009193520992994,1400,ok
madelon,mutual_correlation,redundancia pura,42,5,feat_128,3,498.0,True,0.43009193520992994,1400,ok
madelon,mutual_correlation,redundancia pura,42,5,feat_472,4,497.0,True,0.43009193520992994,1400,ok
madelon,mutual_correlation,redundancia pura,42,5,feat_442,5,496.0,True,0.43009193520992994,1400,ok
madelon,mutual_correlation,redundancia pura,97,5,feat_105,1,500.0,True,0.430232816375792,1400,ok
madelon,mutual_correlation,redundancia pura,97,5,feat_338,2,499.0,True,0.430232816375792,1400,ok
madelon,mutual_correlation,redundancia pura,97,5,feat_128,3,498.0,True,0.430232816375792,1400,ok
madelon,mutual_correlation,redundancia pura,97,5,feat_472,4,497.0,True,0.430232816375792,1400,ok
madelon,mutual_correlation,redundancia pura,97,5,feat_442,5,496.0,True,0.430232816375792,1400,ok
