dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_3class,feature_similarity,redundancia pura,13,3,palmitoleic,1,4.0,True,0.0003033643588423729,400,ok
olive_oil_3class,feature_similarity,redundancia pura,13,3,stearic,2,4.0,True,0.0003033643588423729,400,ok
olive_oil_3class,feature_similarity,redundancia pura,13,3,oleic,3,4.0,True,0.0003033643588423729,400,ok
olive_oil_3class,feature_similarity,redundancia pura,13,3,linoleic,4,4.0,False,0.0003033643588423729,400,ok
olive_oil_3class,feature_similarity,redundancia pura,13,3,linolenic,5,4.0,False,0.0003033643588423729,400,ok
olive_oil_3class,feature_similarity,redundancia pura,13,3,arachidic,6,4.0,False,0.0003033643588423729,400,ok
olive_oil_3class,feature_similarity,redundancia pura,13,3,eicosenoic,7,4.0,False,0.0003033643588423729,400,ok
olive_oil_3class,feature_similarity,redundancia pura,13,3,other,8,4.0,False,0.0003033643588423729,400,ok
olive_oil_3class,feature_similarity,redundancia pura,42,3,palmitoleic,1,4.0,True,0.00026854872703552246,400,ok
olive_oil_3class,feature_similarity,redundancia pura,42,3,stearic,2,4.0,True,0.00026854872703552246,400,ok
olive_oil_3class,feature_similarity,redundancia pura,42,3,oleic,3,4.0,True,0.00026854872703552246,400,ok
olive_oil_3class,feature_similarity,redundancia pura,42,3,linoleic,4,4.0,False,0.00026854872703552246,400,ok
olive_oil_3class,feature_similarity,redundancia pura,42,3,linolenic,5,4.0,False,0.00026854872703552246,400,ok
olive_oil_3class,feature_similarity,redundancia pura,42,3,arachidic,6,4.0,False,0.00026854872703552246,400,ok
olive_oil_3class,feature_similarity,redundancia pura,42,3,eicosenoic,7,4.0,False,0.00026854872703552246,400,ok
olive_oil_3class,feature_similarity,redundancia pura,42,3,other,8,4.0,False,0.00026854872703552246,400,ok
olive_oil_3class,feature_similarity,redundancia pura,97,3,palmitoleic,1,4.0,True,0.00027094781398773193,400,ok
olive_oil_3class,feature_similarity,redundancia pura,97,3,stearic,2,4.0,True,0.00027094781398773193,400,ok
olive_oil_3class,feature_similarity,redundancia pura,97,3,oleic,3,4.0,True,0.00027094781398773193,400,ok
olive_oil_3class,feature_similarity,redundancia pura,97,3,linoleic,4,4.0,False,0.00027094781398773193,400,ok
olive_oil_3class,feature_similarity,redundancia pura,97,3,linolenic,5,4.0,False,0.00027094781398773193,400,ok
olive_oil_3class,feature_similarity,redundancia pura,97,3,arachidic,6,4.0,False,0.00027094781398773193,400,ok
olive_oil_3class,feature_similarity,redundancia pura,97,3,eicosenoic,7,4.0,False,0.00027094781398773193,400,ok
olive_oil_3class,feature_similarity,redundancia pura,97,3,other,8,4.0,False,0.00027094781398773193,400,ok
