dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_9class,linear_svm,embedded,13,5,linolenic,1,0.3315819899802913,True,0.006878005340695381,400,ok
olive_oil_9class,linear_svm,embedded,13,5,other,2,0.2832189971534545,True,0.006878005340695381,400,ok
olive_oil_9class,linear_svm,embedded,13,5,eicosenoic,3,0.2702659618566762,True,0.006878005340695381,400,ok
olive_oil_9class,linear_svm,embedded,13,5,oleic,4,0.25746101334558136,True,0.006878005340695381,400,ok
olive_oil_9class,linear_svm,embedded,13,5,palmitoleic,5,0.235594717649357,True,0.006878005340695381,400,ok
olive_oil_9class,linear_svm,embedded,42,5,linolenic,1,0.3315819899802913,True,0.0031227916479110718,400,ok
olive_oil_9class,linear_svm,embedded,42,5,other,2,0.2832189971534545,True,0.0031227916479110718,400,ok
olive_oil_9class,linear_svm,embedded,42,5,eicosenoic,3,0.2702659618566762,True,0.0031227916479110718,400,ok
olive_oil_9class,linear_svm,embedded,42,5,oleic,4,0.25746101334558136,True,0.0031227916479110718,400,ok
olive_oil_9class,linear_svm,embedded,42,5,palmitoleic,5,0.235594717649357,True,0.0031227916479110718,400,ok
olive_oil_9class,linear_svm,embedded,97,5,linolenic,1,0.3315819899802913,True,0.0019404096528887749,400,ok
olive_oil_9class,linear_svm,embedded,97,5,other,2,0.2832189971534545,True,0.0019404096528887749,400,ok
olive_oil_9class,linear_svm,embedded,97,5,eicosenoic,3,0.2702659618566762,True,0.0019404096528887749,400,ok
olive_oil_9class,linear_svm,embedded,97,5,oleic,4,0.25746101334558136,True,0.0019404096528887749,400,ok
olive_oil_9class,linear_svm,embedded,97,5,palmitoleic,5,0.235594717649357,True,0.0019404096528887749,400,ok
